"","Name","Chromosome","Position","mc","Yld_1","Yld","AIL","CmDW.V"
"672","PstI.TP1199997",1,3471828,0,0,0,0,0
"2015","PstI.TP757375",1,3471897,0,0,0,0,0
"1952","PstI.TP726521",1,3535515,0.266265231916134,0.0802086563005467,0.0802086563076859,0.0835738431390788,0.0875458191602646
"1317","PstI.TP374511",1,3576636,0.128029979824146,0.84412312938006,0.844123129387688,0.0435548058427889,0.31496893758008
"788","PstI.TP1267977",1,3576713,0.279455489390218,0.205665501712737,0.205665501713444,0.0307183655107681,0.393251851410429
"582","PstI.TP1155202",1,3620639,0,0,0,0,0
"2469","PstI.TP961085",1,3705536,0.31162210099055,0.758511136502343,0.758511136508059,1.35810221551155,0.382777827022672
"995","PstI.TP21889",1,3705780,0.114861051798872,0.441467192668073,0.441467192658442,0.333626965321399,1.08448396753975
"414","PstI.TP1053336",1,3955998,1.11798795828688,0.262780508312046,0.262780508316029,0.140573657375925,0.582142304628811
"2324","PstI.TP891020",1,4033768,1.23475627164299,0.610238183335814,0.610238183333425,0.510743547306304,0.826972654338953
"321","PstI.TP1007615",1,4064445,0,0,0,0,0
"1767","PstI.TP629254",1,4276045,0,0,0,0,0
"846","PstI.TP140451",1,4460094,0.467707253142945,0.64516884415174,0.645168844155611,0.00609909907058145,0.514322454583931
"1371","PstI.TP403850",1,4535788,0,0,0,0,0
"148","NsiI.TP468762",1,4620729,0.359291912859294,0.129218530180138,0.129218530168525,0.589298965176227,0.17270605703393
"1163","PstI.TP307588",1,4762662,0.150868373090428,0.930811233905661,0.930811233908277,0.180072369151366,0.836977822576076
"2381","PstI.TP920636",1,4777048,0.868912913768511,0.731138397023564,0.73113839702525,0.218076367382698,0.132587986168314
"2446","PstI.TP947391",1,4891496,0,0,0,0,0
"1856","PstI.TP683907",1,4900973,0.274184540861788,1.261127267624,1.26112726760936,0.0958215090429031,0.878964157065543
"1367","PstI.TP402429",1,4990016,0.0837592412209993,0.401622677988234,0.401622677992573,0.0294480974240223,0.339687021705025
"527","PstI.TP1126882",1,5115206,0,0,0,0,0
"1857","PstI.TP684655",1,5379329,0.103707994787606,0.010681784649822,0.0106817846512788,0.289932165594727,0.378310852513601
"80","NsiI.TP367540",1,5460609,0,0,0,0,0
"2463","PstI.TP9547",1,5534818,0.22284081486037,0.407499718681796,0.407499718675873,0.882759019486087,0.536999794670266
"1509","PstI.TP476949",1,5536792,0.316101782987443,0.243246129689387,0.243246129680419,0.0893679667023703,0.0602569046588074
"1127","PstI.TP291849",1,5571398,0.816739454473484,0.12293475064516,0.122934750639636,0.541090181875457,0.108642271465002
"1841","PstI.TP677745",1,5751851,0.488337548567106,0.623709552633277,0.623709552600212,0.633506187828528,0.488900561708852
"1972","PstI.TP739422",1,5776555,0,0,0,0,0
"1901","PstI.TP705967",1,5858828,0.0342844427153106,0.0124628216684762,0.0124628216658979,0.969371415346852,0.233005029065438
"762","PstI.TP1252197",1,5912854,0.855328146366861,0.528357702234745,0.528357702230859,0.0169192872601613,0.844607760376674
"594","PstI.TP116123",1,5967108,0.283514274126887,0.625740642435912,0.625740642449714,0.213010141773966,0.622880529797791
"2120","PstI.TP804275",1,5979740,0,0,0,0,0
"1577","PstI.TP523933",1,6018181,0.747451995690638,1.61434466964035,1.61434466962851,0.42318465420169,2.7758521649308
"1941","PstI.TP722242",1,6187691,0,0,0,0,0
"160","NsiI.TP488601",1,6409370,0.336299681380576,0.702587664264774,0.70258766427591,0.0444346637884327,0.705233934076145
"340","PstI.TP1015835",1,6514843,0.472262418307087,0.25002790448512,0.250027904475967,0.176310162907111,0.426623677416766
"1644","PstI.TP547229",1,6574881,0.170632435112437,0.251206961321932,0.251206961325092,0.123217560755947,0.512509526027605
"533","PstI.TP1129801",1,6608649,0.661312115650133,0.656491753206818,0.656491753215036,0.0275103008181031,0.0270456951490244
"1086","PstI.TP272307",1,6679965,0.596483955215694,0.0807445668207623,0.0807445668168291,0.345460419018113,0.323739953098956
"2210","PstI.TP841428",1,6731433,0,0,0,0,0
"548","PstI.TP1136661",1,6752030,0,0,0,0,0
"1449","PstI.TP444825",1,6930877,0.60550649939249,0.250511521711803,0.25051152172353,0.0728950742398694,0.139515168802248
"1683","PstI.TP572285",1,6947477,0,0,0,0,0
"280","NsiI.TP800074",1,6979429,1.88445032939026,0.133629695844854,0.133629695847012,0.227082777970002,0.517655614901785
"2123","PstI.TP806450",1,7007771,0.8989305879747,0.0103296287338839,0.0103296287340422,0.0247620739985163,0.300281637447066
"1443","PstI.TP443586",1,7215893,1.03290472770635,0.146952393346213,0.14695239334162,0.343594259321566,0.349875297136779
"1526","PstI.TP488378",1,7260223,0,0,0,0,0
"83","NsiI.TP375218",1,7321465,0.485148112045755,0.307779406891328,0.307779406875412,0.548335344889354,0.344512834319133
"1464","PstI.TP451905",1,7339832,0.474967156099424,0.412894162190952,0.412894162180114,0.31666747083128,0.114028697944641
"1919","PstI.TP712786",1,7449325,0.40606291136194,0.221155816700369,0.221155816695203,0.279183449529947,0.0606327200074252
"551","PstI.TP1137764",1,7486769,1.23969088340784,0.0574628368577081,0.0574628368602468,0.540692960854473,0.0143826327683774
"621","PstI.TP1173447",1,7571007,0.212317629785335,0.220011326800163,0.220011326798294,0.0197064824515728,0.150669338070279
"1745","PstI.TP614866",1,7824409,0,0,0,0,0
"2497","PstI.TP973605",1,7933170,0.361804756794989,0.446645679673673,0.446645679683774,0.0937653401327829,0.218944401401634
"2496","PstI.TP972953",1,7984963,1.32605064797843,0.672742549378707,0.672742549370255,1.44109141339525,0.782951797861129
"1293","PstI.TP36329",1,8029204,0,0,0,0,0
"1164","PstI.TP308053",1,8330660,0.28186618660227,0.545201883388749,0.545201883390869,0.316666647897475,0.914714533398547
"1405","PstI.TP424566",1,8533790,0.315200216581625,0.129246127086563,0.12924612708986,0.185532664016872,0.429991307954257
"2518","PstI.TP983141",1,8569458,0,0,0,0,0
"1150","PstI.TP302093",1,8923298,0.339128064592504,0.0971168844578884,0.0971168844595856,0.183242099935483,0.426788003790597
"1492","PstI.TP461927",1,9014162,0.839854746723548,0.105956183023976,0.105956183025782,0.340938457059504,0.382660289698406
"1441","PstI.TP443245",1,9039678,0.211251236278566,0.551949429297347,0.551949429301702,0.306174080738366,0.129351009410874
"1627","PstI.TP542649",1,9116308,1.26908680001249,0.115606234635906,0.115606234651583,0.178642952407834,0.104027468745976
"1663","PstI.TP550784",1,9140137,0,0,0,0,0
"1699","PstI.TP581769",1,9144035,0,0,0,0,0
"1993","PstI.TP745827",1,9270379,0.436160866330407,0.0905601157078875,0.0905601157017982,1.13615847186117,0.0615021291246817
"2498","PstI.TP974726",1,9504539,0.263335544670469,0.456014819912106,0.456014819915213,1.01990841855751,0.325309471191625
"1890","PstI.TP701371",1,9558859,0.926341676370985,0.228417805167268,0.228417805151719,0.824117335874372,0.112672213324416
"1341","PstI.TP390724",1,9756005,0.0579685385762057,0.102827440429523,0.102827440426561,0.483767962053122,0.16345981967572
"1057","PstI.TP258967",1,9761381,0,0,0,0,0
"1323","PstI.TP377612",1,9851429,0.125249726613424,0.235544866825977,0.235544866814048,0.531075591445693,0.32730072324532
"1322","PstI.TP377610",1,9851445,0.439454255471785,0.0882027677851301,0.0882027677866278,0.692294360547356,0.309556183662467
"309","PstI.TP1001875",1,9929490,0,0,0,0,0
"677","PstI.TP120265",1,9929566,1.03805928855217,0.917565059789351,0.917565059801109,0.663583794178285,0.44749629407565
"860","PstI.TP145867",1,9990979,0,0,0,0,0
"1540","PstI.TP498398",1,10010021,0.17103420083726,0.527237451004279,0.527237451007017,0.48044102816712,0.326466701332695
"493","PstI.TP1106149",1,10181736,0.186433637273974,0.524738539599747,0.524738539605884,0.0212591191823156,0.358346381671379
"1716","PstI.TP593918",1,10465079,0,0,0,0,0
"73","NsiI.TP360999",1,10465743,0.233996229675667,0.0611238314709852,0.0611238314691214,0.314972405380011,0.272948663557872
"1208","PstI.TP323026",1,10477035,0,0,0,0,0
"2367","PstI.TP91211",1,10530796,0.0152208806150825,0.25014514710244,0.250145147098568,0.0895898479959797,0.188511169262694
"1527","PstI.TP488889",1,10576905,0.00934149658127189,0.863304437452848,0.863304437446238,0.467188678381205,1.04287174105156
"2450","PstI.TP948493",1,10639570,0.597899382410821,0.399208673755764,0.399208673766462,0.351553705492287,0.830353426893403
"1824","PstI.TP667320",1,10965394,0,0,0,0,0
"2276","PstI.TP869093",1,11187262,0.325226589578486,1.05828796122992,1.05828796124532,0.144281501133147,0.760318077518566
"2191","PstI.TP835148",1,11456164,0.180096164124391,0.144813686578252,0.144813686578023,0.270884123358644,0.114529372614563
"1201","PstI.TP319571",1,11815150,0.0666220862884677,0.165779817619288,0.165779817631574,0.166466537756403,0.285890084981788
"809","PstI.TP1288084",1,11935767,0.918795884893775,0.498336285913336,0.498336285916306,1.18528740028241,0.481636025235173
"2424","PstI.TP939213",1,11990855,0,0,0,0,0
"1147","PstI.TP301133",1,12137712,0,0,0,0,0
"253","NsiI.TP690036",1,12138480,0,0,0,0,0
"1166","PstI.TP308387",1,12249163,1.41479304794849,0.17301014009837,0.173010140093264,1.28965447980056,0.653726562764393
"1362","PstI.TP401102",1,12714512,0.298727159233107,0.37253771392046,0.372537713943702,0.0957390777787036,0.148955960080939
"2041","PstI.TP770895",1,13263569,1.00825964161784,1.69626559107959,1.6962655911042,0.229613525078245,0.623223665173533
"1953","PstI.TP726878",1,13263594,0.44220945139559,0.544550432195311,0.544550432191783,0.922624540778742,0.603609490159389
"11","NsiI.TP146220",1,13426299,0.692782211317625,0.0275239096000031,0.0275239096049064,0.0801601138566543,0.0495144051623461
"2060","PstI.TP775845",1,13537099,0,0,0,0,0
"1504","PstI.TP473065",1,14979768,0.491101511272161,0.695842239580679,0.695842239576359,3.0481925390477,0.21440111969925
"2544","PstI.TP994295",1,15000089,0.849809975863968,0.181705056713959,0.181705056728034,1.283178083565,0.146725704538289
"137","NsiI.TP453296",1,15160906,0.652493683442998,0.197528645413081,0.197528645420717,0.288078270633173,0.149064197044071
"1991","PstI.TP745600",1,15174350,0,0,0,0,0
"1319","PstI.TP37494",1,15597809,0,0,0,0,0
"1296","PstI.TP364469",1,15807512,0.626753497383366,1.49749014392476,1.49749014392045,0.00780671822443505,0.812120529770862
"1649","PstI.TP548596",1,16432580,0,0,0,0,0
"572","PstI.TP1150194",1,16733554,1.20562294248327,0.215698010401179,0.215698010407345,0.592841791477943,0.249823760893299
"2286","PstI.TP875497",1,17132096,0,0,0,0,0
"1081","PstI.TP270063",1,17132801,0,0,0,0,0
"2502","PstI.TP97518",1,17476051,0.070997826931929,0.0460600322316817,0.0460600322323578,0.183074582745037,0.0110552858246015
"1176","PstI.TP311967",1,17610629,0,0,0,0,0
"2358","PstI.TP907404",1,18035898,0,0,0,0,0
"1559","PstI.TP510832",1,18167351,1.71016516222159,0.241282968058463,0.241282968056359,1.77314665532813,0.0465116584823172
"27","NsiI.TP20060",1,18191763,0.359807750452612,0.994533181118739,0.994533181089666,0.308053848803982,1.08188800877301
"639","PstI.TP1183011",1,18308062,0,0,0,0,0
"1488","PstI.TP460935",1,18308167,0,0,0,0,0
"1605","PstI.TP533117",1,18662889,0.0161780752007573,0.491020423605149,0.491020423604791,0.0287815357533795,0.100619377652671
"903","PstI.TP166501",1,18793961,1.80046369165124,0.8172915720996,0.817291572096847,0.112767126957955,0.0316681023926459
"1141","PstI.TP298371",1,19099334,0.418134160496293,0.814347773895667,0.814347773911815,0.398626914702346,0.38482988111923
"1478","PstI.TP458499",1,19100550,0.481005597209981,0.301678742206487,0.301678742204544,1.02980957992964,0.142243219213339
"1369","PstI.TP402677",1,19244412,0,0,0,0,0
"1693","PstI.TP579186",1,19637965,0.891681416270104,0.165101443532931,0.165101443531045,0.340202173380583,0.411453193915808
"1684","PstI.TP574132",1,19943823,0.158956489208202,0.934065753407312,0.934065753404078,1.88385669943465,1.54544594017729
"2322","PstI.TP890955",1,20013544,0.562396442416685,0.180899997862233,0.180899997879688,1.7849175361583,0.116811880840659
"2323","PstI.TP890977",1,20013575,0.995539307788281,0.193604267673117,0.193604267663166,0.80025423514495,0.254680215550539
"69","NsiI.TP352570",1,20251715,0,0,0,0,0
"121","NsiI.TP440927",1,20252244,0.589532712956829,0.248312208794408,0.248312208810691,0.529748066787183,0.170010568560303
"736","PstI.TP1239144",1,20685889,0.168447772362503,0.218916631006238,0.218916631001112,0.0674771198121963,0.317897769589355
"2232","PstI.TP851166",1,21305923,0.0748881265223912,0.369289903624711,0.369289903630271,0.0565117902001664,0.0393489872884698
"961","PstI.TP198890",1,21626192,1.30518855240228,0.368525158116787,0.368525158137525,1.08581856680287,0.118125576723783
"451","PstI.TP1074331",1,21885836,0.690253952754897,0.507729955121078,0.507729955107035,0.347276097312622,0.171673073415637
"2024","PstI.TP761935",1,22258955,1.38008413870932,0.706055727560091,0.706055727554983,0.398198901908593,0.935602305245687
"51","NsiI.TP304101",1,22335385,0,0,0,0,0
"541","PstI.TP1133775",1,23057893,0.0518372512660706,0.125264465092329,0.125264465086876,1.6907542159638,0.367852438879085
"1218","PstI.TP328085",1,23102616,0,0,0,0,0
"347","PstI.TP1020277",1,23246220,0,0,0,0,0
"771","PstI.TP1256502",1,23777666,0,0,0,0,0
"2310","PstI.TP884909",1,23972025,0.342227368345493,0.194058113287586,0.1940581132841,0.016337603455155,0.000819180931010262
"2531","PstI.TP98839",1,25165051,0,0,0,0,0
"1629","PstI.TP543090",1,25480362,0,0,0,0,0
"2016","PstI.TP757921",1,26848011,0.568099738190899,1.18520310998855,1.18520311000528,1.93272759933221,0.849023681226575
"1117","PstI.TP288641",1,27158173,0.203846089495151,0.356450243407179,0.356450243407284,1.37683747812261,0.78548378990264
"1168","PstI.TP309238",1,27158767,0,0,0,0,0
"916","PstI.TP176880",1,28241729,0.243275410870596,0.172427355083127,0.172427355080814,0.358616982632834,0.300878987850474
"2334","PstI.TP896979",1,28970255,0.327743740292947,0.0698461029790225,0.0698461029803432,0.47871812926018,0.0455825667809633
"868","PstI.TP150197",1,30650620,0.149516242949952,0.277413736078526,0.277413736077446,0.95468810416533,0.213946794479416
"1174","PstI.TP31070",1,30825121,0,0,0,0,0
"1557","PstI.TP510044",1,31327463,0.591950143939568,0.0507158699784902,0.0507158699801749,0.194326100506532,0.151614367413124
"491","PstI.TP1104697",1,34536264,0,0,0,0,0
"1016","PstI.TP231608",1,46403489,0.148066326733225,0.0756788187351792,0.075678818743588,0.239868103165204,0.575954690741655
"701","PstI.TP1213378",1,46786394,0,0,0,0,0
"1112","PstI.TP286748",1,49731278,0,0,0,0,0
"1061","PstI.TP261824",1,50142562,0,0,0,0,0
"652","PstI.TP1189297",1,50142670,0.0373356482415977,0.0562479916046046,0.0562479916028929,0.203867378735192,0.537891930192828
"596","PstI.TP1162168",1,50144561,0.952672312686682,0.00263025189916563,0.00263025190674132,1.63793878818096,0.393446596306564
"716","PstI.TP122157",1,50223254,0,0,0,0,0
"553","PstI.TP1138376",1,51888724,0.617169920553724,0.0370390745059044,0.0370390745079015,0.608707276730597,0.0868106010914064
"1518","PstI.TP481755",1,51889649,0.489537612584978,0.231452667847911,0.231452667855009,0.329779213874585,0.15324525468205
"1468","PstI.TP452799",1,52828554,0.279132712625369,0.0974466547117949,0.0974466547146166,0.0896376892415384,0.0322316840510052
"1650","PstI.TP548667",1,53141843,0,0,0,0,0
"544","PstI.TP1134497",1,53143016,0.114179955319283,0.11032751594299,0.110327515938125,0.465023266815687,0.263366125303636
"1325","PstI.TP378778",1,54121051,1.63048630358,0.36968835888148,0.369688358889769,0.11837593100602,0.0341917918694192
"1821","PstI.TP665437",1,54999161,0,0,0,0,0
"607","PstI.TP1167747",1,56262223,0.689353090695092,0.310145275794517,0.310145275793409,0.0111709012312319,1.35814796345682
"322","PstI.TP1007712",1,56295361,0.122696844246282,0.686401118806902,0.686401118787866,0.410092681920673,0.292095692197322
"1169","PstI.TP309283",1,56385216,0,0,0,0,0
"269","NsiI.TP742789",1,56568036,0,0,0,0,0
"2157","PstI.TP822327",1,56871868,0.029315533041047,0.202955904410468,0.202955904413204,1.64433886172889,0.415746133265309
"1320","PstI.TP377200",1,56910407,0.779385210725293,0.34614402583562,0.346144025833399,1.33445759896843,0.312449304819231
"395","PstI.TP1041006",1,57001520,0.289088517297272,0.274403074764808,0.274403074774947,0.26970753533735,0.36442618979051
"805","PstI.TP1282088",1,57117988,0.208584519436392,0.007233809268535,0.00723380926920657,1.03959790714629,0.192859387980465
"2124","PstI.TP807213",1,57183105,0.85287973556849,0.41537593888499,0.415375938880741,0.274392354167019,0.6081691908111
"604","PstI.TP1165736",1,57192298,0.404284053841737,0.118795862081833,0.118795862086429,0.0195657744082545,0.0361417807824807
"1070","PstI.TP264010",1,57283338,0.0841661582893273,0.401617397196797,0.401617397193459,0.236557706849729,0.524160654099589
"1450","PstI.TP445858",1,57330069,0,0,0,0,0
"273","NsiI.TP755202",1,57718474,0,0,0,0,0
"2356","PstI.TP9065",1,57881166,0,0,0,0,0
"1909","PstI.TP708344",1,57964831,0.0596049985134222,0.0513450611687903,0.0513450611715448,1.14801395419091,0.0689107234855651
"1937","PstI.TP720409",1,58165134,0.158451363227614,0.00482233571996824,0.00482233571880262,0.0651592816696936,0.15608351132278
"1158","PstI.TP306310",1,58165810,0,0,0,0,0
"1737","PstI.TP607895",1,58398018,0.235416582237283,0.362273513173247,0.362273513171308,0.441324010741698,0.0363224536988199
"2501","PstI.TP975092",1,59040624,0.206165196746528,0.27593989505563,0.275939895058652,0.822619792405504,0.0832076597913678
"1641","PstI.TP546331",1,59140499,0.0985029264373278,0.16968040762684,0.169680407631838,0.1357048358823,0.0174657684742133
"1542","PstI.TP502131",1,59426545,0,0,0,0,0
"2145","PstI.TP816116",1,59685970,1.52632038575193,0.201900682518768,0.201900682524544,0.038020578301302,0.103297527610766
"133","NsiI.TP45219",1,60042018,0,0,0,0,0
"2049","PstI.TP773822",1,60097008,0,0,0,0,0
"1476","PstI.TP457393",1,60097068,0.172020119523166,2.41600195910932,2.41600195910926,0.666382142292483,2.01164066245521
"647","PstI.TP1185674",1,60148122,0,0,0,0,0
"63","NsiI.TP337751",1,60167980,0.359088622166549,0.0564103071818692,0.056410307173013,0.738356438199569,0.0191445963688976
"297","NsiI.TP94007",1,60313546,0,0,0,0,0
"339","PstI.TP1014707",1,60949616,0.0831187209384065,0.624213588362138,0.624213588374726,0.0690716978782211,0.233310765684578
"2057","PstI.TP774975",1,61157443,1.84894787952976,0.184374107445733,0.184374107451771,0.977926753285356,0.312905113079427
"748","PstI.TP1246681",1,61289286,0,0,0,0,0
"1299","PstI.TP365645",1,61353360,0.127439720667328,0.84042967898614,0.840429678967495,0.0787113789392978,1.00496208629403
"393","PstI.TP1040444",1,61649660,0,0,0,0,0
"1521","PstI.TP483846",1,61901448,0,0,0,0,0
"1120","PstI.TP288904",1,62080065,0.80161196296222,0.227274639973022,0.227274639958216,1.52785336794691,0.054562230159194
"874","PstI.TP153019",1,62238600,0,0,0,0,0
"145","NsiI.TP462536",1,62433879,0,0,0,0,0
"734","PstI.TP1235985",1,62443684,0.0894967802918692,0.425875038924057,0.425875038914526,2.12620518440362,0.154057249808293
"592","PstI.TP116028",1,62738111,0,0,0,0,0
"1224","PstI.TP332665",1,62857264,0,0,0,0,0
"2189","PstI.TP834485",1,62936010,0.123301367075843,0.131145185800836,0.131145185808234,0.295858416253173,0.0538595879426171
"1401","PstI.TP420801",1,62946889,0.141221866349741,1.52157220238407,1.52157220238325,0.272684098494416,1.47596709766242
"1412","PstI.TP428256",1,63323451,0.272299600180405,0.49428489194085,0.494284891927775,0.563459058628417,0.212160460539785
"1403","PstI.TP424159",1,63417435,0.675312044094823,0.000399526639358078,0.000399526645297287,0.292000681275265,0.659146202077979
"2228","PstI.TP84880",1,63680478,0.0136781986362307,1.1092937321064,1.10929373211381,1.9947365499544,0.678169683244588
"1719","PstI.TP59594",1,63737514,0.0157305344994471,0.12531213529186,0.125312135302536,0.456548264210229,0.0119966004290721
"43","NsiI.TP267317",1,63808055,0.855105187827853,0.00108507947299681,0.00108507946495957,0.120040189078542,0.375511973439056
"1243","PstI.TP339315",1,63808218,0,0,0,0,0
"1756","PstI.TP622702",1,63849924,0.239574559275325,0.261613544655711,0.261613544642686,0.00432698364369899,0.0874188052664591
"1370","PstI.TP403217",1,63867116,0,0,0,0,0
"2146","PstI.TP816739",1,64060896,0.204332916189455,0.0286799322854069,0.0286799322872234,1.3714362347827,0.0050522185725194
"764","PstI.TP1252633",1,64114120,0,0,0,0,0
"2152","PstI.TP820348",1,64116607,0,0,0,0,0
"804","PstI.TP1281541",1,64484981,0,0,0,0,0
"2555","PstI.TP997652",1,64799296,0.106871671457933,0.183319225971821,0.183319225978878,0.143570849159276,0.366722294752964
"2185","PstI.TP833589",1,64801253,0,0,0,0,0
"2439","PstI.TP944748",1,64883503,0,0,0,0,0
"2294","PstI.TP876794",1,65066495,0,0,0,0,0
"2470","PstI.TP961110",1,65184135,0.725796284533914,1.8647568312549,1.86475683127768,0.279686819325167,2.13587749028275
"1510","PstI.TP477712",1,65237054,0.394941043959172,0.207011275219417,0.207011275221234,0.069867991920605,0.260370639414049
"955","PstI.TP197677",1,65249144,1.0205984356648,0.593739180466334,0.593739180480733,0.374851824617359,0.149894623733116
"1284","PstI.TP358803",1,65256453,0,0,0,0,0
"2389","PstI.TP924658",1,65264909,0.381772071894962,0.413940267564062,0.413940267568876,0.112873383482763,0.366191139791711
"221","NsiI.TP615624",1,65289533,0.0898057992084569,1.34313508355113,1.34313508353323,0.132368531876271,1.39040334017059
"1861","PstI.TP68682",1,65572744,0,0,0,0,0
"2478","PstI.TP966260",1,65795867,0.00844471213204541,0.132939830507176,0.132939830509654,0.876912987314239,0.623019629463323
"1594","PstI.TP530837",1,65836675,0.783316125958663,0.0265590152283357,0.0265590152217111,0.114790378447846,0.102868671126156
"4","NsiI.TP117758",1,66087512,0,0,0,0,0
"1493","PstI.TP46198",1,66096584,0,0,0,0,0
"1878","PstI.TP69498",1,66230707,0,0,0,0,0
"246","NsiI.TP66906",1,66339343,0.124772834039649,0.261328497730393,0.261328497728173,0.315176514718739,0.0915801479005208
"154","NsiI.TP482264",1,66520178,0.463961467023492,2.01875995117423,2.01875995116538,0.163915482130772,1.48246146627965
"1347","PstI.TP393536",1,66632271,0.402815907928972,1.5551271017905,1.55512710177968,0.477879035291951,1.45722930164509
"463","PstI.TP1084761",1,66720416,0,0,0,0,0
"152","NsiI.TP475064",1,66777724,0,0,0,0,0
"211","NsiI.TP575744",1,66841969,0,0,0,0,0
"144","NsiI.TP459012",1,67058618,0,0,0,0,0
"488","PstI.TP1102564",1,67094571,0,0,0,0,0
"2434","PstI.TP94366",1,67316019,0,0,0,0,0
"615","PstI.TP1171121",1,67376990,0.24354524847269,0.154531004962035,0.154531004964214,1.20021555000788,0.503908744344185
"2082","PstI.TP787593",1,67474277,0.220594678844411,0.094823319579495,0.0948233195761942,0.0831331642627107,0.275985778332042
"1939","PstI.TP721763",1,67560203,0.0616011437308223,0.735071841846319,0.7350718418543,0.370520074678355,0.515532356304956
"865","PstI.TP148680",1,67724801,0.399780320781359,0.451986770502704,0.451986770500561,0.938105910927546,0.50965632192639
"1842","PstI.TP678255",1,67745947,0.126200732731583,0.000264647016614705,0.000264647013627424,1.39344148819155,0.267665272682119
"976","PstI.TP209249",1,67863639,0,0,0,0,0
"258","NsiI.TP712037",1,67933970,0.805961058253167,0.523712785651314,0.523712785657778,0.450088032159348,0.065075980010693
"1400","PstI.TP420086",1,68042057,0.863045097774036,0.135715890111561,0.135715890101736,0.223073914147218,0.0466910177420602
"2153","PstI.TP820370",1,68065605,0,0,0,0,0
"2429","PstI.TP94114",1,68081418,0,0,0,0,0
"230","NsiI.TP624683",1,68159137,0,0,0,0,0
"256","NsiI.TP700374",1,68176238,0,0,0,0,0
"351","PstI.TP1021466",1,68344473,0,0,0,0,0
"535","PstI.TP1131578",1,68512918,0,0,0,0,0
"2401","PstI.TP929783",1,68577350,0.101448018781658,0.0586284137418745,0.0586284137376433,0.465938290435118,0.0733017025080592
"1688","PstI.TP577286",1,68698894,0.421076322487645,0.0977065567688066,0.0977065567634344,1.06224085239375,0.029449568673849
"40","NsiI.TP252602",1,68982448,0,0,0,0,0
"403","PstI.TP1045708",1,69041513,0.59106969133971,0.158561978411523,0.158561978417281,0.251505537536587,0.16885971319143
"282","NsiI.TP801056",1,69044428,0,0,0,0,0
"2280","PstI.TP871336",1,69055455,1.01493853969785,0.0155497142089387,0.0155497142200188,0.84720747170917,0.0285273400713721
"2307","PstI.TP884447",1,69119836,0.554666132978859,0.0603927275688457,0.0603927275732908,0.474277707712183,0.0415472404389266
"1496","PstI.TP468115",1,69143489,0.068230157386213,0.0805093391269129,0.0805093391223555,0.220336827009232,0.480326257973787
