"","SNP","ID","Chromosome","Position","Trait.name","PS","Ind.SNP","SUPER","FarmCPU","mrMLM","rrBLUP","GLM","MAF.1.x","PVE.1.y","X","X.1","X.2","X.3","X.4","Gene","chr","start","end","width","strand","dis_start.positon","dis_positon.end"
"83","NsiI.TP282888","CmN.19",2,675031,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.06897,1.977,NA,"",NA,NA,"","Sobic.002G006900.2","Chr02",663961,674302,10342,"+",-11070,729
"84","NsiI.TP282888","CmN.19",2,675031,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.06897,1.977,NA,"",NA,NA,"","Sobic.002G006900.2","Chr02",663961,674302,10342,"+",-11070,729
"85","NsiI.TP282888","CmN.19",2,675031,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.06897,1.977,NA,"",NA,NA,"","Sobic.002G006900.1","Chr02",663961,674299,10339,"+",-11070,732
"86","NsiI.TP282888","CmN.19",2,675031,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.06897,1.977,NA,"",NA,NA,"","Sobic.002G007000.2","Chr02",674662,676476,1815,"-",-369,-1445
"87","NsiI.TP282888","CmN.19",2,675031,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.06897,1.977,NA,"",NA,NA,"","Sobic.002G007000.2","Chr02",674662,676476,1815,"-",-369,-1445
"88","NsiI.TP282888","CmN.19",2,675031,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.06897,1.977,NA,"",NA,NA,"","Sobic.002G006900.1","Chr02",663961,674299,10339,"+",-11070,732
"89","NsiI.TP282888","CmN.19",2,675031,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.06897,1.977,NA,"",NA,NA,"","Sobic.002G006900.2","Chr02",663961,674302,10342,"+",-11070,729
"90","NsiI.TP282888","CmN.19",2,675031,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.06897,1.977,NA,"",NA,NA,"","Sobic.002G006900.2","Chr02",663961,674302,10342,"+",-11070,729
"91","NsiI.TP282888","CmN.19",2,675031,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.06897,1.977,NA,"",NA,NA,"","Sobic.002G006900.1","Chr02",663961,674299,10339,"+",-11070,732
"92","NsiI.TP282888","CmN.19",2,675031,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.06897,1.977,NA,"",NA,NA,"","Sobic.002G007000.2","Chr02",674662,676476,1815,"-",-369,-1445
"93","NsiI.TP296881","Bcirc_cm.6",10,7488785,"Bcirc_cm","PS_N(3);PS_Y(1)","124+36088im(4)","","","ISIS EM-BLASSO(1);mrMLM(1);pKWmEB(2)","","",0.0369,5.317,NA,"",NA,NA,"","Sobic.010G087300.1","Chr10",7481503,7488404,6902,"-",-7282,381
"94","NsiI.TP296881","Bcirc_cm.6",10,7488785,"Bcirc_cm","PS_N(3);PS_Y(1)","124+36088im(4)","","","ISIS EM-BLASSO(1);mrMLM(1);pKWmEB(2)","","",0.0369,5.317,NA,"",NA,NA,"","Sobic.010G087300.2","Chr10",7481503,7488404,6902,"-",-7282,381
"95","NsiI.TP296881","Bcirc_cm.6",10,7488785,"Bcirc_cm","PS_N(3);PS_Y(1)","124+36088im(4)","","","ISIS EM-BLASSO(1);mrMLM(1);pKWmEB(2)","","",0.0369,5.317,NA,"",NA,NA,"","Sobic.010G087300.3","Chr10",7481503,7488404,6902,"-",-7282,381
"96","NsiI.TP296932","Bcirc_cm.7",9,49933625,"Bcirc_cm","PS_N(3);PS_Y(1)","124+36088im(4)","","","ISIS EM-BLASSO(1);mrMLM(2);pKWmEB(1)","","",0.1025,30.57,NA,"",NA,NA,"","Sobic.009G142000.1","Chr09",49932745,49941367,8623,"+",-880,-7742
"97","NsiI.TP296932","Bcirc_cm.7",9,49933625,"Bcirc_cm","PS_N(3);PS_Y(1)","124+36088im(4)","","","ISIS EM-BLASSO(1);mrMLM(2);pKWmEB(1)","","",0.1025,30.57,NA,"",NA,NA,"","Sobic.009G142000.2","Chr09",49932745,49941367,8623,"+",-880,-7742
"98","NsiI.TP296932","Bcirc_cm.7",9,49933625,"Bcirc_cm","PS_N(3);PS_Y(1)","124+36088im(4)","","","ISIS EM-BLASSO(1);mrMLM(2);pKWmEB(1)","","",0.1025,30.57,NA,"",NA,NA,"","Sobic.009G142000.2","Chr09",49932745,49941367,8623,"+",-880,-7742
"99","NsiI.TP296932","Bcirc_cm.7",9,49933625,"Bcirc_cm","PS_N(3);PS_Y(1)","124+36088im(4)","","","ISIS EM-BLASSO(1);mrMLM(2);pKWmEB(1)","","",0.1025,30.57,NA,"",NA,NA,"","Sobic.009G142000.1","Chr09",49932745,49941367,8623,"+",-880,-7742
"100","NsiI.TP296932","CmN.20",9,49933625,"CmN","PS_N(1)","124+36088im(1)","","","mrMLM(1)","","",0.1025,38.92,NA,"",NA,NA,"","Sobic.009G142000.1","Chr09",49932745,49941367,8623,"+",-880,-7742
"101","NsiI.TP296932","CmN.20",9,49933625,"CmN","PS_N(1)","124+36088im(1)","","","mrMLM(1)","","",0.1025,38.92,NA,"",NA,NA,"","Sobic.009G142000.2","Chr09",49932745,49941367,8623,"+",-880,-7742
"102","NsiI.TP296932","CmN.20",9,49933625,"CmN","PS_N(1)","124+36088im(1)","","","mrMLM(1)","","",0.1025,38.92,NA,"",NA,NA,"","Sobic.009G142000.2","Chr09",49932745,49941367,8623,"+",-880,-7742
"103","NsiI.TP296932","CmN.20",9,49933625,"CmN","PS_N(1)","124+36088im(1)","","","mrMLM(1)","","",0.1025,38.92,NA,"",NA,NA,"","Sobic.009G142000.1","Chr09",49932745,49941367,8623,"+",-880,-7742
"105","NsiI.TP308953","Yld_kg.3",8,16086302,"Yld","PS_N(1)","124+36088im(1)","","","mrMLM(1)","","",0.2705,15.8,NA,"NsiI.TP308953",8,16086302,"NsiI.TP308953\8\16086302","Sobic.008G084100.1","Chr08",16086555,16090281,3727,"+",253,-3979
"109","NsiI.TP327757","CmN.24",3,71119897,"CmN","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.1986,1.145,NA,"",NA,NA,"","Sobic.003G403300.1","Chr03",71114880,71120454,5575,"-",-5017,-557
"111","NsiI.TP33138","Cml_cm.8",5,57403,"Cml_cm","PS_N(1)","124+36088im(1)","","","pKWmEB(1)","","",0.0847,3.002,NA,"",NA,NA,"","Sobic.005G000500.1","Chr05",57205,63652,6448,"-",-198,-6249
"112","NsiI.TP33138","Cml_cm.8",5,57403,"Cml_cm","PS_N(1)","124+36088im(1)","","","pKWmEB(1)","","",0.0847,3.002,NA,"",NA,NA,"","Sobic.005G000400.1","Chr05",56051,56996,946,"+",-1352,407
"113","NsiI.TP33138","Cml_cm.8",5,57403,"Cml_cm","PS_N(1)","124+36088im(1)","","","pKWmEB(1)","","",0.0847,3.002,NA,"",NA,NA,"","Sobic.005G000500.1","Chr05",57205,63652,6448,"-",-198,-6249
"114","NsiI.TP33138","Cml_cm.8",5,57403,"Cml_cm","PS_N(1)","124+36088im(1)","","","pKWmEB(1)","","",0.0847,3.002,NA,"",NA,NA,"","Sobic.005G000400.1","Chr05",56051,56996,946,"+",-1352,407
"115","NsiI.TP33138","Cml_cm.8",5,57403,"Cml_cm","PS_N(1)","124+36088im(1)","","","pKWmEB(1)","","",0.0847,3.002,NA,"",NA,NA,"","Sobic.005G000500.1","Chr05",57205,63652,6448,"-",-198,-6249
"116","NsiI.TP33138","Cml_cm.8",5,57403,"Cml_cm","PS_N(1)","124+36088im(1)","","","pKWmEB(1)","","",0.0847,3.002,NA,"",NA,NA,"","Sobic.005G000400.1","Chr05",56051,56996,946,"+",-1352,407
"117","NsiI.TP33138","Cml_cm.8",5,57403,"Cml_cm","PS_N(1)","124+36088im(1)","","","pKWmEB(1)","","",0.0847,3.002,NA,"",NA,NA,"","Sobic.005G000500.1","Chr05",57205,63652,6448,"-",-198,-6249
"118","NsiI.TP33138","Cml_cm.8",5,57403,"Cml_cm","PS_N(1)","124+36088im(1)","","","pKWmEB(1)","","",0.0847,3.002,NA,"",NA,NA,"","Sobic.005G000400.1","Chr05",56051,56996,946,"+",-1352,407
"120","NsiI.TP332475","CmN.25",3,64344627,"CmN","PS_Y(1)","124+36088im(1)","CMLM+SUPER(1)","","","","",0.2026,2.971,NA,"",NA,NA,"","Sobic.003G315800.2","Chr03",64343406,64343947,542,"+",-1221,680
"121","NsiI.TP332475","CmN.25",3,64344627,"CmN","PS_Y(1)","124+36088im(1)","CMLM+SUPER(1)","","","","",0.2026,2.971,NA,"",NA,NA,"","Sobic.003G315800.2","Chr03",64343406,64343947,542,"+",-1221,680
"122","NsiI.TP332475","CmN.25",3,64344627,"CmN","PS_Y(1)","124+36088im(1)","CMLM+SUPER(1)","","","","",0.2026,2.971,NA,"",NA,NA,"","Sobic.003G315700.1","Chr03",64344076,64352994,8919,"-",-551,-8367
"123","NsiI.TP332475","CmN.25",3,64344627,"CmN","PS_Y(1)","124+36088im(1)","CMLM+SUPER(1)","","","","",0.2026,2.971,NA,"",NA,NA,"","Sobic.003G315700.3","Chr03",64344076,64352994,8919,"-",-551,-8367
"124","NsiI.TP332475","CmN.25",3,64344627,"CmN","PS_Y(1)","124+36088im(1)","CMLM+SUPER(1)","","","","",0.2026,2.971,NA,"",NA,NA,"","Sobic.003G315700.1","Chr03",64344076,64352994,8919,"-",-551,-8367
