"","SNP","ID","Chromosome","Position","Trait.name","PS","Ind.SNP","SUPER","FarmCPU","mrMLM","rrBLUP","GLM","MAF.1.x","PVE.1.y","X","X.1","X.2","X.3","X.4","Gene","chr","start","end","width","strand"
"259","NsiI.TP482576","CmD_LI_mm.5",11,14924,"CmD_LI_mm","PS_Y(1)","C106+4202(1)","","","FASTmrEMMA(1)","","",0.033,6.317,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"260","NsiI.TP482576","Yld_kg.37",11,14924,"Yld","PS_N(1)PS_Y(2)","C106+4202(3)","","","mrMLM(1)FASTmrEMMA(2)","","",0.033,5.408,NA,"PstI.TP935926",6,55352294,"PstI.TP935926\6\55352294",NA,NA,NA,NA,NA,NA
"261","NsiI.TP48486","CmD_BI_mm.7",11,9715,"CmD_BI_mm","PS_N(2)","C124+2560(2)","","","ISIS EM-BLASSO(1);pKWmEB(1)","","",0.3306,7.279,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"295","NsiI.TP491797","Cml_cm.16",11,15087,"Cml_cm","PS_Y(1)","124+36088im(1)","","","FASTmrMLM(1)","","",0.1613,5.93,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"304","NsiI.TP506284","CmD_LI_mm.7",1,75748041,"CmD_LI_mm","PS_N(1)","124+36088im(1)","","","mrMLM(1)","","",0.25,13.2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"305","NsiI.TP506284","Yld_kg.38",1,75748041,"Yld","PS_N(2)","124+36088im(2)","","","mrMLM(1)pLARmEB(1)","","",0.25,17.65,NA,"PstI.TP991117",6,52632284,"PstI.TP991117\6\52632284",NA,NA,NA,NA,NA,NA
"306","NsiI.TP506284","CmDW_g.6",1,75748041,"CmDW_g","PS_N(1)","124+36088im(1)","","","mrMLM(1)","","",0.25,10.59,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"307","NsiI.TP509333","CmN.50",11,15400,"CmN","PS_N(1)","124+36088im(1)","","","pKWmEB(1)","","",0.0524,5.715,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"311","NsiI.TP511244","Yld_kg.39",1,76291569,"Yld","PS_Y(1)","124+36088im(1)","","","pLARmEB(1)","","",0.1008,2.085,NA,"PstI.TP995173",2,70172526,"PstI.TP995173\2\70172526",NA,NA,NA,NA,NA,NA
"312","NsiI.TP51472","CmN.52",11,9740,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.05239,7.141,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"339","NsiI.TP545368","CmN.55",11,15846,"CmN","PS_Y(2)","124+36088im(2)","CMLM+SUPER(1);MLM+SUPER(1)","","","","",0.4689,0.07559,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"340","NsiI.TP548243","Bcirc_cm.17",11,15891,"Bcirc_cm","PS_Y(1)","124+36088im(1)","MLM+SUPER(1)","","","","",0.2957,18.7,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"341","NsiI.TP563229","Bcirc_cm.18",3,13084031,"Bcirc_cm","PS_N(1);PS_Y(1)","124+36088im(2)","MLM+SUPER(1)","FarmCPU(1)","","","",0.1932,0.4432,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"342","NsiI.TP5701","Cml_cm.18",1,69156484,"Cml_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.291,5.099,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"383","NsiI.TP578256","CmDW_g.10",11,16314,"CmDW_g","PS_N(2)","C116+3293(2)","","","ISIS EM-BLASSO(1);pKWmEB(1)","","",0.1552,33.81,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"384","NsiI.TP578256","CmD_LI_mm.9",11,16314,"CmD_LI_mm","PS_N(1)","C116+3293(1)","","","pKWmEB(1)","","",0.1552,19.52,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"385","NsiI.TP578256","CmD_BI_mm.10",11,16314,"CmD_BI_mm","PS_N(4);PS_Y(2)","C116+3293(6)","","FarmCPU(1)","FASTmrEMMA(1);FASTmrMLM(1);mrMLM(2);pKWmEB(1)","","",0.1579,47.55,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"387","NsiI.TP587756","CmD_BI_mm.11",11,16426,"CmD_BI_mm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.0766,8.424,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"393","NsiI.TP609571","CmN.58",11,16656,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.4619,7.663,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"394","NsiI.TP613708","CmN.59",11,16706,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.1816,8.763,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"395","NsiI.TP615473","CmN.60",11,16715,"CmN","PS_Y(1)","124+36088im(1)","CMLM+SUPER(1)","","","","",0.05197,2.481,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"398","NsiI.TP620600","Bcirc_cm.19",11,16796,"Bcirc_cm","PS_Y(1)","124+36088im(1)","MLM+SUPER(1)","","","","",0.1034,0.4254,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"400","NsiI.TP634727","CCirc_cm.6",3,6399724,"CCirc_cm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.08855,0.05821,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"439","NsiI.TP656422","CmN.63",11,17204,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.1208,7.158,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"440","NsiI.TP658897","Bcirc_cm.22",11,17214,"Bcirc_cm","PS_N(1)","C116+3293(1)","","FarmCPU(1)","","","",0.3276,13.56,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"441","NsiI.TP66555","CmD_BI_mm.13",11,9920,"CmD_BI_mm","PS_N(1);PS_Y(1)","124+36088im(2)","","","pKWmEB(2)","","",0.1815,0,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"442","NsiI.TP66555","Cml_cm.22",11,9920,"Cml_cm","PS_N(2);PS_Y(2)","124+36088im(4)","","","FASTmrMLM(2);ISIS EM-BLASSO(1);pKWmEB(1)","","",0.1815,0,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"443","NsiI.TP66555","CmD_LI_mm.11",11,9920,"CmD_LI_mm","PS_N(2);PS_Y(3)","124+36088im(5)","","","FASTmrMLM(2);ISIS EM-BLASSO(1);pKWmEB(2)","","",0.1815,0,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"444","NsiI.TP66555","CmDW_g.13",11,9920,"CmDW_g","PS_N(4);PS_Y(2)","124+36088im(6)","","","FASTmrMLM(2);ISIS EM-BLASSO(1);mrMLM(1);pKWmEB(2)","","",0.1844,0,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"447","NsiI.TP675510","CmN.65",11,17441,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.06112,9.237,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"449","NsiI.TP682707","CmN.67",11,17550,"CmN","PS_Y(1)","124+36088im(1)","","","pKWmEB(1)","","",0.0403,14.16,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"450","NsiI.TP693731","CCirc_cm.7",11,17668,"CCirc_cm","PS_N(1)","124+36088im(1)","","","pKWmEB(1)","","",0.2605,2.4,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"454","NsiI.TP713435","CmDW_g.14",11,17915,"CmDW_g","PS_N(2)","124+36088im(2)","","","FASTmrMLM(1);pKWmEB(1)","","",0.0806,1.737,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"456","NsiI.TP715620","CmDW_g.15",11,17946,"CmDW_g","PS_N(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.2661,12.23,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"477","NsiI.TP744668","CmN.69",8,13866107,"CmN","PS_N(1)","124+36088im(1)","","","mrMLM(1)","","",0.1926,18.38,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"481","NsiI.TP750615","CmN.70",1,12653027,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.06535,7.914,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"482","NsiI.TP753053","CCirc_cm.9",11,18356,"CCirc_cm","PS_Y(1)","124+36088im(1)","","","FASTmrMLM(1)","","",0.0798,1.32e-08,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"484","NsiI.TP754072","CmN.72",1,67675884,"CmN","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.1658,0.1363,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"498","NsiI.TP765320","CmD_BI_mm.17",7,5038310,"CmD_BI_mm","PS_N(1)","C106+4202(1)","","","mrMLM(1)","","",0.1058,29.5,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"499","NsiI.TP765320","Bcirc_cm.24",7,5038310,"Bcirc_cm","PS_N(5);PS_Y(3)","C106+4202(8)","","FarmCPU(1)","FASTmrMLM(2);ISIS EM-BLASSO(2);mrMLM(1);pKWmEB(2)","","",0.1132,26.33,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"504","NsiI.TP770913","CmD_BI_mm.18",11,18626,"CmD_BI_mm","PS_N(1)","124+36088im(1)","","","pKWmEB(1)","","",0.0282,40.64,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"505","NsiI.TP777080","CmN.74",11,18691,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.4152,8.293,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"514","NsiI.TP787181","CmN.76",11,18814,"CmN","PS_Y(2)","124+36088im(2)","CMLM+SUPER(1);MLM+SUPER(1)","","","","",0.05537,3.921,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"515","NsiI.TP804180","Bcirc_cm.25",11,18968,"Bcirc_cm","PS_Y(1)","124+36088im(1)","MLM+SUPER(1)","","","","",0.2973,0.1266,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"516","NsiI.TP810561","CmDW_g.17",2,61303139,"CmDW_g","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.4736,2.323,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"517","NsiI.TP810561","CmD_LI_mm.17",2,61303139,"CmD_LI_mm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.4736,2.743,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"518","NsiI.TP810561","Cml_cm.26",2,61303139,"Cml_cm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.4736,2.557,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"519","NsiI.TP826891","CmN.77",11,19276,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.3319,11.01,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"520","NsiI.TP827851","CCirc_cm.11",4,12330408,"CCirc_cm","PS_N(1)","C124+2560(1)","","FarmCPU(1)","","","",0.05645,21.42,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"521","NsiI.TP827851","CmDW_g.18",4,12330408,"CmDW_g","PS_N(2)","C124+2560(2)","","FarmCPU(1)","mrMLM(1)","","",0.05645,20.47,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"522","NsiI.TP827851","CmD_BI_mm.19",4,12330408,"CmD_BI_mm","PS_N(2)","C124+2560(2)","","","FASTmrMLM(1);mrMLM(1)","","",0.0565,0,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"523","NsiI.TP827851","CmN.78",4,12330408,"CmN","PS_N(3)","C124+2560(3)","","FarmCPU(1)","FASTmrMLM(1);mrMLM(1)","","",0.0565,26.72,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"524","NsiI.TP827851","Yld_kg.40",4,12330408,"Yld","PS_N(2)","C124+2560(2)","","FarmCPU(1)","mrMLM(1)","","",0.05645,23.47,NA,"NsiI.TP482576",11,14924,"NsiI.TP482576\11\14924",NA,NA,NA,NA,NA,NA
"526","NsiI.TP84023","CmN.79",11,10066,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.1581,6.88,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"537","PstI.TP1014541","CmN.81",11,7044,"CmN","PS_N(3);PS_Y(2)","124+36088im(5)","","","FASTmrMLM(2);ISIS EM-BLASSO(1);pKWmEB(2)","","",0.3185,24.92,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"539","PstI.TP1016686","CmN.82",11,7060,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.4017,8.988,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"540","PstI.TP1021221","CmN.83",11,7084,"CmN","PS_Y(1)","124+36088im(1)","CMLM+SUPER(1)","","","","",0.132,0.9969,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"546","PstI.TP1029642","CmN.86",11,7158,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.1223,7.606,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"547","PstI.TP1032333","Bcirc_cm.28",3,3528771,"Bcirc_cm","PS_N(7);PS_Y(1)","124+36088im(1);C124+2560(7)","","FarmCPU(1)","FASTmrEMMA(1);ISIS EM-BLASSO(1);mrMLM(2);pKWmEB(2);pLARmEB(1)","","",0.1434,22.21,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"548","PstI.TP1032333","CmD_BI_mm.21",3,3528771,"CmD_BI_mm","PS_N(1)","C124+2560(1)","","","ISIS EM-BLASSO(1)","","",0.1411,5.305,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"568","PstI.TP104645","CmN.88",6,44593939,"CmN","PS_N(2);PS_Y(2)","124+36088im(4)","","","FASTmrMLM(2);pKWmEB(2)","","",0.254,8.259,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"570","PstI.TP10552","CmD_LI_mm.19",11,79,"CmD_LI_mm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.1694,14.55,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"577","PstI.TP1071296","CCirc_cm.12",11,7466,"CCirc_cm","PS_N(6)","C106+4202(3);C116+3293(2);C124+2560(1)","","","FASTmrEMMA(1);ISIS EM-BLASSO(2);mrMLM(1);pKWmEB(2)","","",0.1513,19.11,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"578","PstI.TP1071296","Yld_kg.41",11,7466,"Yld","PS_N(10)","C106+4202(3)C116+3293(5)C124+2560(2)","","FarmCPU(1)","FASTmrMLM(1)mrMLM(2)ISIS EM-BLASSO(1)pLARmEB(3)FASTmrEMMA(2)","","",0.1466,29.63,NA,"NsiI.TP506284",1,75748041,"NsiI.TP506284\1\75748041",NA,NA,NA,NA,NA,NA
"579","PstI.TP1071296","Cml_cm.31",11,7466,"Cml_cm","PS_N(1)","C124+2560(1)","","FarmCPU(1)","","","",0.1492,17.8,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"612","PstI.TP1079991","CmN.90",11,7542,"CmN","PS_N(1);PS_Y(1)","124+36088im(2)","","","FASTmrMLM(1);pKWmEB(1)","","",0.1573,4.856,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"616","PstI.TP1089091","CmDW_g.21",11,7602,"CmDW_g","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.1379,5.751,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"618","PstI.TP1096280","Yld_kg.42",3,1833730,"Yld","PS_N(1)","C116+3293(1)","","FarmCPU(1)","","","",0.07328,0.6019,NA,"NsiI.TP511244",1,76291569,"NsiI.TP511244\1\76291569",NA,NA,NA,NA,NA,NA
"767","PstI.TP1123892","Cml_cm.33",11,7887,"Cml_cm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.212,0.04522,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"768","PstI.TP1127198","CCirc_cm.15",11,7909,"CCirc_cm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.05541,10.1,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"769","PstI.TP1127198","CmN.98",11,7909,"CmN","PS_N(2)","C106+4202(1);C116+3293(1)","","","FASTmrMLM(2)","","",0.3966,9.889,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"771","PstI.TP1128716","CmN.100",3,65668248,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.1208,7.922,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"810","PstI.TP1151011","CmD_LI_mm.21",11,8080,"CmD_LI_mm","PS_N(1)","124+36088im(1)","","","pKWmEB(1)","","",0.1976,14.4,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"811","PstI.TP1151415","CmN.104",11,8084,"CmN","PS_N(2);PS_Y(1)","C124+2560(3)","","","ISIS EM-BLASSO(1);pLARmEB(2)","","",0.1653,29.04,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"812","PstI.TP1154493","CmD_LI_mm.22",2,47054143,"CmD_LI_mm","PS_N(1)","124+36088im(1)","","","mrMLM(1)","","",0.2705,23.21,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"870","PstI.TP1160897","CmN.106",10,17579080,"CmN","PS_Y(2)","124+36088im(2)","MLM+SUPER(1)","","","","GLM(1)",0.1694,15.48,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"871","PstI.TP1164803","CmN.107",11,8190,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.3315,6.745,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"876","PstI.TP1166684","CCirc_cm.18",11,8202,"CCirc_cm","PS_N(2)","124+36088im(2)","","","FASTmrMLM(1);pKWmEB(1)","","",0.084,12.72,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"879","PstI.TP117838","CmDW_g.26",10,54500517,"CmDW_g","PS_N(1)","124+36088im(1)","","","mrMLM(1)","","",0.209,21.31,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
"925","PstI.TP1188898","CmN.110",11,8399,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.2946,9.106,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA
