"","Name","Chromosome","Position","CmDW_g","Cml_cm","CmD_BI_mm","CmD_LI_mm","CmN.","Bcirc_cm","Yld_kg","SDW_kg","CCirc_cm","Lg","GS","FD","SRD","ADD","mc","Yld_1","Yld","AIL","CmDW.V","rrBLUP.CmDW_g","rrBLUP.Cml_cm","rrBLUP.CmD_BI_mm","rrBLUP.CmD_LI_mm","rrBLUP.CmN.","rrBLUP.Bcirc_cm","rrBLUP.Yld_kg","rrBLUP.SDW_kg","rrBLUP.CCirc_cm","rrBLUP.Lg","rrBLUP.GS","rrBLUP.FD","rrBLUP.SRD","rrBLUP.ADD","rrBLUP.mc","rrBLUP.Yld_1","rrBLUP.Yld"
"3513","PstI.TP775725",1,1175417,0.955445221354252,0.559031542259052,1.05993627813688,0.899373265135009,0.359664941602191,0.132966341221278,0.448114055492378,0.2792962481154,1.31259177393323,0.20920289698601,0.313147107382098,1.74381040395069,0.818431414595195,1.02964229686685,1.43834749817689,0.259134679414133,0.259134679424884,0.2503990971929,1.17856493123516,0.110803831619583,0.276037736622217,0.0871091391474977,0.12607434916245,0.436852734354168,0.736264157377123,0.356357533638066,0.525658573169421,0.048686463137985,0.617727737989812,0.486242474210055,0.018038050399935,0.151903781520933,0.0934023284784704,0.0364462207931204,0.550636911466289,0.550636911452658
"872","NsiI.TP72077",1,1422420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1808","PstI.TP13650",1,1521127,0.0408413844225441,0.174575641905557,0.0335510871799456,0.0761231078571641,0.091945531621542,0.0905874177389625,0.231531012594201,0.363850691845421,0,0.253456694719133,5.63248530614693,0.33988878664745,0.149487829508327,0.255747585513476,0.167573935475959,0.209745826076948,0.209745826082174,0.049796352612764,0.0338818616677613,0.910245657187589,0.668997289352835,0.925654491591142,0.839222061612413,0.809197380793262,0.81173184159963,0.586771467278531,0.432662552574577,1,0.557883228188557,0.00000233085197563775,0.457205254927541,0.708781168767662,0.554948158352422,0.679870292179522,0.616955974076137,0.616955974068712
"2348","PstI.TP329515",1,1537490,0.244191413881281,0.235931972416478,0.377913015297986,0.360271322306077,0.243254875294634,0.18492466336547,0.191306591975707,0.0988018888087034,0.163382449500797,0.0894119747157407,0.938175240334601,0.644918165481128,0.0636414658200822,0.710856526978931,0.927774799141188,0.0695779274271682,0.0695779274428754,0.447878327038843,0.330153074797692,0.569913029602249,0.580855395178134,0.418877453547011,0.436243207330765,0.571143350225294,0.65324386038631,0.643714672052729,0.796522615585675,0.686463658404852,0.813931816407085,0.115298792665035,0.226507107686307,0.863691278576148,0.194600285468879,0.118093284271565,0.851965625609722,0.851965625578909
"1117","PstI.TP1031399",1,1661159,0.399573129619288,0.776117903404197,0.341788153654586,0.0637671755338849,0.302335688222159,0.60472739274875,0.0200785921975305,0.0798237429839992,0.0911586169606908,0.0992759002106188,0.337438208083887,0.287311948605095,0.587165060153105,0.858108577220336,1.00051999832361,0.0187646961970069,0.0187646961890995,0.371568593732407,0.179658408913836,0.39849866460065,0.167448821986298,0.455210054843138,0.863441312998277,0.49849902333966,0.248469226069551,0.954819781211962,0.832101408258722,0.810664925399136,0.79565372397487,0.459792403666705,0.516045566671181,0.258722941279657,0.138640917175525,0.0998803376137684,0.957712826290743,0.95771282630818
"965","NsiI.TP796534",1,1682668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4000","PstI.TP929619",1,1952038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2598","PstI.TP417865",1,2030761,0.159973217170051,0.0657506876269744,0.235385377963666,0.426444444066142,0.173488573388737,0.0815288164795856,0.00652138214246803,0.0765825021170047,0.41431710866966,0.172497898212906,0.501251064514104,2.73674003390572,0.333292688489062,0.965876824869502,2.20842854991672,0.135532490388469,0.135532490382267,0.199544701087793,0.268990975636415,0.691873637274087,0.859506790915058,0.581586908537765,0.374589462303832,0.670673932400793,0.828840918867381,0.985096141187175,0.838334806586088,0.385196995784147,0.672205562271843,0.315318125047538,0.00183341156322659,0.46420232519429,0.108174071241374,0.00618830129047693,0.731926564346186,0.731926564356638
"821","NsiI.TP666080",1,2031570,0.642034632493157,0.174874934338258,0.243615147734094,0.597259810151779,0.716001924540417,0.469120978137006,1.09013478825223,1.16519826313106,1.0467900728634,0.54408297910611,0.156345582906128,0.336500313042518,0.241771010374531,0.294589164926778,0.416613783448215,1.15311002336893,1.15311002336703,0.399328295756273,0.602676965442595,0.228016023505402,0.668536411174676,0.57066975018587,0.25277853344123,0.192308320690559,0.339530678916482,0.081257828407423,0.0683599500744277,0.0897862694089533,0.285704460584322,0.697677017778998,0.460786436552047,0.57309812769564,0.507470539641847,0.38316533943454,0.0702894227389274,0.070289422739236
"3867","PstI.TP885267",1,2084430,0.132097691142008,0.0627626683186645,0.239647595598773,0.26376961067005,0.0238622057393023,0.574433666396243,0.264698865002572,0.256501117159842,0.291194807346707,0.177402590201117,0.0555475211272483,0.0515330859584193,0.215481994194109,0.422116764778378,0.296538340592896,0.154184236266759,0.154184236265543,0.214055923549419,0.325022830229017,0.737738263019512,0.865440732501745,0.575907062461598,0.544791583249948,0.946537433974256,0.266419699185592,0.54362714589704,0.553986118887467,0.511452366753301,0.664656734941151,0.879938822247012,0.888110314625449,0.608860788545659,0.378340850003454,0.505198042836463,0.701157790385583,0.701157790387547
"1776","PstI.TP1294018",1,2280325,0.17009635580405,0.0246122796682275,0.0281324370263477,0.285446755503356,0.944823993635089,0.0598762206081291,0.0450060475364993,0.0123063882948654,0.507988475625216,0.253659822445174,0.124272693469732,0.247662368342108,0.0756169518755417,0.890588935523773,0.010820339166142,0.0195723636410138,0.0195723636404656,0.885434066278492,0.0525213003956514,0.675932991233252,0.944904071511906,0.937276143303474,0.5182666275928,0.113547089430968,0.871211860916647,0.901558583344673,0.972061207100388,0.310464197136008,0.557622356685288,0.751151098200191,0.565376342057101,0.840200717598814,0.128650377373703,0.975393059118371,0.955933400836426,0.955933400837632
"2971","PstI.TP56795",1,2315051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3162","PstI.TP653218",1,2466683,0.767610291435384,0.236629120875281,0.906976383582516,0.321842736565167,1.16153895327666,0.166667424995506,0.272690234569756,0.24041565535274,0.0205293327968713,0.0396809797853283,0.287203860001406,0.354218160591637,0.339340607183121,0.0493004004368043,0.50223078964578,0.273610149782896,0.273610149788904,0.42038994565381,0.83830372648665,0.170761400716632,0.579923728720019,0.123886395264726,0.47660353963276,0.0689383757339061,0.681290879443553,0.533715438305339,0.574889457704225,0.953829317831171,0.912681022362505,0.516174017731064,0.442366101305162,0.457782717422296,0.892687800152713,0.3146076004745,0.532586127772336,0.532586127764969
"1264","PstI.TP108989",1,2588793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4103","PstI.TP966432",1,2596832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"556","NsiI.TP486649",1,2601704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2658","PstI.TP441536",1,2816855,0.031366981573139,0.0951096536951392,0.267750335779503,0.481267227478011,0.844808527109249,0.0999719534532863,0.316977919090518,0.420416022545288,0.367658376961232,0.511107431121248,0.400657212088295,0.0103788513473175,0.0458120644576671,0.274014757927029,0.189160023674671,0.349012477712446,0.349012477719306,0.664585735172707,0.189699115261476,0.930321415775841,0.803323267924783,0.539820861831426,0.330166322558628,0.142952407192171,0.794379533748888,0.48197230200332,0.379825376894335,0.428885756190448,0.308242535853433,0.397505175854441,0.976385112033284,0.899886912168004,0.532090177799573,0.646904208246004,0.447700441112591,0.447700441105519
"1253","PstI.TP1085601",1,2820903,0.336223874618185,0.097662011535278,0.298044133372106,0.166894458582978,0.18385658541515,0.152086752861429,0.355468625211561,0.29860523168078,0,0.045276376160291,0.152731958747912,0.627778575164341,0.120373199050842,0.0973262163691571,0.400456575290996,0.241931594499432,0.241931594495636,0.0292528722392735,0.321584253458264,0.461079831080973,0.798615966122242,0.503449445230411,0.68093481806942,0.654852386527256,0.704552316465873,0.441094227993727,0.502799420326159,1,0.900997578621906,0.703506381471091,0.235625031080214,0.757925992196978,0.799233692327758,0.397688859032793,0.572886258899878,0.572886258904884
"2853","PstI.TP525202",1,2884119,1.01091466604837,0.461954740174834,1.08260845030679,0.913461624543274,0.404524042740537,0.794443608572445,0.795357152901139,0.704005146109563,0.543297262169497,0.0248907243269834,0.24789521015574,1.03628742037216,0.161252170731504,0.79415272958789,1.71617666989497,0.690219064722431,0.690219064712216,0.148301355238632,1.23677436784783,0.0975181230971479,0.345179710226472,0.0826783021788999,0.122050166286855,0.393981616039099,0.160530068653479,0.160192746383761,0.197694621443523,0.286221819266883,0.944298447500288,0.565073303507965,0.0919840610677389,0.689839136182049,0.160637623472338,0.0192230957916597,0.204070832078955,0.204070832083755
"1733","PstI.TP1268585",1,2988383,0.54433528674743,0.255422563970714,0.922667215636298,0.838115026662191,0.0240912799255711,0.417666803662586,0.826625054355769,0.587729786358281,1.53182755871717,0.701006148100999,0.163623286297273,0.496457079080517,0.253094808736918,0.762222634250844,0.810898706196036,0.612625644451132,0.612625644466399,0.0835591523205323,0.81878641060961,0.285538525979449,0.555363631319522,0.119490336556248,0.14517270641533,0.946038302331143,0.382237415857134,0.149064746425246,0.258386734677933,0.029388163088703,0.199064515816836,0.686083087425271,0.31881806450528,0.558348291104617,0.172892982325803,0.154561489301397,0.243991308189147,0.24399130818057
"3760","PstI.TP849876",1,3050119,0.280639366101644,0.200816052059355,0.200648693478775,0.563439763037651,0.0677204863280851,0.0810874839212932,0.0852009905340027,0.111222066394649,0.00427410368372597,0.0689228035015579,0.119587043887352,0.39042053927195,0.184826492730384,0.603380742222586,0.103972793978723,0.109785525529606,0.109785525525574,0.348582564381476,0.35752107010272,0.524035409850887,0.629772870317802,0.630015604703324,0.273250041740279,0.855617214387024,0.829683619897667,0.82186220589263,0.774065895979207,0.990206781533436,0.853251767325992,0.759299224142118,0.406985991225087,0.653391540395978,0.249240869566157,0.787095095076786,0.776630557616179,0.776630557623388
"3175","PstI.TP66009",1,3078783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2005","PstI.TP209693",1,3305106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3101","PstI.TP626124",1,3342723,0.147942210465775,0.136460267602607,0.0208837949366749,0.10729752328772,0.00604046875162317,0.158206289356489,0.0740065449829548,0.138516863962504,0.00769758175242776,0.240805333130752,0.0423069679223218,0.503271544810885,0.150505659529035,0.277132537424548,0.104198814919858,0.115705053576835,0.115705053568452,0.276986876598284,0.0654224352219665,0.711308157803925,0.730364628850737,0.953051139753866,0.781092516104606,0.986187585683983,0.694694260268611,0.843322048484619,0.726914172073639,0.982431815140319,0.574373860149262,0.907179091404643,0.31385456887606,0.707121985727734,0.528284006146881,0.786685571822098,0.766116730204962,0.76611673021975
"1191","PstI.TP1059573",1,3357749,0.709916700656727,1.02019210844321,0.46249322606707,1.1038999510915,1.19723432379824,1.55871698415994,1.12316523998739,0.868832096498015,0.88712811132633,0.162376059194825,0.181101748345002,0.439479502818155,0.116580935809479,0.312415953516669,0.503192808525622,0.948447740417953,0.948447740415167,0.0213171479557879,0.597367153020524,0.195021862328096,0.0954570242253023,0.344751983819927,0.0787227123205522,0.0634988231199946,0.0276237742291731,0.0753068982185547,0.135259539186771,0.129679667609675,0.688056244708023,0.659019479290139,0.363513460706221,0.764573188087174,0.487061774276128,0.313911474925098,0.112603595905344,0.112603595906066
"606","NsiI.TP504485",1,3381640,0.404974332157223,0.0902158595236722,0.318312154722462,0.775745759439902,0.341459266924201,1.5025903129514,0.473656189908765,0.593996166029666,0,0.152415501871356,1.44423768905026,0.602701437481946,1.00658951780014,0.0315657620783635,0.466335057663106,0.534379861833737,0.534379861831123,0.236163917272795,0.583973231362097,0.393573335894034,0.812426611398097,0.480493863184021,0.167592369227475,0.455554911282748,0.0314347265691216,0.336003506827,0.254685273621111,1,0.70401919149441,0.035955249847862,0.249631026463116,0.0984941603399236,0.929895696699963,0.341715707539588,0.292159584467249,0.292159584469008
"1658","PstI.TP1243055",1,3389055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1662","PstI.TP1244443",1,3397749,0.616340484025106,0.409854845914459,0.0404463009554512,0.696266331724477,0.246060942297179,0.374142369146122,0.511970653705663,0.600455662976308,0.973017849953969,0.148326204158726,0.31274086641629,0.418933845993847,0.756926625054081,0.294577258500282,0.0303987188291431,0.502800639882417,0.5028006398874,0.164432520889429,0.432560728361757,0.241913171968717,0.389175197142958,0.911074096533867,0.201248970910965,0.567464970398619,0.422530078985743,0.307630468082309,0.250925233538307,0.106409928174059,0.710679512628727,0.486697520348923,0.381123873753516,0.175014235379748,0.507484452421669,0.93239788811493,0.314195065533873,0.314195065530268
"175","NsiI.TP24278",1,3414839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1571","PstI.TP1199997",1,3471828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3455","PstI.TP757375",1,3471897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3373","PstI.TP726521",1,3535515,0.0167897308161274,0.0390521520557354,0.0424788331537012,0.146596762512729,0.039203907001501,0.0853918058392209,0.0946338418189788,0.0236998480691344,0.185670442999512,0.0361269949563302,0.00909124227727066,0.00128857115699248,0.0698229782334413,0.0567364334307887,0.0456002004929877,0.0464768416432029,0.0464768416488092,0.223343299951672,0.0720374065364801,0.962077967895116,0.914003477187188,0.906820160529306,0.713515213425063,0.913684153955976,0.821501184863105,0.804203869058794,0.946891355905322,0.652123058874117,0.920180456281867,0.979284222929301,0.997037352589787,0.851485039319536,0.877533220843708,0.900326015422173,0.898510503545657,0.898510503534058
"2486","PstI.TP374511",1,3576636,1.19187417997328,1.27080566375003,0.955450296679961,0.819901501040316,1.35349853475546,1.53854444165363,1.47868433716412,1.38511330788033,1.05902367766551,1.08456329387049,0.277929860685673,1.0647582065896,0.87107438530097,0.267887116494609,0.370086729819066,1.40806507516184,1.40806507517181,0.0264862400961563,0.925546520382351,0.0642873938196464,0.0536036467176201,0.110802536732651,0.151390456644322,0.0443099709438841,0.0289371368619791,0.0332135779590156,0.0411990016451981,0.0872923775426489,0.0823069874369353,0.527315016838802,0.0861473243838156,0.134562985687345,0.539650872434045,0.426494338187858,0.0390782336151027,0.0390782336142061
"1731","PstI.TP1267977",1,3576713,0.15166715379348,0.00601176489529296,0.213516417528304,0.0881582529340301,0.112608483085766,0.337161113933688,0.157825291561708,0.0466948252315017,0.0765958878694274,0.24259751876442,0.126656206846829,0.274457468841567,0.546034810743218,0.64803924467938,0.143658761077562,0.0250187833963816,0.0250187833958288,0.0443912017590431,0.216135611535791,0.705233357480009,0.986252768004817,0.611622681494683,0.816284870423395,0.77159875267304,0.460085859936258,0.695303968943463,0.898059631139161,0.838308967968053,0.572008498437611,0.747039890886473,0.531548052315096,0.284423311966298,0.224885138096698,0.718358506600373,0.944020046188098,0.9440200461893
"1431","PstI.TP1155202",1,3620639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4091","PstI.TP961085",1,3705536,0.388766981158402,0.00513320194200157,0.226435766244485,0.582519346203668,1.16864301719623,0.932755437382221,0.487250786030978,0.682929988311275,0.578737485949608,1.91649803599735,0.707664202737514,0.207305751552771,0.118219656927241,0.397670594161736,0.823159971020773,0.622691327370573,0.622691327364684,1.4833995105545,0.541250574907097,0.408538527132438,0.988249943209584,0.593696151548305,0.261505395461721,0.0678198746590586,0.116746686320999,0.325648598902084,0.207524803680799,0.263792542688997,0.0121199816976153,0.196035984136615,0.620432084482092,0.761693664102054,0.400248216916804,0.150258839038518,0.238401329286533,0.238401329289766
"2035","PstI.TP21889",1,3705780,1.23121540608516,0.723957314921436,0.786976477828555,1.52458246770385,0.784902296487627,0.523436080126505,0.391801306748988,0.493845461076315,0.629106477439297,0.155839752584863,0.300507470787069,0.090024823171274,0.330997606040754,0.0225977746937378,0.217924531673091,0.443062606931025,0.443062606923901,0.0742701584986028,1.30829354732241,0.0587198035443231,0.188817692138179,0.163314039932481,0.0298825415676976,0.164095889926875,0.299615253654816,0.405694101340927,0.32074104432613,0.234905682407678,0.698490087717835,0.50060194103862,0.812784058160746,0.466661952685488,0.949297255529961,0.605446075336633,0.360526666549247,0.360526666555161
"1175","PstI.TP1053336",1,3955998,0.0587122963745703,0.0457785222807775,0.461633542768778,0.344967468707321,0.178479499934948,0.277655985358946,0.112004024028904,0.0996435310088069,0.00909593430428943,0.641105273466011,0.298188266796258,0.201883058072023,0.00907812916605165,0.293888925810037,0.475503604809398,0.183523576453614,0.18352357645208,0.356267055257859,0.237256269646732,0.873549870412492,0.899956416462657,0.345435094168575,0.451889792395427,0.663010643119031,0.527647657765242,0.772673425726351,0.794980487134311,0.979273643003919,0.228504483882395,0.503282388416313,0.628227498067244,0.979313791936818,0.508289424909729,0.33457724072341,0.655354707763963,0.655354707766279
"373","NsiI.TP403662",1,3957731,0.423528319888993,0.12127714515198,0.252709150487915,0.102161659672186,0.326422610271449,0.351473978941212,0.461823497510264,0.445119698562645,0.479910532399748,0.0237322686228867,0.124679408441821,0.119670805244039,0.0320036696910582,2.07135406268473,0.19680646148172,0.376908336339072,0.376908336343819,0.11848876611502,0.357053868818067,0.377113153055261,0.756350075957288,0.558844330704435,0.790384364392119,0.471603901983458,0.445170134802239,0.34528403840153,0.358823023603207,0.331199343759823,0.94682067207773,0.75044797761379,0.759152794005416,0.928958537255288,0.00848488454747299,0.635614123129708,0.419847589090945,0.419847589086356
"3887","PstI.TP891020",1,4033768,0.775711461193354,1.08000146699631,0.902636726183337,0.353934416459967,0.476871431298057,1.23133521994519,0.693965910909596,0.606982825432336,0.497747183184748,0.169763504135172,0.0726857957230957,0.0646970302410213,0.57592968746829,1.40954381545426,0.79446801361946,0.542228576528511,0.542228576527382,0.315525235133333,0.714027104073522,0.16760560529568,0.0831760961506024,0.12513052704948,0.442655213423768,0.333525135056182,0.0587036060648935,0.202317797781842,0.247182189351336,0.317872396982786,0.676451237888863,0.845890610534838,0.861594602735656,0.265503537896812,0.0389454014168799,0.160521047968299,0.286927003921461,0.286927003922207
