"","SNP","Trait.name","X","Chromosome","Position","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","Adj.P.P.value","Ind.SNP","Method","PS","Software","PVE"
"13","NsiI.TP795133","GS",7614,5,10655601,0.0000109592311452889,0.0518867924528302,96,NA,NA,0.0150963409026355,NA,0.0150963409026355,"C106+4202","MLM+SUPER","PS_Y","GAPIT","5.83221206096642"
"14","PstI.TP1053336","Lg",7627,1,3955998,0.00014219487601066,0.0849056603773585,96,NA,NA,0.0290779534941421,NA,0.0290779534941421,"C106+4202","MLM+SUPER","PS_Y","GAPIT","0.272756049258275"
"15","PstI.TP110898","CmN",7588,10,9880843,0.000000446963229060823,0.0566037735849056,96,NA,NA,0.000648943768423791,NA,0.000648943768423792,"C106+4202","MLM+SUPER","PS_Y","GAPIT","15.0158264972038"
"16","PstI.TP1123778","CmN",7601,2,61958273,0.0000621222536598325,0.0801886792452831,96,NA,NA,0.0122247720594885,NA,0.0122247720594885,"C106+4202","MLM+SUPER","PS_Y","GAPIT","5.58063645032502"
"17","PstI.TP120061","GS",7613,8,17255694,0.00000911626168778846,0.0660377358490566,96,NA,NA,0.0150963409026355,NA,0.0150963409026355,"C106+4202","MLM+SUPER","PS_Y","GAPIT","0.276775775573256"
"18","PstI.TP1212372","Lg",7615,10,6070004,0.000000328075300832142,0.132075471698113,96,NA,NA,0.000903847453792551,NA,0.000903847453792551,"C106+4202","MLM+SUPER","PS_Y","GAPIT","0.290506879595464"
"19","PstI.TP1242757","CmN",7612,11,8753,0.00032425734551531,0.297169811320755,96,NA,NA,0.0357331594757872,NA,0.0357331594757872,"C106+4202","MLM+SUPER","PS_Y","GAPIT","1.18642591704775"
"20","PstI.TP1254872","CmN",7602,7,56573064,0.0000796800406204598,0.0707547169811321,96,NA,NA,0.0141521827638564,NA,0.0141521827638564,"C106+4202","MLM+SUPER","PS_Y","GAPIT","5.24863795216096"
"21","PstI.TP129649","Lg",7626,11,1089,0.000114067229656231,0.136792452830189,96,NA,NA,0.0261879348085765,NA,0.0261879348085764,"C106+4202","MLM+SUPER","PS_Y","GAPIT","6.92595852792312"
"22","PstI.TP132021","CmN",7598,11,1110,0.0000370623784992986,0.0754716981132075,96,NA,NA,0.00928244116050614,NA,0.00928244116050615,"C106+4202","MLM+SUPER","PS_Y","GAPIT","2.13644029492318"
"23","PstI.TP229079","CmN",7608,11,1881,0.000245201562223242,0.117924528301887,96,NA,NA,0.0321681097107158,NA,0.0321681097107158,"C106+4202","MLM+SUPER","PS_Y","GAPIT","3.03954706144974"
"24","PstI.TP292268","CmN",7590,5,3450082,0.00000109045815745664,0.0754716981132075,96,NA,NA,0.00100140407459768,NA,0.00100140407459768,"C106+4202","MLM+SUPER","PS_Y","GAPIT","4.39818169354603"
"25","PstI.TP292777","CmN",7594,7,64227793,0.00001252302699903,0.0518867924528302,96,NA,NA,0.00491885280152904,NA,0.00491885280152904,"C106+4202","MLM+SUPER","PS_Y","GAPIT","8.07046662013223"
"26","PstI.TP299726","CmDW",7585,9,2970040,0.000079012661866235,0.0660377358490566,96,NA,NA,0.0405818976031066,NA,0.0405818976031066,"C106+4202","MLM+SUPER","PS_Y","GAPIT","1.3987790480287"
"27","PstI.TP409444","CmN",7592,11,3169,0.00000219951756625939,0.0707547169811321,96,NA,NA,0.00121193417900893,NA,0.00121193417900892,"C106+4202","MLM+SUPER","PS_Y","GAPIT","0.932266936053334"
"28","PstI.TP411848","CmDW",7584,11,3188,0.0000673287005733703,0.476415094339623,96,NA,NA,0.0405818976031066,NA,0.0405818976031066,"C106+4202","MLM+SUPER","PS_Y","GAPIT","6.90943888607544"
"29","PstI.TP411848","CmN",7593,11,3188,0.00000425120214878814,0.476415094339623,96,NA,NA,0.00195201031998522,NA,0.00195201031998522,"C106+4202","MLM+SUPER","PS_Y","GAPIT","8.71441290098837"
"30","PstI.TP458366","CmDW",7587,8,50730872,0.000123583950980046,0.0754716981132075,96,NA,NA,0.0486391121357183,NA,0.0486391121357181,"C106+4202","MLM+SUPER","PS_Y","GAPIT","0.0149881456013846"
"31","PstI.TP516137","Lg",7624,10,8551151,0.0000996469987948471,0.174528301886792,96,NA,NA,0.0261879348085765,NA,0.0261879348085764,"C106+4202","MLM+SUPER","PS_Y","GAPIT","0.0103004720589765"
"32","PstI.TP521834","CmN",7596,4,53924496,0.0000168506289189345,0.0707547169811321,96,NA,NA,0.00491885280152904,NA,0.00491885280152904,"C106+4202","MLM+SUPER","PS_Y","GAPIT","12.8843452459454"
"33","PstI.TP53685","CmN",7611,8,15754213,0.000299085858673258,0.117924528301887,96,NA,NA,0.0343325641935344,NA,0.0343325641935344,"C106+4202","MLM+SUPER","PS_Y","GAPIT","2.00039318155983"
"34","PstI.TP548709","Lg",7625,2,61335066,0.000112202988274794,0.0660377358490566,96,NA,NA,0.0261879348085765,NA,0.0261879348085764,"C106+4202","MLM+SUPER","PS_Y","GAPIT","14.2578542836693"
"35","PstI.TP570804","CmN",7597,4,4364673,0.0000178542751416662,0.358490566037736,96,NA,NA,0.00491885280152904,NA,0.00491885280152904,"C106+4202","MLM+SUPER","PS_Y","GAPIT","0.282305091009728"
"36","PstI.TP58391","CmN",7603,7,64850518,0.0000821905351076959,0.108490566037736,96,NA,NA,0.0141521827638564,NA,0.0141521827638564,"C106+4202","MLM+SUPER","PS_Y","GAPIT","0.598751790425008"
"37","PstI.TP676134","Lg",7629,9,57652835,0.000158319166029812,0.10377358490566,96,NA,NA,0.0290779534941421,NA,0.0290779534941421,"C106+4202","MLM+SUPER","PS_Y","GAPIT","4.49867477179536"
"38","PstI.TP710636","CmDW",7582,6,45894338,0.0000226081262127151,0.202830188679245,96,NA,NA,0.031142693858015,NA,0.031142693858015,"C106+4202","MLM+SUPER","PS_Y","GAPIT","18.6261377128207"
"39","PstI.TP714651","CmN",7600,5,2641756,0.0000569554001456194,0.155660377358491,96,NA,NA,0.0120701636462447,NA,0.0120701636462447,"C106+4202","MLM+SUPER","PS_Y","GAPIT","0.138360929304714"
"40","PstI.TP77067","Lg",7619,1,79664579,0.0000251305381533169,0.0518867924528302,96,NA,NA,0.011840387251138,NA,0.011840387251138,"C106+4202","MLM+SUPER","PS_Y","GAPIT","0.513660913313633"
"41","PstI.TP775752","CmN",7606,10,41350986,0.000170873770485271,0.0801886792452831,96,NA,NA,0.0247766967203643,NA,0.0247766967203643,"C106+4202","MLM+SUPER","PS_Y","GAPIT","2.74825852784519"
"42","PstI.TP77625","Lg",7622,9,53718156,0.0000453916831290524,0.127358490566038,96,NA,NA,0.0156317608775674,NA,0.0156317608775674,"C106+4202","MLM+SUPER","PS_Y","GAPIT","2.73230969890656"
"43","PstI.TP828064","CmN",7607,9,55177255,0.00020009690218732,0.089622641509434,96,NA,NA,0.0275633482763033,NA,0.0275633482763033,"C106+4202","MLM+SUPER","PS_Y","GAPIT","6.69523670052957"
"44","PstI.TP840235","Lg",7623,3,50897546,0.0000776905678062465,0.174528301886792,96,NA,NA,0.0237819460340232,NA,0.0237819460340232,"C106+4202","MLM+SUPER","PS_Y","GAPIT","7.04730710531028"
"45","PstI.TP841498","CmN",7591,5,69228848,0.00000172623507404019,0.10377358490566,96,NA,NA,0.00118894440724518,NA,0.00118894440724518,"C106+4202","MLM+SUPER","PS_Y","GAPIT","0.228072567337884"
"46","PstI.TP856013","CmDW",7581,11,5962,0.0000198342169376648,0.0613207547169812,96,NA,NA,0.031142693858015,NA,0.031142693858015,"C106+4202","MLM+SUPER","PS_Y","GAPIT","0.900923322484766"
"47","PstI.TP856013","CmN",7589,11,5962,0.000000471102554209649,0.0613207547169812,96,NA,NA,0.000648943768423791,NA,0.000648943768423792,"C106+4202","MLM+SUPER","PS_Y","GAPIT","3.87510747805469"
"48","PstI.TP856013","Lg",7616,11,5962,0.00000455385625291445,0.0613207547169812,96,NA,NA,0.00627293698838965,NA,0.00627293698838965,"C106+4202","MLM+SUPER","PS_Y","GAPIT","0.807129072266518"
"49","PstI.TP881941","CmN",7595,11,6157,0.0000148665208807633,0.462264150943396,96,NA,NA,0.00491885280152904,NA,0.00491885280152904,"C106+4202","MLM+SUPER","PS_Y","GAPIT","0.00000218312640627837"
"50","PstI.TP964708","Lg",7632,6,55409617,0.000287676771119309,0.0660377358490566,96,NA,NA,0.0440305280240942,NA,0.0440305280240942,"C106+4202","MLM+SUPER","PS_Y","GAPIT","0.750617308049965"
"51","PstI.TP994751","CmN",7610,10,60309696,0.00029198773445201,0.0754716981132075,96,NA,NA,0.0343325641935344,NA,0.0343325641935344,"C106+4202","MLM+SUPER","PS_Y","GAPIT","5.39669050158024"
"52","PstI.TP998491","CmN",7609,2,14521096,0.000267320609667343,0.268867924528302,96,NA,NA,0.0334758308924332,NA,0.0334758308924332,"C106+4202","MLM+SUPER","PS_Y","GAPIT","10.1174790981887"
"53","NsiI.TP274184","Lg",7701,4,1065229,0.000150742586935078,0.0689655172413793,106,NA,NA,0.0279397008786352,NA,0.0279397008786353,"C116+3293","MLM+SUPER","PS_Y","GAPIT","11.6719224011839"
"54","NsiI.TP336547","Lg",7693,6,58396661,0.0000796838067606022,0.0948275862068966,106,NA,NA,0.0279397008786352,NA,0.0279397008786353,"C116+3293","MLM+SUPER","PS_Y","GAPIT","6.38306941382302"
"55","NsiI.TP443279","CmN",7682,11,14353,0.000094306140409362,0.271551724137931,106,NA,NA,0.0221200291560181,NA,0.0221200291560181,"C116+3293","MLM+SUPER","PS_Y","GAPIT","2.05765941235641"
"56","NsiI.TP48541","Lg",7708,11,9716,0.00035048303643847,0.0560344827586207,106,NA,NA,0.0411038716623117,NA,0.0411038716623117,"C116+3293","MLM+SUPER","PS_Y","GAPIT","1.9970586912676"
"57","NsiI.TP609151","Lg",7692,5,68282440,0.0000615373276264412,0.0862068965517241,106,NA,NA,0.0279397008786352,NA,0.0279397008786353,"C116+3293","MLM+SUPER","PS_Y","GAPIT","6.77437250333015"
"58","NsiI.TP742717","Lg",7705,11,18226,0.000209467465398729,0.310344827586207,106,NA,NA,0.0294790546304477,NA,0.0294790546304478,"C116+3293","MLM+SUPER","PS_Y","GAPIT","0.372660432969206"
"59","NsiI.TP7588","Lg",7702,2,74438360,0.000158823500968083,0.0862068965517241,106,NA,NA,0.0279397008786352,NA,0.0279397008786353,"C116+3293","MLM+SUPER","PS_Y","GAPIT","0.0290783463614619"
"60","PstI.TP1067903","Lg",7695,9,48843269,0.0000854867128686948,0.491379310344828,106,NA,NA,0.0279397008786352,NA,0.0279397008786353,"C116+3293","MLM+SUPER","PS_Y","GAPIT","8.4155438758969"
"61","PstI.TP10996","Cml_cm",7685,6,57974096,0.0000363575670643885,0.120689655172414,106,NA,NA,0.0462425348320906,NA,0.0462425348320907,"C116+3293","MLM+SUPER","PS_Y","GAPIT","1.71579691392278"
"62","PstI.TP110898","CmN",7678,10,9880843,0.0000495580954912141,0.0517241379310345,106,NA,NA,0.0186035903752937,NA,0.0186035903752937,"C116+3293","MLM+SUPER","PS_Y","GAPIT","13.13671580281"
"63","PstI.TP1123778","CmN",7677,2,61958273,0.0000427582085893601,0.0905172413793104,106,NA,NA,0.0186035903752937,NA,0.0186035903752937,"C116+3293","MLM+SUPER","PS_Y","GAPIT","2.61264512453083"
"64","PstI.TP123530","CmN",7680,10,7243969,0.0000732714875166429,0.0646551724137931,106,NA,NA,0.0220965871639476,NA,0.0220965871639476,"C116+3293","MLM+SUPER","PS_Y","GAPIT","6.63246693037593"
"65","PstI.TP1254872","CmN",7679,7,56573064,0.0000528761450742597,0.0775862068965517,106,NA,NA,0.0186035903752937,NA,0.0186035903752937,"C116+3293","MLM+SUPER","PS_Y","GAPIT","9.30257647735234"
"66","PstI.TP19142","Lg",7704,11,155,0.000188917232171773,0.142241379310345,106,NA,NA,0.0284860197939009,NA,0.0284860197939009,"C116+3293","MLM+SUPER","PS_Y","GAPIT","5.24779076962784"
"67","PstI.TP292268","CmN",7674,5,3450082,0.000000792120908939268,0.0775862068965517,106,NA,NA,0.00167216723877079,NA,0.00167216723877079,"C116+3293","MLM+SUPER","PS_Y","GAPIT","2.79629268107726"
"68","PstI.TP292777","CmN",7676,7,64227793,0.0000112470918726304,0.0517241379310345,106,NA,NA,0.00791420364770761,NA,0.00791420364770759,"C116+3293","MLM+SUPER","PS_Y","GAPIT","5.52978078821024"
"69","PstI.TP306248","Lg",7697,4,62016244,0.000145107816359354,0.198275862068966,106,NA,NA,0.0279397008786352,NA,0.0279397008786353,"C116+3293","MLM+SUPER","PS_Y","GAPIT","4.60686646542597"
"70","PstI.TP404112","GS",7689,4,61296221,0.0000628054921992352,0.0689655172413793,106,NA,NA,0.0438707540182099,NA,0.0438707540182099,"C116+3293","MLM+SUPER","PS_Y","GAPIT","21.1301164172935"
"71","PstI.TP411848","CmN",7675,11,3188,0.00000892887433819659,0.461206896551724,106,NA,NA,0.00791420364770761,NA,0.00791420364770759,"C116+3293","MLM+SUPER","PS_Y","GAPIT","11.4253589635894"
"72","PstI.TP420801","Lg",7706,1,62946889,0.000238216524481184,0.133620689655172,106,NA,NA,0.0314296926987363,NA,0.0314296926987362,"C116+3293","MLM+SUPER","PS_Y","GAPIT","5.34112973968629"
"73","PstI.TP448143","Lg",7698,9,6230587,0.000149455777487248,0.112068965517241,106,NA,NA,0.0279397008786352,NA,0.0279397008786353,"C116+3293","MLM+SUPER","PS_Y","GAPIT","10.1910739789386"
"74","PstI.TP459121","CmN",7684,1,78162835,0.000146207107654647,0.0689655172413793,106,NA,NA,0.0280584731144508,NA,0.0280584731144509,"C116+3293","MLM+SUPER","PS_Y","GAPIT","12.2786815076082"
"75","PstI.TP478050","GS",7687,3,63462498,0.000000270090952650871,0.0560344827586207,106,NA,NA,0.000570162001045989,NA,0.000570162001045989,"C116+3293","MLM+SUPER","PS_Y","GAPIT","36.1972798193788"
"76","PstI.TP521628","Lg",7699,11,3899,0.00015013885083699,0.189655172413793,106,NA,NA,0.0279397008786352,NA,0.0279397008786353,"C116+3293","MLM+SUPER","PS_Y","GAPIT","1.03883514468926"
"77","PstI.TP673057","Lg",7694,3,68094426,0.0000824482677190267,0.103448275862069,106,NA,NA,0.0279397008786352,NA,0.0279397008786353,"C116+3293","MLM+SUPER","PS_Y","GAPIT","1.28333608808535"
"78","PstI.TP676134","Lg",7691,9,57652835,0.0000316849056377169,0.103448275862069,106,NA,NA,0.0279397008786352,NA,0.0279397008786353,"C116+3293","MLM+SUPER","PS_Y","GAPIT","4.12968799143802"
"79","PstI.TP682522","Lg",7700,2,77263024,0.000150253414587726,0.142241379310345,106,NA,NA,0.0279397008786352,NA,0.0279397008786353,"C116+3293","MLM+SUPER","PS_Y","GAPIT","1.52428201199202"
"80","PstI.TP714651","CmN",7683,5,2641756,0.000140218159260848,0.142241379310345,106,NA,NA,0.0280584731144508,NA,0.0280584731144509,"C116+3293","MLM+SUPER","PS_Y","GAPIT","0.0000202255893635921"
"81","PstI.TP754297","Lg",7696,9,52383960,0.0000973510722833514,0.495689655172414,106,NA,NA,0.0279397008786352,NA,0.0279397008786353,"C116+3293","MLM+SUPER","PS_Y","GAPIT","8.55033451452671"
"82","PstI.TP77625","Lg",7707,9,53718156,0.000304662303619494,0.125,106,NA,NA,0.0378318895847501,NA,0.0378318895847501,"C116+3293","MLM+SUPER","PS_Y","GAPIT","2.67154861897626"
"83","PstI.TP794569","CmN",7681,2,3715278,0.0000926382643402384,0.0646551724137931,106,NA,NA,0.0221200291560181,NA,0.0221200291560181,"C116+3293","MLM+SUPER","PS_Y","GAPIT","13.6262690998219"
"84","PstI.TP807213","GS",7688,1,57183105,0.0000348619731659598,0.0948275862068966,106,NA,NA,0.0367968126766705,NA,0.0367968126766706,"C116+3293","MLM+SUPER","PS_Y","GAPIT","28.1560523533176"
"85","PstI.TP841498","Cml_cm",7686,5,69228848,0.0000438110230526676,0.0991379310344828,106,NA,NA,0.0462425348320906,NA,0.0462425348320907,"C116+3293","MLM+SUPER","PS_Y","GAPIT","0.146056679326565"
"86","PstI.TP856013","GS",7690,11,5962,0.0000831279090823494,0.0560344827586207,106,NA,NA,0.0438707540182099,NA,0.0438707540182099,"C116+3293","MLM+SUPER","PS_Y","GAPIT","3.56121827070043"
"87","PstI.TP881184","Lg",7703,2,76620224,0.000182356889560608,0.0991379310344828,106,NA,NA,0.0284860197939009,NA,0.0284860197939009,"C116+3293","MLM+SUPER","PS_Y","GAPIT","10.8558436909516"
"88","NsiI.TP482264","GS",7790,1,66520178,0.000156509485688748,0.0524193548387096,114,NA,NA,0.0257364693943757,NA,0.0257364693943758,"C124+2560","MLM+SUPER","PS_Y","GAPIT","14.3792868777068"
"89","NsiI.TP48541","Lg",7799,11,9716,0.000223522863020223,0.0604838709677419,114,NA,NA,0.0449948925077568,NA,0.0449948925077569,"C124+2560","MLM+SUPER","PS_Y","GAPIT","1.47216794856362"
"90","NsiI.TP827851","CmDW",7766,4,12330408,0.0000132389702027082,0.0564516129032258,114,NA,NA,0.0214471317283873,NA,0.0214471317283873,"C124+2560","MLM+SUPER","PS_Y","GAPIT","1"
"91","PstI.TP1014210","GS",7786,11,7040,0.000042764610212354,0.0564516129032258,114,NA,NA,0.0138557337088027,NA,0.0138557337088027,"C124+2560","MLM+SUPER","PS_Y","GAPIT","40.9481909717691"
"92","PstI.TP1025634","Bcirc_cm",7765,2,71277610,0.0000547915731172033,0.0685483870967742,114,NA,NA,0.0443811742249346,NA,0.0443811742249347,"C124+2560","MLM+SUPER","PS_Y","GAPIT","10.8472398425751"
"93","PstI.TP1025634","CmN",7778,2,71277610,0.000266277524976604,0.0685483870967742,114,NA,NA,0.0342015662590911,NA,0.0342015662590911,"C124+2560","MLM+SUPER","PS_Y","GAPIT","6.53378211223659"
"94","PstI.TP1123778","CmN",7774,2,61958273,0.000224763565686423,0.0967741935483871,114,NA,NA,0.0342015662590911,NA,0.0342015662590911,"C124+2560","MLM+SUPER","PS_Y","GAPIT","0.57096822236261"
"95","PstI.TP1172215","Lg",7803,11,8242,0.00030552087505267,0.0887096774193549,114,NA,NA,0.0449948925077568,NA,0.0449948925077569,"C124+2560","MLM+SUPER","PS_Y","GAPIT","2.40864052068817"
"96","PstI.TP1212372","Lg",7793,10,6070004,0.00000693319465495894,0.129032258064516,114,NA,NA,0.0112317753410335,NA,0.0112317753410335,"C124+2560","MLM+SUPER","PS_Y","GAPIT","0.226610262352507"
"97","PstI.TP1226186","CmN",7780,3,7342289,0.000295569091127948,0.30241935483871,114,NA,NA,0.0342015662590911,NA,0.0342015662590911,"C124+2560","MLM+SUPER","PS_Y","GAPIT","2.00324781306281"
"98","PstI.TP133948","GS",7791,4,3870704,0.000158867095027011,0.407258064516129,114,NA,NA,0.0257364693943757,NA,0.0257364693943758,"C124+2560","MLM+SUPER","PS_Y","GAPIT","20.889038897962"
"99","PstI.TP285646","CmN",7768,7,59945480,0.000000664043161564935,0.0685483870967742,114,NA,NA,0.000537874960867597,NA,0.000537874960867597,"C124+2560","MLM+SUPER","PS_Y","GAPIT","2.54111856536185"
"100","PstI.TP292268","CmN",7767,5,3450082,0.0000002421069781875,0.0887096774193549,114,NA,NA,0.00039221330466375,NA,0.00039221330466375,"C124+2560","MLM+SUPER","PS_Y","GAPIT","0.0169065062552492"
"101","PstI.TP292777","CmN",7771,7,64227793,0.0000846750898072873,0.0524193548387096,114,NA,NA,0.0274347290975611,NA,0.0274347290975611,"C124+2560","MLM+SUPER","PS_Y","GAPIT","5.34604410291305"
"102","PstI.TP318422","Lg",7804,3,54362877,0.00036794716328346,0.487903225806452,114,NA,NA,0.0496728670432672,NA,0.0496728670432671,"C124+2560","MLM+SUPER","PS_Y","GAPIT","0.339801836491589"
"103","PstI.TP401430","Lg",7795,10,261208,0.0000471046914261274,0.0564516129032258,114,NA,NA,0.0254365333701088,NA,0.0254365333701088,"C124+2560","MLM+SUPER","PS_Y","GAPIT","0.732214082377075"
"104","PstI.TP404112","GS",7782,4,61296221,0.000000193220604433547,0.0887096774193549,114,NA,NA,0.000313017379182345,NA,0.000313017379182346,"C124+2560","MLM+SUPER","PS_Y","GAPIT","23.8905979235537"
"105","PstI.TP409444","CmN",7779,11,3169,0.000280953660435939,0.064516129032258,114,NA,NA,0.0342015662590911,NA,0.0342015662590911,"C124+2560","MLM+SUPER","PS_Y","GAPIT","1.3212655344925"
"106","PstI.TP411848","CmN",7769,11,3188,0.00000304798813479146,0.439516129032258,114,NA,NA,0.00164591359278739,NA,0.00164591359278739,"C124+2560","MLM+SUPER","PS_Y","GAPIT","14.4151244186716"
"107","PstI.TP420801","Lg",7798,1,62946889,0.000174118980024107,0.137096774193548,114,NA,NA,0.0449948925077568,NA,0.0449948925077569,"C124+2560","MLM+SUPER","PS_Y","GAPIT","4.68883737206048"
"108","PstI.TP433679","Cml_cm",7781,11,3324,0.0000214361705543765,0.137096774193548,114,NA,NA,0.0347265962980899,NA,0.0347265962980899,"C124+2560","MLM+SUPER","PS_Y","GAPIT","1"
"109","PstI.TP460957","GS",7792,2,63153566,0.00024214091100798,0.108870967741935,114,NA,NA,0.0356607523484479,NA,0.035660752348448,"C124+2560","MLM+SUPER","PS_Y","GAPIT","23.2112080580694"
"110","PstI.TP478050","GS",7783,3,63462498,0.00000961338070779318,0.0645161290322581,114,NA,NA,0.00714477250484689,NA,0.00714477250484689,"C124+2560","MLM+SUPER","PS_Y","GAPIT","37.8005347638058"
"111","PstI.TP516137","Lg",7796,10,8551151,0.0000882989651009068,0.157258064516129,114,NA,NA,0.0357610808658672,NA,0.0357610808658673,"C124+2560","MLM+SUPER","PS_Y","GAPIT","0.0608536494944582"
"112","PstI.TP532345","CmN",7772,9,38275195,0.000134707441836675,0.0564516129032258,114,NA,NA,0.0342015662590911,NA,0.0342015662590911,"C124+2560","MLM+SUPER","PS_Y","GAPIT","2.00550352952982"
"113","PstI.TP547023","CmN",7776,2,75564773,0.00024114475904306,0.0685483870967742,114,NA,NA,0.0342015662590911,NA,0.0342015662590911,"C124+2560","MLM+SUPER","PS_Y","GAPIT","0.526621427154247"
"114","PstI.TP593877","GS",7784,9,55077360,0.0000132310601941609,0.060483870967742,114,NA,NA,0.00714477250484689,NA,0.00714477250484689,"C124+2560","MLM+SUPER","PS_Y","GAPIT","39.3695899056391"
"115","PstI.TP624488","GS",7785,11,4383,0.0000199127466223451,0.0524193548387096,114,NA,NA,0.00806466238204977,NA,0.00806466238204977,"C124+2560","MLM+SUPER","PS_Y","GAPIT","37.6165589445567"
"116","PstI.TP647641","Lg",7797,8,61103675,0.000124016397605456,0.455645161290323,114,NA,NA,0.0401813128241677,NA,0.0401813128241677,"C124+2560","MLM+SUPER","PS_Y","GAPIT","0.977191051050685"
"117","PstI.TP663427","Bcirc_cm",7764,1,70529598,0.0000166103951284359,0.0766129032258065,114,NA,NA,0.0269088401080661,NA,0.0269088401080662,"C124+2560","MLM+SUPER","PS_Y","GAPIT","0.592505509198985"
"118","PstI.TP673057","Lg",7800,3,68094426,0.00022355841781503,0.0967741935483871,114,NA,NA,0.0449948925077568,NA,0.0449948925077569,"C124+2560","MLM+SUPER","PS_Y","GAPIT","1.47386191252335"
"119","PstI.TP694159","GS",7787,3,61030989,0.0000986394469003135,0.0766129032258065,114,NA,NA,0.0232108086354137,NA,0.0232108086354138,"C124+2560","MLM+SUPER","PS_Y","GAPIT","1.47792819758575"
"120","PstI.TP725292","Lg",7801,3,4449847,0.000288155196255832,0.201612903225806,114,NA,NA,0.0449948925077568,NA,0.0449948925077569,"C124+2560","MLM+SUPER","PS_Y","GAPIT","2.71869218550761"
"121","PstI.TP770895","Lg",7794,1,13263569,0.0000243562846590196,0.116935483870968,114,NA,NA,0.0197285905738059,NA,0.0197285905738059,"C124+2560","MLM+SUPER","PS_Y","GAPIT","13.695093828412"
"122","PstI.TP77625","Lg",7802,9,53718156,0.00029306964889891,0.129032258064516,114,NA,NA,0.0449948925077568,NA,0.0449948925077569,"C124+2560","MLM+SUPER","PS_Y","GAPIT","2.16243212721691"
"123","PstI.TP794569","CmN",7770,2,3715278,0.000011555610197523,0.0604838709677419,114,NA,NA,0.00468002212999683,NA,0.00468002212999682,"C124+2560","MLM+SUPER","PS_Y","GAPIT","12.9225253862723"
"124","PstI.TP836173","CmN",7773,11,5793,0.000201988724076796,0.181451612903226,114,NA,NA,0.0342015662590911,NA,0.0342015662590911,"C124+2560","MLM+SUPER","PS_Y","GAPIT","0.119384399235386"
"125","PstI.TP841498","CmN",7775,5,69228848,0.000237943315258647,0.104838709677419,114,NA,NA,0.0342015662590911,NA,0.0342015662590911,"C124+2560","MLM+SUPER","PS_Y","GAPIT","0.352815475333403"
"126","PstI.TP856013","GS",7789,11,5962,0.000143726769839397,0.0564516129032258,114,NA,NA,0.0257364693943757,NA,0.0257364693943758,"C124+2560","MLM+SUPER","PS_Y","GAPIT","1.12667482314952"
