"","Name","Chromosome","Position","P.value","maf","effect","Adj.P.P.value","Ind.SNP","PS","Software","Method","Trait.name"
"31","PstI.TP1010825",6,56256138,0.000000700602423624446,0.483009649702655,0.0929488458621568,0.00503271354173358,"124+36088im","PS_Y","FarmCPU","FarmCPU","OWA"
"32","PstI.TP1086817",10,46074,0.00000103442907263666,0.0646880395339096,0.222080443959898,0.00542744245831003,"124+36088im","PS_Y","FarmCPU","FarmCPU","OWA"
"33","PstI.TP1280479",10,61173000,0.000000767357405158737,0.414866034182428,0.0806141585254771,0.00503271354173358,"124+36088im","PS_Y","FarmCPU","FarmCPU","OWA"
"34","PstI.TP849286",3,10316458,0.00000263494884541607,0.264150943396226,0.477837734368052,0.00500326174289494,"C106+4202","PS_Y","FarmCPU","FarmCPU","AIL"
"35","NsiI.TP218789",3,51796050,0.00000363213193676584,0.25,0.388705321213885,0.00500326174289494,"C106+4202","PS_Y","FarmCPU","FarmCPU","AIL"
"36","PstI.TP700737",7,52170610,0.0000192282687695654,0.193396226415094,0.420608247705781,0.0176579601533842,"C106+4202","PS_Y","FarmCPU","FarmCPU","AIL"
"37","PstI.TP411848",11,3188,0.00000000357939954965701,0.476415094339623,-0.236968334663218,0.00000986124575930506,"C106+4202","PS_Y","FarmCPU","FarmCPU","CmN"
"38","PstI.TP981001",2,4681014,0.000000000135506845026715,0.108490566037736,-0.334039054619111,0.0000001866606790243,"C106+4202","PS_Y","FarmCPU","FarmCPU","GS"
"39","PstI.TP935978",4,62874103,0.0000246468977505162,0.0613207547169812,-0.127865850861762,0.0113170338837787,"C106+4202","PS_Y","FarmCPU","FarmCPU","GS"
"40","NsiI.TP795133",5,10655601,0.00000000000000000169394363094243,0.0518867924528302,0.959388857702781,0.0000000000000046668147032464,"C106+4202","PS_Y","FarmCPU","FarmCPU","GS"
"41","PstI.TP788586",6,57442567,0.000000831366227369702,0.358490566037736,-0.140737123976156,0.000572603489100882,"C106+4202","PS_Y","FarmCPU","FarmCPU","GS"
"42","PstI.TP1017687",7,58691088,0.000000547676496825796,0.150943396226415,-0.128205458186454,0.000502949582918356,"C106+4202","PS_Y","FarmCPU","FarmCPU","GS"
"43","NsiI.TP113145",10,2711069,0.00000978028558317669,0.0566037735849056,-0.224578667588249,0.00538893735633036,"C106+4202","PS_Y","FarmCPU","FarmCPU","GS"
"44","PstI.TP1246584",1,1015480,0.000198704929446841,0.435344827586207,-0.214115995037987,0.0349555088385234,"C116+3293","PS_Y","FarmCPU","FarmCPU","AIL"
"45","PstI.TP705967",1,5858828,0.000000406542868451736,0.0862068965517241,0.766009923858654,0.000429105997650807,"C116+3293","PS_Y","FarmCPU","FarmCPU","AIL"
"46","PstI.TP924658",1,65264909,0.0000143434995595566,0.176724137931034,0.399639670811251,0.005046521261704,"C116+3293","PS_Y","FarmCPU","FarmCPU","AIL"
"47","PstI.TP682522",2,77263024,0.000000345922660910167,0.142241379310345,0.450454757470159,0.000429105997650807,"C116+3293","PS_Y","FarmCPU","FarmCPU","AIL"
"48","NsiI.TP493151",3,3481929,0.0000638629833642796,0.0560344827586207,-0.56236983995237,0.0192592511259992,"C116+3293","PS_Y","FarmCPU","FarmCPU","AIL"
"49","PstI.TP849286",3,10316458,0.000105723087845982,0.267241379310345,0.367867919655752,0.0278976798053585,"C116+3293","PS_Y","FarmCPU","FarmCPU","AIL"
"50","PstI.TP900003",3,53586609,0.00000473227901418743,0.21551724137931,-0.383501824669376,0.00249746024973742,"C116+3293","PS_Y","FarmCPU","FarmCPU","AIL"
"51","PstI.TP935978",4,62874103,0.00000790730998350796,0.0646551724137931,-0.438170688241554,0.00333846627503706,"C116+3293","PS_Y","FarmCPU","FarmCPU","AIL"
"52","PstI.TP891127",6,55263071,0.00000403922997373143,0.0560344827586207,-0.628852801276287,0.00249746024973742,"C116+3293","PS_Y","FarmCPU","FarmCPU","AIL"
"53","PstI.TP939350",9,20082917,0.000167627582136965,0.0646551724137931,0.461459315170222,0.0321692568991939,"C116+3293","PS_Y","FarmCPU","FarmCPU","AIL"
"54","PstI.TP447641",10,6043610,0.000130235393378765,0.125,-0.352013119914581,0.0282193383139879,"C116+3293","PS_Y","FarmCPU","FarmCPU","AIL"
"55","PstI.TP85647",10,60886778,0.000133677585570762,0.0560344827586207,-0.569801466316552,0.0282193383139879,"C116+3293","PS_Y","FarmCPU","FarmCPU","AIL"
"56","PstI.TP110898",10,9880843,0.00000991915321306915,0.0517241379310345,0.373876557327205,0.0104696662163945,"C116+3293","PS_Y","FarmCPU","FarmCPU","CmN"
"57","PstI.TP411848",11,3188,0.000000000646733647059561,0.461206896551724,-0.227058702847668,0.00000136525472894273,"C116+3293","PS_Y","FarmCPU","FarmCPU","CmN"
"58","NsiI.TP464287",2,61339842,0.000152150461504179,0.0517241379310345,-0.279555061915208,0.0458842320336174,"C116+3293","PS_Y","FarmCPU","FarmCPU","GS"
"59","PstI.TP890801",2,72613106,0.0000452078008259866,0.0862068965517241,-0.232213881461031,0.0208041863678155,"C116+3293","PS_Y","FarmCPU","FarmCPU","GS"
"60","PstI.TP478050",3,63462498,0.0000274436774452456,0.0560344827586207,0.415041603968388,0.0193112010289712,"C116+3293","PS_Y","FarmCPU","FarmCPU","GS"
"61","PstI.TP617376",4,63931951,0.0000492756664325332,0.0818965517241379,-0.281791290165115,0.0208041863678155,"C116+3293","PS_Y","FarmCPU","FarmCPU","GS"
"62","PstI.TP338365",11,2666,0.00000000884487217368658,0.137931034482759,0.309479324116582,0.0000186715251586524,"C116+3293","PS_Y","FarmCPU","FarmCPU","GS"
"63","PstI.TP529090",11,3947,0.000152112665681783,0.0948275862068966,0.164643715099693,0.0458842320336174,"C116+3293","PS_Y","FarmCPU","FarmCPU","GS"
"64","NsiI.TP87403",11,10095,0.00000547259958965245,0.0517241379310345,-0.353091525298753,0.00577632886687816,"C116+3293","PS_Y","FarmCPU","FarmCPU","GS"
"65","PstI.TP770895",1,13263569,0.0000000110546020747506,0.120689655172414,0.104207632779761,0.0000116681324898993,"C116+3293","PS_Y","FarmCPU","FarmCPU","Lg"
"66","PstI.TP424159",1,63417435,0.000101383133205306,0.125,-0.0835815972088667,0.0305742563137716,"C116+3293","PS_Y","FarmCPU","FarmCPU","Lg"
"67","NsiI.TP274184",4,1065229,0.00000458336926490693,0.0689655172413793,-0.0848064088842728,0.00241887312955463,"C116+3293","PS_Y","FarmCPU","FarmCPU","Lg"
"68","PstI.TP1157659",6,12195814,0.00000000802037056622575,0.405172413793103,-0.119839977358438,0.0000116681324898993,"C116+3293","PS_Y","FarmCPU","FarmCPU","Lg"
"69","NsiI.TP336547",6,58396661,0.000084336899792929,0.0948275862068965,0.0709968141467948,0.0296725325771455,"C116+3293","PS_Y","FarmCPU","FarmCPU","Lg"
"70","PstI.TP1212372",10,6070004,0.0000000780586764630607,0.125,-0.121266539081055,0.0000549272886711737,"C116+3293","PS_Y","FarmCPU","FarmCPU","Lg"
"71","PstI.TP464884",11,3541,0.0000147694170822091,0.0517241379310345,-0.13090350848667,0.00623564789210868,"C116+3293","PS_Y","FarmCPU","FarmCPU","Lg"
"72","PstI.TP219584",2,3429973,0.00000870114929997286,0.42741935483871,-0.402236454787666,0.014095861865956,"C124+2560","PS_Y","FarmCPU","FarmCPU","AIL"
"73","PstI.TP404112",4,61296221,0.00000050368568302096,0.0887096774193549,0.306253712237991,0.000815970806493955,"C124+2560","PS_Y","FarmCPU","FarmCPU","GS"
"74","PstI.TP676134",9,57652835,0.0000014836012990444,0.104838709677419,0.260651715609608,0.00120171705222596,"C124+2560","PS_Y","FarmCPU","FarmCPU","GS"
"75","PstI.TP424159",1,63417435,0.0000000841752261528862,0.125,-0.121787757583634,0.000136363866367676,"C124+2560","PS_Y","FarmCPU","FarmCPU","Lg"
"76","PstI.TP881184",2,76620224,0.00000100414234043443,0.100806451612903,-0.0837867026737537,0.000803471113693901,"C124+2560","PS_Y","FarmCPU","FarmCPU","Lg"
"77","PstI.TP401430",10,261208,0.00000370442959475869,0.0564516129032258,0.139964338913806,0.00150029398587727,"C124+2560","PS_Y","FarmCPU","FarmCPU","Lg"
"78","PstI.TP867146",11,6048,0.00000148790946980352,0.108870967741935,-0.0659409436197447,0.000803471113693901,"C124+2560","PS_Y","FarmCPU","FarmCPU","Lg"
"79","PstI.TP651320",5,35481232,0.00000679031110740478,0.255208333333333,-1.50266153061368,0.0221703657656766,"F96+4814","PS_Y","FarmCPU","FarmCPU","FNMain"
"80","PstI.TP459121",1,78162835,0.000000343441526879881,0.0735294117647059,-0.0155977124375227,0.000483050507556553,"O102+4322","PS_Y","FarmCPU","FarmCPU","OWA19"
"81","PstI.TP49139",1,80477608,0.000102049795475105,0.053921568627451,-0.00805656397609597,0.0410094392387815,"O102+4322","PS_Y","FarmCPU","FarmCPU","OWA19"
"82","PstI.TP483920",2,71246128,0.0000494691349609315,0.0686274509803922,-0.00935992810780608,0.0231927794408501,"O102+4322","PS_Y","FarmCPU","FarmCPU","OWA19"
"83","PstI.TP124945",5,41255313,0.0000150323714323932,0.137254901960784,-0.00968313466703176,0.00984327948501568,"O102+4322","PS_Y","FarmCPU","FarmCPU","OWA19"
"84","NsiI.TP101365",10,58707662,0.0000040206780832426,0.362745098039216,0.00555001697767057,0.00377005581605381,"O102+4322","PS_Y","FarmCPU","FarmCPU","OWA19"
"85","NsiI.TP756808",10,59848770,0.0000174960531194733,0.279411764705882,0.00531141382088737,0.00984327948501568,"O102+4322","PS_Y","FarmCPU","FarmCPU","OWA19"
"86","PstI.TP1250222",11,8799,0.0000000229252649521529,0.053921568627451,-0.0139135917937616,0.0000644887703104061,"O102+4322","PS_Y","FarmCPU","FarmCPU","OWA19"
"87","PstI.TP1151255",1,77213117,0.0000000594517237499317,0.0625,-0.0197834976969984,0.0000576202023116867,"O112+3450","PS_Y","FarmCPU","FarmCPU","OWA19"
"88","PstI.TP459121",1,78162835,0.0000000793666698508081,0.0714285714285714,-0.0149655981424277,0.0000576202023116867,"O112+3450","PS_Y","FarmCPU","FarmCPU","OWA19"
"89","NsiI.TP640755",2,16850781,0.000110624285956229,0.0580357142857143,-0.0138135008653207,0.0344199564018095,"O112+3450","PS_Y","FarmCPU","FarmCPU","OWA19"
"90","PstI.TP483920",2,71246128,0.000000183320774256806,0.0714285714285714,-0.0142607969831241,0.0000998181615828309,"O112+3450","PS_Y","FarmCPU","FarmCPU","OWA19"
"91","PstI.TP298201",6,1375822,0.00000938799550068759,0.09375,0.0103697807647706,0.00408941084009952,"O112+3450","PS_Y","FarmCPU","FarmCPU","OWA19"
"92","PstI.TP774948",9,243415,0.0000622809919713845,0.0714285714285714,-0.0110241814222268,0.0226080000856126,"O112+3450","PS_Y","FarmCPU","FarmCPU","OWA19"
"93","PstI.TP1250222",11,8799,0.00000000163611097403305,0.0535714285714286,-0.0149103141025806,0.00000356344970144398,"O112+3450","PS_Y","FarmCPU","FarmCPU","OWA19"
"94","NsiI.TP360999",1,10465743,0.0000122971409016107,0.0860655737704918,0.0161545222152434,0.00681671510645953,"O122+2646","PS_Y","FarmCPU","FarmCPU","OWA19"
"95","PstI.TP459121",1,78162835,0.0000000769546147050851,0.069672131147541,-0.0179287923159979,0.0000639877621272783,"O122+2646","PS_Y","FarmCPU","FarmCPU","OWA19"
"96","PstI.TP1200270",2,13518060,0.0000376833397577726,0.110655737704918,-0.0104277845383547,0.0149950702987384,"O122+2646","PS_Y","FarmCPU","FarmCPU","OWA19"
"97","PstI.TP268085",2,64265265,0.00000000242549712161821,0.0532786885245902,0.0229307611733105,0.00000403360171325108,"O122+2646","PS_Y","FarmCPU","FarmCPU","OWA19"
"98","PstI.TP770204",3,67523376,0.0000741659081273623,0.0614754098360656,0.00918614429657248,0.0176197007451148,"O122+2646","PS_Y","FarmCPU","FarmCPU","OWA19"
"99","PstI.TP1084308",4,42752899,0.0000450843965686662,0.0737704918032787,0.0111812698855077,0.0149950702987384,"O122+2646","PS_Y","FarmCPU","FarmCPU","OWA19"
"100","PstI.TP166492",6,2200069,0.0000725420763678762,0.118852459016393,0.00898567622890457,0.0176197007451148,"O122+2646","PS_Y","FarmCPU","FarmCPU","OWA19"
