,SNP,Trait.name,X,Chromosome,Position,P.value,maf,effect,Adj.P.P.value,Ind.SNP,PS,Software,Method,PVE
28,NsiI.TP795133,GS,40,5,10655601,1.69394E-18,0.051886792,0.959388858,4.66681E-15,C106+4202,PS_Y,FarmCPU,FarmCPU,5.832212061
29,PstI.TP1017687,GS,42,7,58691088,5.47676E-07,0.150943396,-0.128205458,0.00050295,C106+4202,PS_Y,FarmCPU,FarmCPU,2.155076858
30,PstI.TP411848,CmN,37,11,3188,3.5794E-09,0.476415094,-0.236968335,9.86125E-06,C106+4202,PS_Y,FarmCPU,FarmCPU,1
31,PstI.TP700737,AIL,36,7,52170610,1.92283E-05,0.193396226,0.420608248,0.01765796,C106+4202,PS_Y,FarmCPU,FarmCPU,0.112290142
32,PstI.TP788586,GS,41,6,57442567,8.31366E-07,0.358490566,-0.140737124,0.000572603,C106+4202,PS_Y,FarmCPU,FarmCPU,2.963022545
33,PstI.TP849286,AIL,34,3,10316458,2.63495E-06,0.264150943,0.477837734,0.005003262,C106+4202,PS_Y,FarmCPU,FarmCPU,10.57128388
34,PstI.TP935978,GS,39,4,62874103,2.46469E-05,0.061320755,-0.127865851,0.011317034,C106+4202,PS_Y,FarmCPU,FarmCPU,0.17978444
35,PstI.TP981001,GS,38,2,4681014,1.35507E-10,0.108490566,-0.334039055,1.86661E-07,C106+4202,PS_Y,FarmCPU,FarmCPU,0.33297317
36,NsiI.TP274184,Lg,67,4,1065229,4.58337E-06,0.068965517,-0.084806409,0.002418873,C116+3293,PS_Y,FarmCPU,FarmCPU,11.6719224
37,NsiI.TP336547,Lg,69,6,58396661,8.43369E-05,0.094827586,0.070996814,0.029672533,C116+3293,PS_Y,FarmCPU,FarmCPU,6.383069414
38,NsiI.TP464287,GS,58,2,61339842,0.00015215,0.051724138,-0.279555062,0.045884232,C116+3293,PS_Y,FarmCPU,FarmCPU,9.986531868
39,NsiI.TP493151,AIL,48,3,3481929,6.3863E-05,0.056034483,-0.56236984,0.019259251,C116+3293,PS_Y,FarmCPU,FarmCPU,0.246454795
40,NsiI.TP87403,GS,64,11,10095,5.4726E-06,0.051724138,-0.353091525,0.005776329,C116+3293,PS_Y,FarmCPU,FarmCPU,0.430775643
41,PstI.TP110898,CmN,56,10,9880843,9.91915E-06,0.051724138,0.373876557,0.010469666,C116+3293,PS_Y,FarmCPU,FarmCPU,13.1367158
42,PstI.TP1157659,Lg,68,6,12195814,8.02037E-09,0.405172414,-0.119839977,1.16681E-05,C116+3293,PS_Y,FarmCPU,FarmCPU,0.740303951
43,PstI.TP1212372,Lg,70,10,6070004,7.80587E-08,0.125,-0.121266539,5.49273E-05,C116+3293,PS_Y,FarmCPU,FarmCPU,0.205780037
44,PstI.TP1246584,AIL,44,1,1015480,0.000198705,0.435344828,-0.214115995,0.034955509,C116+3293,PS_Y,FarmCPU,FarmCPU,3.788988235
45,PstI.TP338365,GS,62,11,2666,8.84487E-09,0.137931034,0.309479324,1.86715E-05,C116+3293,PS_Y,FarmCPU,FarmCPU,3.392683739
46,PstI.TP411848,CmN,57,11,3188,6.46734E-10,0.461206897,-0.227058703,1.36525E-06,C116+3293,PS_Y,FarmCPU,FarmCPU,11.42535896
47,PstI.TP424159,Lg,66,1,63417435,0.000101383,0.125,-0.083581597,0.030574256,C116+3293,PS_Y,FarmCPU,FarmCPU,0.013865725
48,PstI.TP447641,AIL,54,10,6043610,0.000130235,0.125,-0.35201312,0.028219338,C116+3293,PS_Y,FarmCPU,FarmCPU,9.366205554
49,PstI.TP464884,Lg,71,11,3541,1.47694E-05,0.051724138,-0.130903508,0.006235648,C116+3293,PS_Y,FarmCPU,FarmCPU,0.171318428
50,PstI.TP478050,GS,60,3,63462498,2.74437E-05,0.056034483,0.415041604,0.019311201,C116+3293,PS_Y,FarmCPU,FarmCPU,36.19727982
51,PstI.TP529090,GS,63,11,3947,0.000152113,0.094827586,0.164643715,0.045884232,C116+3293,PS_Y,FarmCPU,FarmCPU,1.338778688
52,PstI.TP617376,GS,61,4,63931951,4.92757E-05,0.081896552,-0.28179129,0.020804186,C116+3293,PS_Y,FarmCPU,FarmCPU,5.452223273
53,PstI.TP682522,AIL,47,2,77263024,3.45923E-07,0.142241379,0.450454757,0.000429106,C116+3293,PS_Y,FarmCPU,FarmCPU,7.173545979
54,PstI.TP705967,AIL,45,1,5858828,4.06543E-07,0.086206897,0.766009924,0.000429106,C116+3293,PS_Y,FarmCPU,FarmCPU,0.039001309
55,PstI.TP770895,Lg,65,1,13263569,1.10546E-08,0.120689655,0.104207633,1.16681E-05,C116+3293,PS_Y,FarmCPU,FarmCPU,13.86597317
56,PstI.TP849286,AIL,49,3,10316458,0.000105723,0.267241379,0.36786792,0.02789768,C116+3293,PS_Y,FarmCPU,FarmCPU,9.681706889
57,PstI.TP85647,AIL,55,10,60886778,0.000133678,0.056034483,-0.569801466,0.028219338,C116+3293,PS_Y,FarmCPU,FarmCPU,18.48659803
58,PstI.TP890801,GS,59,2,72613106,4.52078E-05,0.086206897,-0.232213881,0.020804186,C116+3293,PS_Y,FarmCPU,FarmCPU,0.684824529
59,PstI.TP891127,AIL,52,6,55263071,4.03923E-06,0.056034483,-0.628852801,0.00249746,C116+3293,PS_Y,FarmCPU,FarmCPU,0.405894073
60,PstI.TP900003,AIL,50,3,53586609,4.73228E-06,0.215517241,-0.383501825,0.00249746,C116+3293,PS_Y,FarmCPU,FarmCPU,2.790042981
61,PstI.TP924658,AIL,46,1,65264909,1.43435E-05,0.176724138,0.399639671,0.005046521,C116+3293,PS_Y,FarmCPU,FarmCPU,0.026399685
62,PstI.TP935978,AIL,51,4,62874103,7.90731E-06,0.064655172,-0.438170688,0.003338466,C116+3293,PS_Y,FarmCPU,FarmCPU,7.359725449
63,PstI.TP939350,AIL,53,9,20082917,0.000167628,0.064655172,0.461459315,0.032169257,C116+3293,PS_Y,FarmCPU,FarmCPU,0.018829678
64,PstI.TP219584,AIL,72,2,3429973,8.70115E-06,0.427419355,-0.402236455,0.014095862,C124+2560,PS_Y,FarmCPU,FarmCPU,11.86797971
65,PstI.TP401430,Lg,77,10,261208,3.70443E-06,0.056451613,0.139964339,0.001500294,C124+2560,PS_Y,FarmCPU,FarmCPU,0.732214082
66,PstI.TP404112,GS,73,4,61296221,5.03686E-07,0.088709677,0.306253712,0.000815971,C124+2560,PS_Y,FarmCPU,FarmCPU,23.89059792
67,PstI.TP424159,Lg,75,1,63417435,8.41752E-08,0.125,-0.121787758,0.000136364,C124+2560,PS_Y,FarmCPU,FarmCPU,0.012435199
68,PstI.TP676134,GS,74,9,57652835,1.4836E-06,0.10483871,0.260651716,0.001201717,C124+2560,PS_Y,FarmCPU,FarmCPU,2.899175922
69,PstI.TP867146,Lg,78,11,6048,1.48791E-06,0.108870968,-0.065940944,0.000803471,C124+2560,PS_Y,FarmCPU,FarmCPU,6.503460893
70,PstI.TP881184,Lg,76,2,76620224,1.00414E-06,0.100806452,-0.083786703,0.000803471,C124+2560,PS_Y,FarmCPU,FarmCPU,9.878402857
71,PstI.TP651320,FNMain,79,5,35481232,6.79031E-06,0.255208333,-1.502661531,0.022170366,F96+4814,PS_Y,FarmCPU,FarmCPU,26.87557658
72,NsiI.TP101365,OWA19,84,10,58707662,4.02068E-06,0.362745098,0.005550017,0.003770056,O102+4322,PS_Y,FarmCPU,FarmCPU,3.187003097
73,NsiI.TP756808,OWA19,85,10,59848770,1.74961E-05,0.279411765,0.005311414,0.009843279,O102+4322,PS_Y,FarmCPU,FarmCPU,4.424123776
74,PstI.TP124945,OWA19,83,5,41255313,1.50324E-05,0.137254902,-0.009683135,0.009843279,O102+4322,PS_Y,FarmCPU,FarmCPU,16.38446814
75,PstI.TP1250222,OWA19,86,11,8799,2.29253E-08,0.053921569,-0.013913592,6.44888E-05,O102+4322,PS_Y,FarmCPU,FarmCPU,10.17522261
76,PstI.TP459121,OWA19,80,1,78162835,3.43442E-07,0.073529412,-0.015597712,0.000483051,O102+4322,PS_Y,FarmCPU,FarmCPU,25.1217742
77,PstI.TP483920,OWA19,82,2,71246128,4.94691E-05,0.068627451,-0.009359928,0.023192779,O102+4322,PS_Y,FarmCPU,FarmCPU,4.381843907
78,PstI.TP49139,OWA19,81,1,80477608,0.00010205,0.053921569,-0.008056564,0.041009439,O102+4322,PS_Y,FarmCPU,FarmCPU,5.98813818
79,NsiI.TP640755,OWA19,89,2,16850781,0.000110624,0.058035714,-0.013813501,0.034419956,O112+3450,PS_Y,FarmCPU,FarmCPU,7.074583692
80,PstI.TP1151255,OWA19,87,1,77213117,5.94517E-08,0.0625,-0.019783498,5.76202E-05,O112+3450,PS_Y,FarmCPU,FarmCPU,1.541500873
81,PstI.TP1250222,OWA19,93,11,8799,1.63611E-09,0.053571429,-0.014910314,3.56345E-06,O112+3450,PS_Y,FarmCPU,FarmCPU,9.821854732
82,PstI.TP298201,OWA19,91,6,1375822,9.388E-06,0.09375,0.010369781,0.004089411,O112+3450,PS_Y,FarmCPU,FarmCPU,11.54989171
83,PstI.TP459121,OWA19,88,1,78162835,7.93667E-08,0.071428571,-0.014965598,5.76202E-05,O112+3450,PS_Y,FarmCPU,FarmCPU,23.97566376
84,PstI.TP483920,OWA19,90,2,71246128,1.83321E-07,0.071428571,-0.014260797,9.98182E-05,O112+3450,PS_Y,FarmCPU,FarmCPU,3.81092065
85,PstI.TP774948,OWA19,92,9,243415,6.2281E-05,0.071428571,-0.011024181,0.022608,O112+3450,PS_Y,FarmCPU,FarmCPU,3.899962586
86,NsiI.TP360999,OWA19,94,1,10465743,1.22971E-05,0.086065574,0.016154522,0.006816715,O122+2646,PS_Y,FarmCPU,FarmCPU,0.004917308
87,PstI.TP1084308,OWA19,99,4,42752899,4.50844E-05,0.073770492,0.01118127,0.01499507,O122+2646,PS_Y,FarmCPU,FarmCPU,1.450292086
88,PstI.TP1200270,OWA19,96,2,13518060,3.76833E-05,0.110655738,-0.010427785,0.01499507,O122+2646,PS_Y,FarmCPU,FarmCPU,13.32959188
89,PstI.TP166492,OWA19,100,6,2200069,7.25421E-05,0.118852459,0.008985676,0.017619701,O122+2646,PS_Y,FarmCPU,FarmCPU,7.297974625
90,PstI.TP268085,OWA19,97,2,64265265,2.4255E-09,0.053278689,0.022930761,4.0336E-06,O122+2646,PS_Y,FarmCPU,FarmCPU,15.35059339
91,PstI.TP459121,OWA19,95,1,78162835,7.69546E-08,0.069672131,-0.017928792,6.39878E-05,O122+2646,PS_Y,FarmCPU,FarmCPU,19.18956709
92,PstI.TP770204,OWA19,98,3,67523376,7.41659E-05,0.06147541,0.009186144,0.017619701,O122+2646,PS_Y,FarmCPU,FarmCPU,3.175595444
