"","SNP","Chromosome","Position","P.value","Method","Trait.name","Software","Ind.SNP","PS"
"81","PstI.TP1181998",11,8335,0.0000000326132765257186,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"82","NsiI.TP23333",11,9380,0.00000491426166117285,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"83","NsiI.TP199794",11,11348,0.00000222713313978685,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"84","NsiI.TP213251",11,11497,0.0000268704742381432,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"85","NsiI.TP233866",11,11754,0.00000078832760468766,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"86","NsiI.TP394647",11,13479,0.00000620907124010799,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"87","NsiI.TP438128",11,14231,0.00000057381193472822,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"88","NsiI.TP484341",11,14956,0.00000000000390538764924025,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"89","NsiI.TP510204",11,15423,0.0000111832305369442,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"90","NsiI.TP673888",11,17425,0.000000645278355837516,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"91","NsiI.TP765334",11,18553,0.0000368087194266092,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"92","NsiI.TP827803",11,19285,0.00000608697105908737,"rrBLUP","Lg","rrBLUP","124im+36088","PCA=3"
"93","NsiI.TP433049",1,6132851,0.000234716995628752,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"94","PstI.TP1242505",1,6406612,0.000145280426444522,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"95","PstI.TP944743",1,8504253,0.000000000254570486301167,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"96","NsiI.TP793729",1,9458454,0.0000000162369513306592,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"97","PstI.TP974726",1,9504539,0.0000416566036885508,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"98","PstI.TP308922",1,14021607,0.0000000208709508898276,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"99","PstI.TP119299",1,20256212,0.0000399289588308396,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"100","NsiI.TP800446",1,58656120,0.0000144613966184277,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"101","NsiI.TP170158",1,59168840,0.000250873829241815,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"102","NsiI.TP20339",1,61641800,0.00023025193290001,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"103","PstI.TP84880",1,63680478,0.000000431519486260836,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"104","NsiI.TP222846",1,64856990,0.0000237017775017529,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"105","NsiI.TP25518",1,66003290,0.0000487497486388647,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"106","NsiI.TP401450",1,67928325,0.0000000834071650743215,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"107","PstI.TP288321",1,69119924,0.00014821131942579,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"108","PstI.TP721511",1,69810929,0.000256886051926737,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"109","NsiI.TP351499",1,71949166,0.0000336752221541561,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"110","PstI.TP215976",1,72027878,0.00000000038683192700409,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"111","NsiI.TP172096",1,73259271,0.0000224657343254029,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"112","PstI.TP375640",1,77251518,0.000018488819274797,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"113","PstI.TP813497",1,79540010,0.0000608631863052093,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"114","NsiI.TP293002",2,14123287,0.0000496222971553828,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"115","PstI.TP237380",2,49698711,0.00000970925242719019,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"116","PstI.TP460957",2,63153566,0.000119245153384177,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"117","PstI.TP511920",2,64154632,0.000131219372992347,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"118","PstI.TP482377",2,71803501,0.00000163156512701638,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"119","NsiI.TP798911",2,72297880,0.000022210106599582,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"120","PstI.TP1215716",2,73397741,0.000263066404877589,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"121","NsiI.TP678903",2,75062699,0.0000504835515110407,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"122","PstI.TP1207695",3,4076702,0.000198857622578442,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"123","PstI.TP842954",3,11857444,0.0000129710876085643,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"124","PstI.TP981287",3,51905432,0.000211033797160077,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"125","NsiI.TP682055",3,53727323,0.000181375932783103,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"126","NsiI.TP32394",3,54277373,0.0000740019031720148,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"127","NsiI.TP460839",3,59424718,0.000204030186397491,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"128","PstI.TP641175",3,61017020,0.000155571637019237,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"129","PstI.TP694159",3,61030989,0.00000979328933997194,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"130","NsiI.TP348354",3,61890086,0.000000131702255173382,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"131","NsiI.TP527955",3,62865681,0.000000456066208337623,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"132","PstI.TP950567",3,64725335,0.000190815111737685,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"133","NsiI.TP778547",3,72499499,0.000108676735517695,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"134","PstI.TP171713",4,6902976,0.00000275121215796122,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"135","PstI.TP1089453",4,8592955,0.000119878601404017,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"136","NsiI.TP734475",4,12179795,0.00000643086712251542,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"137","PstI.TP1062471",4,15709646,0.000219021468659476,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"138","PstI.TP1211962",4,15710410,0.00000180120349492667,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"139","PstI.TP901989",4,54463784,0.000082285703274004,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"140","PstI.TP372007",4,55074516,0.0000675370489557783,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"141","PstI.TP401135",4,55470390,0.00000000100021546357223,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"142","NsiI.TP100469",4,57248732,0.0000217374147745516,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"143","PstI.TP404112",4,61296221,0.000071640542113432,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"144","PstI.TP530075",4,62172111,0.000045548560133165,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"145","PstI.TP76584",4,63703400,0.0000158720378102137,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"146","NsiI.TP530682",4,67084059,0.00000001052160330156,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"147","NsiI.TP508887",4,67612649,0.000000333093745344331,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"148","PstI.TP886903",5,7699285,0.000294320045646454,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"149","PstI.TP159269",5,20096056,0.000122015387811226,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"150","PstI.TP65678",5,61773243,0.000100636650435946,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"151","PstI.TP1045209",5,67682690,0.0000000972390665180674,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"152","NsiI.TP33079",6,7777434,0.0000561610808672556,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"153","PstI.TP867312",6,41300079,0.00000029625402129831,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"154","NsiI.TP180436",6,41765606,0.000000139940696673093,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"155","NsiI.TP248936",6,45582428,0.000000187212479152565,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"156","PstI.TP1120157",6,48858471,0.0000336223095301564,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"157","PstI.TP1149860",6,50090646,0.000000421781528344999,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"158","PstI.TP65243",6,53953020,0.0000108520388007839,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"159","PstI.TP134392",6,55007516,0.00000735535753803648,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"160","NsiI.TP503227",7,87451,0.000290239956013298,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"161","NsiI.TP472028",7,1360842,0.0000208067870308612,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"162","PstI.TP16677",7,2767454,0.0000389288684664118,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"163","NsiI.TP378253",7,63225298,0.000141683294410953,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"164","NsiI.TP396267",7,63764542,0.0000150664982496863,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"165","NsiI.TP71163",7,65061807,0.000000129444259651253,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"166","NsiI.TP589984",8,52737990,0.0000000828187695740217,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"167","NsiI.TP262378",8,55743978,0.0000240621422364917,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"168","PstI.TP609957",8,58571401,0.00000000225099746396801,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"169","NsiI.TP226562",8,59296270,0.00000251326224677954,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"170","NsiI.TP39864",9,223824,0.0000700500506830748,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"171","PstI.TP167522",9,3164781,0.0000385619932025566,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"172","NsiI.TP362447",9,48537952,0.000257151005058176,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"173","NsiI.TP581148",9,51447543,0.0000000527086372473709,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"174","PstI.TP1085708",9,54359783,0.000257654277330256,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"175","NsiI.TP213759",9,55306858,0.000189631048778257,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"176","NsiI.TP724130",9,59312440,0.0000715973995057486,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"177","PstI.TP320774",10,115892,0.0000764118173104604,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"178","NsiI.TP207262",10,2214360,0.00000366140211813046,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"179","NsiI.TP550329",10,48791640,0.000000000260893643156222,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"180","NsiI.TP660871",10,56470218,0.000045128300269761,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"181","NsiI.TP322549",10,56604294,0.0000575912635542771,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"182","GFSSContig13679_522",10,58314982,0.0000209475314310607,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"183","PstI.TP9257",11,65,0.0000000300791471271747,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"184","PstI.TP42146",11,353,0.000149611862996886,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"185","PstI.TP136209",11,1131,0.0000000486626902625808,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"186","PstI.TP144650",11,1222,0.0000000192692348238882,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"187","PstI.TP174949",11,1432,0.000180236863730076,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"188","PstI.TP201683",11,1650,0.000180856698230175,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"189","PstI.TP223643",11,1838,0.00000535693924094551,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"190","PstI.TP258803",11,2108,0.000076201909200581,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"191","PstI.TP276130",11,2243,0.000130545768523694,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"192","PstI.TP306425",11,2424,0.00000384828176591518,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"193","PstI.TP316592",11,2507,0.000285419228540239,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"194","PstI.TP348199",11,2742,0.000081752029255194,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"195","PstI.TP397295",11,3096,0.0000109090546432161,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"196","PstI.TP397322",11,3097,0.00000698524815132276,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"197","PstI.TP434010",11,3326,0.00000224227035305267,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"198","PstI.TP460090",11,3514,0.000270236111074802,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"199","PstI.TP468958",11,3564,0.000199114636987748,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"200","PstI.TP574989",11,4138,0.000169404020889057,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"201","PstI.TP610743",11,4310,0.00021093400237142,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"202","PstI.TP624488",11,4383,0.00000947472355911158,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"203","PstI.TP633862",11,4458,0.0000500110224294761,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"204","PstI.TP687765",11,4753,0.00000045935107459939,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"205","PstI.TP698154",11,4823,0.0001243221619184,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"206","PstI.TP741889",11,5126,0.00000000187992782455406,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"207","PstI.TP758835",11,5240,0.00000167347748951599,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"208","PstI.TP829191",11,5737,0.0000403171668765423,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"209","PstI.TP874708",11,6103,0.00000139336487805838,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"210","PstI.TP928877",11,6497,0.000000000000016937533371221,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"211","PstI.TP1004016",11,6968,0.0000000217352906027861,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"212","PstI.TP1009395",11,6997,0.000240612016338824,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"213","PstI.TP1042290",11,7231,0.0000286384249575599,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"214","PstI.TP1054721",11,7335,0.000250148203115679,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"215","PstI.TP1110489",11,7773,0.000147962457712077,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"216","PstI.TP1174833",11,8269,0.00000408543702925086,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"217","PstI.TP1201826",11,8487,0.000154714391053061,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"218","NsiI.TP8416",11,9224,0.0000070795530721213,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"219","NsiI.TP30213",11,9468,0.0000000000000000727334451218604,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"220","NsiI.TP37023",11,9561,0.0000041027620223849,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"221","NsiI.TP43126",11,9667,0.000228918887429272,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"222","NsiI.TP55722",11,9782,0.000251722924874882,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"223","NsiI.TP65519",11,9900,0.0000000209176549798309,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"224","NsiI.TP138389",11,10671,0.0000000459839397065703,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"225","NsiI.TP197433",11,11326,0.0000327837966693804,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"226","NsiI.TP226241",11,11669,0.000000388061591287451,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"227","NsiI.TP248198",11,11925,0.00000116890694262659,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"228","NsiI.TP253929",11,11980,0.000117597764409501,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"229","NsiI.TP329550",11,12763,0.0000330305592379777,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"230","NsiI.TP338850",11,12869,0.00000067175325768251,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"231","NsiI.TP358942",11,13077,0.000267358034817756,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"232","NsiI.TP361493",11,13114,0.0000940071743308113,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"233","NsiI.TP397093",11,13500,0.000168363278148871,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
"234","NsiI.TP429684",11,14029,0.000134775541821165,"rrBLUP","GS","rrBLUP","124im+36088","PCA=3"
