"","SNP","Chromosome","Position","Trait.name","Method","QTN.effect","LOD.score","PVE","MAF","Genotype.for.code.1","Var_error","Var_phen..total.","Software","Ind.SNP","PS","P.value"
"121","PstI.TP1264238",10,5451657,"GFW_1","FASTmrMLM",0.0016,29.3273,0.1331,0.0431,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000000000000000000000000032158812236045
"131","PstI.TP125419",10,50424324,"GFW_1","FASTmrMLM",-0.0025,30.1219,0.79,0.2241,"G",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000000000000000000000000000509330871057196
"141","PstI.TP1177996",11,8302,"GFW_1","FASTmrMLM",0.0013,36.5733,0.123,0.1552,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000000000000000000000000000000000163794758483496
"114","NsiI.TP821811",4,48427329,"GHW_50","mrMLM",-0.0243,8.1441,23.982,0.136,"A",0.0006,0.0017,"mrMLMM","F116+36088im","PS_N",0.000000000912430932591198
"211","PstI.TP133136",5,65324990,"GHW_50","mrMLM",0.0135,3.1902,3.2683,0.193,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000126648485285392
"311","NsiI.TP834285",5,52986053,"GHW_50","mrMLM",0.0286,4.2087,5.2393,0.0351,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000107053285383336
"49","NsiI.TP825923",6,52448208,"GHW_50","mrMLM",0.0215,4.6975,21.2098,0.1842,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000330293479396034
"52","PstI.TP198419",7,2405340,"GHW_50","mrMLM",-0.0153,3.0631,4.7735,0.1754,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000172822387294977
"62","NsiI.TP607068",8,1666575,"GHW_50","mrMLM",-0.0169,4.2022,11.7255,0.1754,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000108742671954624
"72","PstI.TP1052140",6,19137861,"GHW_50","ISIS EM-BLASSO",0.0242,3.1409,4.6123,0.1034,"A",0.0006,0.0017,"mrMLMM","F116+36088im","PS_N",0.00014288939585111
"115","PstI.TP622176",3,65129470,"GFW_50","mrMLM",0.0141,5.696,13.1425,0.3772,"C",0.0005,0.0009,"mrMLMM","F116+36088im","PS_N",0.000000303040029778836
"212","NsiI.TP821811",4,48427329,"GFW_50","mrMLM",-0.0219,6.9751,35.8774,0.136,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000144910548400123
"312","PstI.TP133136",5,65324990,"GFW_50","mrMLM",0.0132,3.5712,5.7497,0.193,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000500725835640335
"410","PstI.TP210905",2,72650615,"GFW_50","FASTmrMLM",0.0024,3.5043,0.4503,0.181,"C",0.0002,0.0009,"mrMLMM","F116+36088im","PS_N",0.0000589114890329541
"53","PstI.TP661215",3,54129611,"GFW_50","FASTmrMLM",0.0051,5.6358,2.704,0.2198,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000349864598452017
"63","PstI.TP622176",3,65129470,"GFW_50","FASTmrMLM",0.0067,3.229,3.5883,0.3707,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000115212605982581
"73","PstI.TP133136",5,65324990,"GFW_50","FASTmrMLM",0.0069,4.031,1.8652,0.194,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000164399313622132
"82","NsiI.TP383484",9,6111601,"GFW_50","FASTmrMLM",0.0052,3.873,1.3409,0.1983,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000240879588172571
"92","PstI.TP125419",10,50424324,"GFW_50","FASTmrMLM",-0.0045,4.635,0.6805,0.2241,"G",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000383795607523298
"104","PstI.TP714290",11,4942,"GFW_50","FASTmrMLM",0.0035,4.1526,1.3101,0.2328,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000122574463204981
"116","PstI.TP1020545",11,7078,"GFW_50","FASTmrMLM",0.0039,5.4997,1.3794,0.3405,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000484060895610673
"122","NsiI.TP130730",11,10568,"GFW_50","FASTmrMLM",0.000055955,3.2002,0.0003,0.0819,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000123594743344451
"132","NsiI.TP243305",11,11873,"GFW_50","FASTmrMLM",0.000075028,3.7363,0.0006,0.1552,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000033542853083269
"142","NsiI.TP646295",11,17132,"GFW_50","FASTmrMLM",-0.0046,3.9855,2.0298,0.4267,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000018352701456751
"151","PstI.TP108730",11,899,"GFW_50","ISIS EM-BLASSO",-0.0102,3.5587,6.5862,0.2112,"G",0.0002,0.0009,"mrMLMM","F116+36088im","PS_N",0.0000516178605496672
"161","NsiI.TP832142",11,19332,"GFW_50","ISIS EM-BLASSO",-0.007,3.1458,1.6158,0.1164,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000141188719680366
"117","NsiI.TP30868",1,51136397,"HM_1","mrMLM",-0.0614,5.5298,10.2649,0.1009,"G",0.003,0.0064,"mrMLMM","F116+36088im","PS_N",0.000000450505398927923
"213","PstI.TP622176",3,65129470,"HM_1","mrMLM",0.0401,5.6861,16.7204,0.3772,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000310313021475341
"313","NsiI.TP825923",6,52448208,"HM_1","mrMLM",0.0331,3.7103,14.4045,0.1842,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000357272838151929
"411","NsiI.TP810192",8,2563502,"HM_1","mrMLM",0.0399,4.5541,17.2827,0.2018,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000466122428001887
"54","PstI.TP1020545",11,7078,"HM_1","ISIS EM-BLASSO",0.0286,3.3053,11.0502,0.3405,"A",0.0023,0.0064,"mrMLMM","F116+36088im","PS_N",0.0000956312868845996
"118","PstI.TP187918",11,1532,"FM_1","mrMLM",0.02,3.5376,20.2922,0.25,"G",0.0014,0.0016,"mrMLMM","F116+36088im","PS_N",0.0000543375433906334
"214","NsiI.TP564528",1,4080985,"FM_1","FASTmrMLM",-0.0009,47.5132,0,0.0129,"C",0.0001,0.0016,"mrMLMM","F116+36088im","PS_N",0.000000000000000000000000000000000000000000000000165386478477132
"314","PstI.TP131472",1,7412958,"FM_1","FASTmrMLM",0.0033,9.311,0.4326,0.0776,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000000582907978867232
"412","NsiI.TP425431",1,29611471,"FM_1","FASTmrMLM",-0.0029,19.1033,0.4328,0.3836,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000000000000000664354681976003
"55","PstI.TP502131",1,59426545,"FM_1","FASTmrMLM",0.0006,14.0739,0.0032,0.0216,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000000000000824707606127078
"64","PstI.TP537292",1,78162057,"FM_1","FASTmrMLM",-0.0024,17.8334,0.3752,0.2457,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000000000000000127879226293585
"74","PstI.TP640960",1,80209769,"FM_1","FASTmrMLM",0.0019,27.7362,0.0238,0.0388,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000000000000000000000000012891397503856
"83","NsiI.TP388907",2,71256645,"FM_1","FASTmrMLM",-0.0047,38.9189,0.5287,0.2716,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000000000000000000000000000000000000716803306516057
"910","NsiI.TP436966",3,208286,"FM_1","FASTmrMLM",0.0004,10.0329,0.005,0.0991,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000000106684174234025
"105","PstI.TP661215",3,54129611,"FM_1","FASTmrMLM",0.0033,7.854,0.6683,0.2198,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000181050613172181
"119","NsiI.TP215974",3,56338222,"FM_1","FASTmrMLM",0.0012,26.8832,0,0.0172,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000000000000000000000000933039435791088
"123","NsiI.TP496851",3,61267172,"FM_1","FASTmrMLM",-0.0021,7.9615,0.0685,0.1164,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000140442968357795
"133","PstI.TP621994",3,74383503,"FM_1","FASTmrMLM",-0.0008,22.5058,0,0.0129,"G",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000000000000000000024271689070387
"143","NsiI.TP34695",4,6508508,"FM_1","FASTmrMLM",-0.002,11.5309,0.1445,0.0474,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000000000317029736695272
"152","NsiI.TP588890",4,9914641,"FM_1","FASTmrMLM",-0.001,29.8033,0.04,0.375,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000000000000000000000000000106635055667011
"162","GFk45ctg179201_418",4,22559183,"FM_1","FASTmrMLM",0.0003,18.5274,0.0024,0.0733,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000000000000000253980281377283
"171","NsiI.TP324593",4,54954569,"FM_1","FASTmrMLM",0.0007,38.7747,0.0073,0.0776,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000000000000000000000000000000000000100092145831929
"181","NsiI.TP750468",4,55101918,"FM_1","FASTmrMLM",-0.0035,42.7576,0.7665,0.0733,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000000000000000000000000000000000000000992201775840168
"191","PstI.TP675318",4,60844616,"FM_1","FASTmrMLM",-0.0058,18.0472,0.1459,0.0216,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000000000000000777141318793679
"201","NsiI.TP825923",6,52448208,"FM_1","FASTmrMLM",0.0061,24.4367,2.2435,0.1897,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000000000000000000000273337992205333
"215","PstI.TP851309",6,52995974,"FM_1","FASTmrMLM",-0.0011,4.4815,0,0.0388,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000555008967183645
"221","NsiI.TP51476",6,53107093,"FM_1","FASTmrMLM",-0.0016,55.0826,0.0223,0.0129,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000000000000000000000000000000000000000000000000000414572031786729
"231","PstI.TP705829",6,58061911,"FM_1","FASTmrMLM",-0.0042,16.735,0.2499,0.0991,"G",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000000000000165462659305055
"241","PstI.TP198419",7,2405340,"FM_1","FASTmrMLM",-0.0026,6.8052,0.1751,0.1724,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000216820329460462
"25","PstI.TP512607",7,6804761,"FM_1","FASTmrMLM",0.0029,39.931,0.0359,0.0474,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000000000000000000000000000000000000688335233253993
"26","PstI.TP1278820",7,61813715,"FM_1","FASTmrMLM",0.002,51.9384,0.0977,0.0388,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000000000000000000000000000000000000000000000000594702822917257
"27","PstI.TP984285",9,11318249,"FM_1","FASTmrMLM",-0.0034,31.0493,0.6274,0.3621,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000000000000000000000000000593198439664977
"28","NsiI.TP90957",9,58754094,"FM_1","FASTmrMLM",-0.0011,52.2863,0.0698,0.056,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000000000000000000000000000000000000000000000000266072505979879
"29","PstI.TP1256552",10,47768031,"FM_1","FASTmrMLM",0.0032,5.4003,0.5424,0.0647,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000613762005164795
"30","PstI.TP21082",11,167,"FM_1","FASTmrMLM",0.003,20.9164,0.1922,0.1379,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000000000000000000977462264049593
"31","PstI.TP68941",11,572,"FM_1","FASTmrMLM",0.0018,14.315,0.035,0.0517,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000000000000469461519382591
"32","PstI.TP118441",11,979,"FM_1","FASTmrMLM",-0.0009,10.8626,0.0055,0.0345,"G",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000000152019745103083
"33","PstI.TP693499",11,4804,"FM_1","FASTmrMLM",-0.0034,16.9872,0.1463,0.0776,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000000000000000918967177318926
"34","PstI.TP793039",11,5486,"FM_1","FASTmrMLM",0.0008,6.586,0.0116,0.0905,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000364753946925608
"35","PstI.TP874146",11,6098,"FM_1","FASTmrMLM",0.0031,26.9562,0.2387,0.056,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000000000000000000000000078777101958568
"36","PstI.TP1009395",11,6997,"FM_1","FASTmrMLM",-0.0017,14.5092,0.0644,0.0259,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000000000000298263424577877
"37","PstI.TP1020545",11,7078,"FM_1","FASTmrMLM",0.007,27.2976,2.6949,0.3405,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000000000000000000000000356697446209733
"38","PstI.TP1046468",11,7261,"FM_1","FASTmrMLM",-0.0013,65.5822,0.0457,0.1034,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000000000000000000000000000000000000000000000000000000000000000120420381847174
"39","PstI.TP1075605",11,7505,"FM_1","FASTmrMLM",-0.0023,33.5757,0,0.0388,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000000000000000000000000000000169863473253662
"40","PstI.TP1177996",11,8302,"FM_1","FASTmrMLM",0.004,9.3774,0.2025,0.1552,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000000498539989263986
"41","NsiI.TP49937",11,9724,"FM_1","FASTmrMLM",-0.0033,22.2361,0.1379,0.1164,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000000000000000000454359904929339
"42","NsiI.TP130730",11,10568,"FM_1","FASTmrMLM",0.0028,26.9413,0.4699,0.0819,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000000000000000000000000815455000061117
"43","NsiI.TP245890",11,11906,"FM_1","FASTmrMLM",-0.0025,16.2394,0.383,0.3233,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000000000000525533009626922
"44","NsiI.TP293440",11,12365,"FM_1","FASTmrMLM",0.0004,32.8613,0.0013,0.0517,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000000000000000000000000000000889405887555895
"45","NsiI.TP393109",11,13472,"FM_1","FASTmrMLM",-0.0011,23.0849,0.0747,0.0388,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000000000000000000000631829646691896
"46","NsiI.TP646295",11,17132,"FM_1","FASTmrMLM",-0.0053,12.574,1.6337,0.4267,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000000000275359459175026
"47","NsiI.TP832142",11,19332,"FM_1","FASTmrMLM",-0.0047,43.2144,0.4459,0.1164,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000000000000000000000000000000000000000344825996552621
"139","PstI.TP1159423",11,8140,"FM_1","ISIS EM-BLASSO",0.019,5.1315,20.6606,0.3922,"C",0.0005,0.0016,"mrMLMM","F116+36088im","PS_N",0.00000116707831583793
"140","NsiI.TP416911",11,13756,"FM_1","ISIS EM-BLASSO",0.0178,3.2626,8.577,0.1466,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000106145112090524
"120","NsiI.TP30868",1,51136397,"HM_50","mrMLM",-0.0206,6.8206,9.258,0.1009,"G",0.0004,0.0008,"mrMLMM","F116+36088im","PS_N",0.0000000209025850885791
"216","PstI.TP622176",3,65129470,"HM_50","mrMLM",0.0151,7.3037,19.0352,0.3772,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000000665426358644372
"315","NsiI.TP825923",6,52448208,"HM_50","mrMLM",0.0122,3.5628,15.5901,0.1842,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000511093079037391
"413","NsiI.TP810192",8,2563502,"HM_50","mrMLM",0.0128,3.3962,14.176,0.2018,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000076630207227392
"56","PstI.TP187918",11,1532,"HM_50","FASTmrMLM",0.0073,3.7006,5.9007,0.25,"G",0.0003,0.0008,"mrMLMM","F116+36088im","PS_N",0.0000365763193009452
"65","NsiI.TP828738",11,19298,"HM_50","FASTmrMLM",-0.0023,3.586,0.6411,0.3922,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000483058802039773
"75","PstI.TP1009395",11,6997,"HM_50","ISIS EM-BLASSO",-0.002,3.2601,0.1901,0.0259,"C",0.0002,0.0008,"mrMLMM","F116+36088im","PS_N",0.00010678247925391
"124","NsiI.TP810192",8,2563502,"FM_50","mrMLM",0.01,4.343,19.3309,0.2018,"C",0.0003,0.0004,"mrMLMM","F116+36088im","PS_N",0.00000774640144753754
"217","NsiI.TP383484",9,6111601,"FM_50","mrMLM",0.0092,3.5344,9.9949,0.1842,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000547520015303768
"125","PstI.TP1154991",1,22969451,"TFN","mrMLM",-2.8855,7.3949,0,0.0351,"C",1.4897,2.8114,"mrMLMM","F116+36088im","PS_N",0.00000000536166900594990
"218","PstI.TP189035",9,1311048,"TFN","mrMLM",-0.6665,3.7273,10.5478,0.2281,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000342846720833313
"316","NsiI.TP484341",11,14956,"TFN","mrMLM",-1.4202,6.5768,37.1409,0.0746,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000372734849690333
"414","PstI.TP91633",1,7693586,"TFN","FASTmrMLM",0.657,4.583,11.4045,0.3233,"A",1.5807,2.8114,"mrMLMM","F116+36088im","PS_N",0.00000434810476892728
"57","PstI.TP55941",6,51146867,"TFN","FASTmrMLM",-0.581,3.014,8.8114,0.2457,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000194894686986205
"66","NsiI.TP304798",10,49051120,"TFN","FASTmrMLM",-0.7241,5.6299,13.4773,0.319,"G",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000354813389233575
"76","PstI.TP860748",11,6002,"TFN","FASTmrMLM",-0.5276,4.7621,3.507,0.194,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.00000282878538797013
"84","NsiI.TP156483",11,10853,"TFN","FASTmrMLM",-0.891,3.6577,20.9284,0.0905,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000405882194661918
"911","PstI.TP651907",11,4596,"TFN","pLARmEB",-0.7092,4.162,3.7071,0.1034,"C",1.468,2.8114,"mrMLMM","F116+36088im","PS_N",0.0000119839503207727
"106","NsiI.TP484341",11,14956,"TFN","pLARmEB",-1.3612,6.7548,31.5707,0.0733,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000000244343055269397
"1110","PstI.TP434866",6,3914949,"TFN","ISIS EM-BLASSO",0.8924,5.8423,21.4449,0.1552,"A",1.6972,2.8114,"mrMLMM","F116+36088im","PS_N",0.000000213845443014653
"126","NsiI.TP484341",11,14956,"TFN","ISIS EM-BLASSO",-1.3705,6.6388,27.7063,0.0733,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000032173625326956
"127","NsiI.TP30868",1,51136397,"fprind","mrMLM",-0.231,5.8963,3.479,0.1009,"G",0.0734,0.242,"mrMLMM","F116+36088im","PS_N",0.000000188018247349027
"219","PstI.TP572438",3,71178778,"fprind","mrMLM",-0.2855,3.8627,7.7522,0.1272,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.0000246944865101258
"317","PstI.TP622176",3,65129470,"fprind","mrMLM",0.1899,8.6991,8.9872,0.3772,"C",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000000246376907672177
"415","NsiI.TP821811",4,48427329,"fprind","mrMLM",-0.2432,8.2802,16.5553,0.136,"A",NA,NA,"mrMLMM","F116+36088im","PS_N",0.000000000661759218705661
