"","SNP","Chromosome","Position","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","Adj.P.P.value","Ind.SNP","PS","Software","Method","Trait.name","PVE"
"40","PstI.TP972893",11,6749,0.0000492387800621803,0.0602696812959027,124,0.418263044404305,0.502063036522903,0.032293253903781,0.609136139876228,0.032293253903781,"124+36088im","PS_N","GAPIT","CMLM","GS",8.3799992118598
"41","NsiI.TP111742",7,57934282,0.0000527371411866855,0.219999214636637,124,0.418263044404305,0.501355866462199,0.0326040501559885,-0.636752311260816,0.0326040501559885,"124+36088im","PS_N","GAPIT","CMLM","GS",8.3092822057894
"42","NsiI.TP385607",1,76681155,0.0000532842962531306,0.0645161290322581,124,0.418263044404305,0.501249612595505,0.0326040501559885,-0.459701384514582,0.0326040501559885,"124+36088im","PS_N","GAPIT","CMLM","GS",8.29865681912
"43","PstI.TP376573",11,2949,0.0000551414085540818,0.172710274926487,124,0.418263044404305,0.500897105667082,0.0326040501559885,-0.313507723824183,0.0326040501559885,"124+36088im","PS_N","GAPIT","CMLM","GS",8.2634061262777
"44","PstI.TP146107",2,59799394,0.0000557975307692137,0.0511931719274851,124,0.418263044404305,0.500775455406143,0.0326040501559885,0.675417637730941,0.0326040501559885,"124+36088im","PS_N","GAPIT","CMLM","GS",8.2512411001838
"45","NsiI.TP203050",11,11384,0.0000559267460935993,0.103911482210085,124,0.418263044404305,0.500751670096856,0.0326040501559885,-0.404079787150171,0.0326040501559885,"124+36088im","PS_N","GAPIT","CMLM","GS",8.24886256925509
"46","NsiI.TP802075",2,47648652,0.0000580228036582943,0.145231485671831,124,0.418263044404305,0.500373487502279,0.0330219960952919,-0.457657172369976,0.0330219960952919,"124+36088im","PS_N","GAPIT","CMLM","GS",8.21104430979739
"47","PstI.TP293832",11,2331,0.00005916115790496,0.150729066132499,124,0.418263044404305,0.500173903583066,0.0330219960952919,-0.408501979643846,0.0330219960952919,"124+36088im","PS_N","GAPIT","CMLM","GS",8.1910859178761
"48","PstI.TP468700",11,3562,0.0000624107782566772,0.431319952758436,124,0.418263044404305,0.499625034797154,0.0335436081425211,0.715527146698203,0.0335436081425211,"124+36088im","PS_N","GAPIT","CMLM","GS",8.1361990392849
"49","PstI.TP223261",11,1831,0.0000626529236480725,0.0972670350904035,124,0.418263044404305,0.499585311445248,0.0335436081425211,0.715634772402334,0.0335436081425211,"124+36088im","PS_N","GAPIT","CMLM","GS",8.1322267040943
"50","NsiI.TP484046",11,14949,0.0000675022252382847,0.19529259527713,124,0.418263044404305,0.498821201776187,0.0347648249376909,0.605110320943497,0.0347648249376909,"124+36088im","PS_N","GAPIT","CMLM","GS",8.0558157371882
"51","PstI.TP1130306",2,14438079,0.0000675842826798139,0.064944644262071,124,0.418263044404305,0.498808759755043,0.0347648249376909,0.469172937688234,0.0347648249376909,"124+36088im","PS_N","GAPIT","CMLM","GS",8.0545715350738
"52","NsiI.TP680903",11,17517,0.0000721184410327236,0.0819560914604015,124,0.418263044404305,0.498144219428764,0.036383753501009,0.414339054753698,0.0363837535010091,"124+36088im","PS_N","GAPIT","CMLM","GS",7.9881175024459
"53","NsiI.TP757313",11,18428,0.0000760985168450609,0.1682804418286,124,0.418263044404305,0.497595157576303,0.0376673300172326,-0.652652981368502,0.0376673300172326,"124+36088im","PS_N","GAPIT","CMLM","GS",7.9332113171998
"54","PstI.TP540228",3,73006322,0.0000786670712165716,0.0524193548387097,124,0.418263044404305,0.497256179950793,0.0378970391327549,-0.498351858289269,0.0378970391327549,"124+36088im","PS_N","GAPIT","CMLM","GS",7.8993135546488
"55","NsiI.TP62363",11,9869,0.0000794517478196813,0.319651203779588,124,0.418263044404305,0.49715487622619,0.0378970391327549,0.481542090386378,0.0378970391327549,"124+36088im","PS_N","GAPIT","CMLM","GS",7.8891831821885
"56","PstI.TP795416",3,71488115,0.0000870364897420378,0.0535939345881794,124,0.418263044404305,0.496225272651725,0.0402482640024846,0.403120459753056,0.0402482640024846,"124+36088im","PS_N","GAPIT","CMLM","GS",7.796222824742
"57","PstI.TP144616",1,58204165,0.0000874495329778769,0.125,124,0.418263044404305,0.496177053012932,0.0402482640024846,-0.55100051678074,0.0402482640024846,"124+36088im","PS_N","GAPIT","CMLM","GS",7.7914008608627
"58","PstI.TP29333",4,61203009,0.0000926164826237112,0.0619732594627494,124,0.418263044404305,0.495592778861744,0.041891393192249,-0.772398468087906,0.041891393192249,"124+36088im","PS_N","GAPIT","CMLM","GS",7.7329734457439
"59","PstI.TP541575",2,74276308,0.0000946973964231847,0.0907232238037005,124,0.418263044404305,0.49536682464459,0.042065571806323,0.511832114202082,0.042065571806323,"124+36088im","PS_N","GAPIT","CMLM","GS",7.7103780240285
"60","PstI.TP365886",3,2326972,0.0000968993744488646,0.446191584309092,124,0.418263044404305,0.495133184101963,0.042065571806323,0.347925157616492,0.042065571806323,"124+36088im","PS_N","GAPIT","CMLM","GS",7.6870139697658
"61","NsiI.TP205740",3,4149845,0.0000978119951279143,0.0655211366021334,124,0.418263044404305,0.495037936732863,0.042065571806323,-0.636464196119657,0.042065571806323,"124+36088im","PS_N","GAPIT","CMLM","GS",7.6774892328558
"62","NsiI.TP450682",11,14469,0.000100791189461172,0.111575807226143,124,0.418263044404305,0.494733211056016,0.0425545739328629,0.552984453699308,0.0425545739328628,"124+36088im","PS_N","GAPIT","CMLM","GS",7.6470166651711
"63","NsiI.TP812160",7,2098697,0.000102193266668078,0.0660917972231496,124,0.418263044404305,0.494592971147899,0.0425545739328629,0.487204615238133,0.0425545739328628,"124+36088im","PS_N","GAPIT","CMLM","GS",7.6329926743594
"64","NsiI.TP831304",1,68898466,0.000105810501150743,0.0574763285437053,124,0.418263044404305,0.494240053426647,0.0433723857373217,0.59267376357549,0.0433723857373218,"124+36088im","PS_N","GAPIT","CMLM","GS",7.5977009022342
"65","NsiI.TP430147",3,5430407,0.000111533551911534,0.0912518142549797,124,0.418263044404305,0.493706119777332,0.045014941551495,-0.449021009398756,0.0450149415514951,"124+36088im","PS_N","GAPIT","CMLM","GS",7.5443075373027
"66","NsiI.TP557979",3,7233715,0.000113315076308868,0.0887096774193549,124,0.418263044404305,0.493545614202051,0.0450410259376795,0.422176554061495,0.0450410259376794,"124+36088im","PS_N","GAPIT","CMLM","GS",7.5282569797746
"67","NsiI.TP414259",1,4455947,0.000121336032949958,0.186028303970001,124,0.418263044404305,0.492853546511268,0.0470151519663428,-0.416018318599725,0.0470151519663426,"124+36088im","PS_N","GAPIT","CMLM","GS",7.4590502106963
"68","NsiI.TP45485",1,55585048,0.000122884762791829,0.0527088870080966,124,0.418263044404305,0.492725317815412,0.0470151519663428,-0.585891314931865,0.0470151519663426,"124+36088im","PS_N","GAPIT","CMLM","GS",7.4462273411107
"69","PstI.TP908229",3,52846575,0.000123658057699079,0.112903225806452,124,0.418263044404305,0.492661909036431,0.0470151519663428,0.398451560675938,0.0470151519663426,"124+36088im","PS_N","GAPIT","CMLM","GS",7.4398864632126
"70","PstI.TP908397",8,11934752,0.000128722346118811,0.0512300920782799,124,0.418263044404305,0.492256407290269,0.0482414575440126,0.510893857244027,0.0482414575440127,"124+36088im","PS_N","GAPIT","CMLM","GS",7.3993362885964
"71","PstI.TP719900",11,4970,0.00013446782675833,0.126721649498289,124,0.418263044404305,0.491815656721518,0.0483052613672584,0.432385450526433,0.0483052613672582,"124+36088im","PS_N","GAPIT","CMLM","GS",7.3552612317213
"72","PstI.TP389870",11,3038,0.00013464118305879,0.0839417904817948,124,0.418263044404305,0.491802659178291,0.0483052613672584,-0.643758010629913,0.0483052613672582,"124+36088im","PS_N","GAPIT","CMLM","GS",7.3539614773986
"73","PstI.TP1116487",11,7830,0.000135383563261272,0.153639613408873,124,0.418263044404305,0.491747191386098,0.0483052613672584,-0.426979114561346,0.0483052613672582,"124+36088im","PS_N","GAPIT","CMLM","GS",7.3484146981793
"74","NsiI.TP588890",4,9914641,0.000137320108036706,0.333309881646148,124,0.418263044404305,0.491603951015413,0.0483052613672584,0.588967263643321,0.0483052613672582,"124+36088im","PS_N","GAPIT","CMLM","GS",7.3340906611108
"75","PstI.TP723879",10,51006962,0.00013825547178407,0.0813624577429131,124,0.418263044404305,0.491535502922766,0.0483052613672584,0.439282779560699,0.0483052613672582,"124+36088im","PS_N","GAPIT","CMLM","GS",7.3272458518461
"76","PstI.TP848946",11,5885,0.000139940529995869,0.0983710743671123,124,0.418263044404305,0.491413379892437,0.0483052613672584,-0.537331611866584,0.0483052613672582,"124+36088im","PS_N","GAPIT","CMLM","GS",7.3150335488132
"77","NsiI.TP56527",11,9790,0.00000000249291848921954,0.078240951968079,124,0.185812835098806,0.460219012127244,0.0000653992236461855,-0.190800176116505,0.0000653992236461854,"124+36088im","PS_N","GAPIT","CMLM","Lg",27.4406177028438
"78","NsiI.TP423888",9,7279333,0.000000539875824620058,0.0868389121822813,124,0.185812835098806,0.37123974565809,0.00621648416030817,0.240651439141384,0.00621648416030817,"124+36088im","PS_N","GAPIT","CMLM","Lg",18.5426910559284
"79","NsiI.TP95031",6,54950661,0.000000710888636156305,0.0750463527352774,124,0.185812835098806,0.366914539594181,0.00621648416030817,0.310119932706926,0.00621648416030817,"124+36088im","PS_N","GAPIT","CMLM","Lg",18.1101704495375
"80","PstI.TP1175096",11,8274,0.0000032532882113815,0.0573958179852423,124,0.185812835098806,0.343406037394254,0.0179133549895501,-0.219654669860443,0.0179133549895501,"124+36088im","PS_N","GAPIT","CMLM","Lg",15.7593202295448
"81","PstI.TP630184",1,61807366,0.00000361881747474213,0.139083333567801,124,0.185812835098806,0.341785392916473,0.0179133549895501,0.104230548631258,0.0179133549895501,"124+36088im","PS_N","GAPIT","CMLM","Lg",15.5972557817667
"82","NsiI.TP499462",11,15213,0.00000409697834631779,0.228876413130242,124,0.185812835098806,0.339900728155736,0.0179133549895501,0.28694106952856,0.0179133549895501,"124+36088im","PS_N","GAPIT","CMLM","Lg",15.408789305693
"83","PstI.TP413792",11,3203,0.00000653721440841738,0.0879846525340418,124,0.185812835098806,0.332845128212846,0.0218260193269019,0.197954106940945,0.0218260193269019,"124+36088im","PS_N","GAPIT","CMLM","Lg",14.703229311404
"84","PstI.TP1264005",3,2578488,0.00000665579608962472,0.0695507195224315,124,0.185812835098806,0.332574956197346,0.0218260193269019,0.189457067504529,0.0218260193269019,"124+36088im","PS_N","GAPIT","CMLM","Lg",14.676212109854
"85","PstI.TP302415",11,2390,0.0000124869771129157,0.10732884765715,124,0.185812835098806,0.32317872306138,0.0338934843073973,0.120862934080492,0.0338934843073973,"124+36088im","PS_N","GAPIT","CMLM","Lg",13.7365887962574
"86","PstI.TP485067",10,46676286,0.0000129196783972697,0.0663189703934693,124,0.185812835098806,0.322673334434159,0.0338934843073973,0.130939506148906,0.0338934843073973,"124+36088im","PS_N","GAPIT","CMLM","Lg",13.6860499335353
"87","NsiI.TP245242",10,15872817,0.0000160950249622143,0.123014627526637,124,0.185812835098806,0.319421284558351,0.0383851713507936,0.132974055829812,0.0383851713507936,"124+36088im","PS_N","GAPIT","CMLM","Lg",13.3608449459545
"88","NsiI.TP822300",11,19212,0.0000193036584712063,0.117208499542984,124,0.185812835098806,0.316742019667725,0.0410385869947585,0.131842449575112,0.0410385869947585,"124+36088im","PS_N","GAPIT","CMLM","Lg",13.0929184568919
"89","PstI.TP948994",11,6627,0.0000203362670935374,0.0521742291683618,124,0.185812835098806,0.315975781862586,0.0410385869947585,0.301316672754726,0.0410385869947585,"124+36088im","PS_N","GAPIT","CMLM","Lg",13.016294676378
"90","PstI.TP1179090",2,74526134,0.0000269494843296085,0.112699857709912,124,0.185812835098806,0.31184979962565,0.0479367106833974,-0.105861949979514,0.0479367106833974,"124+36088im","PS_N","GAPIT","CMLM","Lg",12.6036964526844
"91","NsiI.TP620299",4,56693404,0.0000279508977854296,0.0548815107329347,124,0.185812835098806,0.311316878767244,0.0479367106833974,-0.217202715148741,0.0479367106833974,"124+36088im","PS_N","GAPIT","CMLM","Lg",12.5504043668438
"92","NsiI.TP618185",11,16758,0.0000292363867856354,0.0765842559740216,124,0.185812835098806,0.310660650159323,0.0479367106833974,0.125162375247685,0.0479367106833974,"124+36088im","PS_N","GAPIT","CMLM","Lg",12.4847815060517
"93","PstI.TP13650",1,1521127,0.00000500594192762082,0.0518867924528302,106,0.00268868035144088,0.22294558491964,0.00821958037609371,-0.380565835915331,0.00821958037609369,"C106+4202","PS_N","GAPIT","CMLM","GS",22.0256904568199
"94","PstI.TP921276",1,70382591,0.0000106375056730488,0.0566037735849057,106,0.00268868035144088,0.206238058838627,0.00821958037609371,-0.352896852629459,0.00821958037609369,"C106+4202","PS_N","GAPIT","CMLM","GS",20.3549378487186
"95","NsiI.TP36864",4,6582638,0.0000106875735202559,0.0566037735849057,106,0.00268868035144088,0.206134857578963,0.00821958037609371,-0.352912921572991,0.00821958037609369,"C106+4202","PS_N","GAPIT","CMLM","GS",20.3446177227522
"96","PstI.TP292777",7,64227793,0.0000136103058545872,0.0518867924528302,106,0.00268868035144088,0.200836568797054,0.00821958037609371,0.326855756987305,0.00821958037609369,"C106+4202","PS_N","GAPIT","CMLM","GS",19.8147888445613
"97","PstI.TP856013",11,5962,0.0000149175687406419,0.0613207547169812,106,0.00268868035144088,0.198834115034182,0.00821958037609371,0.351740638607947,0.00821958037609369,"C106+4202","PS_N","GAPIT","CMLM","GS",19.6145434682741
"98","NsiI.TP726681",3,62054481,0.0000249167875773095,0.0660377358490566,106,0.00268868035144088,0.187710335481441,0.0114409582959146,-0.315165291211265,0.0114409582959146,"C106+4202","PS_N","GAPIT","CMLM","GS",18.502165513
"99","PstI.TP110898",10,9880843,0.0000325424616182393,0.0566037735849056,106,0.00268868035144088,0.181972655151362,0.0122786314981831,0.311148829936681,0.0122786314981831,"C106+4202","PS_N","GAPIT","CMLM","GS",17.9283974799921
"100","NsiI.TP422411",3,70832262,0.0000356548283068839,0.0566037735849057,106,0.00268868035144088,0.180018058420526,0.0122786314981831,-0.31073479662091,0.0122786314981831,"C106+4202","PS_N","GAPIT","CMLM","GS",17.7329378069085
"101","PstI.TP1148487",4,48397503,0.000041910166245607,0.0849056603773585,106,0.00268868035144088,0.176569239676614,0.0128291675562941,-0.317424502717125,0.0128291675562941,"C106+4202","PS_N","GAPIT","CMLM","GS",17.3880559325173
"102","PstI.TP447831",11,3432,0.0000517805982439728,0.0754716981132075,106,0.00268868035144088,0.172076826936681,0.0142655548162145,0.271261704372621,0.0142655548162145,"C106+4202","PS_N","GAPIT","CMLM","GS",16.938814658524
"103","PstI.TP646910",11,4558,0.0000579334477910029,0.0613207547169812,106,0.00268868035144088,0.169700960425608,0.0145096953331103,0.292911134082838,0.0145096953331103,"C106+4202","PS_N","GAPIT","CMLM","GS",16.7012280074167
"104","NsiI.TP751198",11,18320,0.0000637400225200993,0.0518867924528302,106,0.00268868035144088,0.167684797312846,0.0146336468369061,-0.287845874157417,0.0146336468369061,"C106+4202","PS_N","GAPIT","CMLM","GS",16.4996116961405
"105","NsiI.TP503227",7,87451,0.0000955228079561257,0.0613207547169811,106,0.00268868035144088,0.159197033756949,0.0202434873783943,-0.266382573905864,0.0202434873783943,"C106+4202","PS_N","GAPIT","CMLM","GS",15.6508353405508
"106","PstI.TP10852",10,58028954,0.000122361155818084,0.141509433962264,106,0.00268868035144088,0.154043271726393,0.0240789274484873,0.240947753058194,0.0240789274484872,"C106+4202","PS_N","GAPIT","CMLM","GS",15.1354591374952
"107","PstI.TP438135",4,14593222,0.000158821389562396,0.0754716981132075,106,0.00268868035144088,0.148649136149174,0.0291701952162934,0.260895841614806,0.0291701952162934,"C106+4202","PS_N","GAPIT","CMLM","GS",14.5960455797733
"108","PstI.TP426523",11,3290,0.000202278090861969,0.0754716981132075,106,0.00268868035144088,0.143678329673658,0.0335895220231395,0.258059204683718,0.0335895220231396,"C106+4202","PS_N","GAPIT","CMLM","GS",14.0989649322217
"109","PstI.TP739746",11,5106,0.000207267468019373,0.0707547169811321,106,0.00268868035144088,0.143179239266735,0.0335895220231395,0.248749553188541,0.0335895220231396,"C106+4202","PS_N","GAPIT","CMLM","GS",14.0490558915294
"110","PstI.TP249196",8,60970122,0.000243144335968634,0.0801886792452831,106,0.00268868035144088,0.139917023735177,0.0372145914218659,0.256944905330118,0.0372145914218659,"C106+4202","PS_N","GAPIT","CMLM","GS",13.7228343383736
"111","PstI.TP619305",1,79505879,0.000335058465571034,0.141509433962264,106,0.00268868035144088,0.133405570800258,0.0485834775077999,0.220491504921595,0.0485834775077999,"C106+4202","PS_N","GAPIT","CMLM","GS",13.0716890448817
"112","PstI.TP84880",1,63680478,0.000000281364783731039,0.133620689655172,116,0.443675751613834,0.587919201514158,0.000384871532478462,-0.89917709385918,0.000384871532478462,"C116+3293","PS_N","GAPIT","CMLM","GS",14.4243449900324
"113","PstI.TP1148487",4,48397503,0.000000364634327312612,0.0818965517241379,116,0.443675751613834,0.584858124333524,0.000384871532478462,-0.9544577241345,0.000384871532478462,"C116+3293","PS_N","GAPIT","CMLM","GS",14.118237271969
"114","PstI.TP694159",3,61030989,0.00000081369463331684,0.0775862068965517,116,0.443675751613834,0.575477656041143,0.000572569790310616,0.942087862604694,0.000572569790310616,"C116+3293","PS_N","GAPIT","CMLM","GS",13.1801904427309
"115","PstI.TP529090",11,3947,0.00000252408585609398,0.0948275862068966,116,0.443675751613834,0.562498245633293,0.0013320863105536,0.56578357527178,0.0013320863105536,"C116+3293","PS_N","GAPIT","CMLM","GS",11.8822494019459
"116","PstI.TP229147",2,3390758,0.00000507140301401638,0.0517241379310345,116,0.443675751613834,0.554644130621101,0.00214114635251772,1.03919621233217,0.00214114635251772,"C116+3293","PS_N","GAPIT","CMLM","GS",11.0968379007267
"117","PstI.TP124910",4,63868777,0.0000250960857793166,0.0517241379310345,116,0.443675751613834,0.537065436017606,0.00882963951335624,-0.794120077214757,0.00882963951335622,"C116+3293","PS_N","GAPIT","CMLM","GS",9.3389684403772
"118","PstI.TP770204",3,67523376,0.0000396439059724811,0.0646551724137931,116,0.443675751613834,0.532148160486003,0.0119554693582725,0.637023846902594,0.0119554693582725,"C116+3293","PS_N","GAPIT","CMLM","GS",8.8472408872169
"119","PstI.TP733771",11,5061,0.000120726280689681,0.0818965517241379,116,0.443675751613834,0.520378637224205,0.0287751491712615,0.713103633144783,0.0287751491712615,"C116+3293","PS_N","GAPIT","CMLM","GS",7.6702885610371
