"","SNP","Chromosome","Position","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","Adj.P.P.value","Ind.SNP","Method","PS","Software","Trait.name"
"20","NsiI.TP23487",11,9381,0.000000541970179360247,0.0935364279618133,114,NA,NA,0.00355451142133418,NA,0.00355451142133418,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","AIL"
"21","NsiI.TP466452",11,14696,0.00000184957526440864,0.271224472131863,114,NA,NA,0.00970435149729927,NA,0.00970435149729925,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","AIL"
"22","NsiI.TP689875",11,17622,0.00000230082600741932,0.448546320993532,114,NA,NA,0.0100599782464397,NA,0.0100599782464397,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","AIL"
"23","NsiI.TP423584",2,57602883,0.00000340724708439499,0.0603609013244543,114,NA,NA,0.0127693885731455,NA,0.0127693885731455,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","AIL"
"24","NsiI.TP423114",3,74119294,0.00000720177789116601,0.132059705789029,114,NA,NA,0.0236164301496062,NA,0.0236164301496061,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","AIL"
"25","PstI.TP495406",10,8851249,0.00000828751904540811,0.0701618504353246,114,NA,NA,0.0241571971819152,NA,0.0241571971819151,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","AIL"
"26","NsiI.TP511628",11,15447,0.0000122939935681011,0.0908846082336054,114,NA,NA,0.0276409410622966,NA,0.0276409410622965,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","AIL"
"27","NsiI.TP697661",11,17716,0.0000145577372582255,0.0666015723688035,114,NA,NA,0.0276409410622966,NA,0.0276409410622965,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","AIL"
"28","PstI.TP730477",11,5034,0.0000154225444565226,0.179192155434629,114,NA,NA,0.0276409410622966,NA,0.0276409410622965,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","AIL"
"29","NsiI.TP159785",1,11512824,0.0000157626737251445,0.209325439619423,114,NA,NA,0.0276409410622966,NA,0.0276409410622965,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","AIL"
"30","PstI.TP314326",4,1792445,0.0000158304816381644,0.228222059275581,114,NA,NA,0.0276409410622966,NA,0.0276409410622965,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","AIL"
"31","PstI.TP1201445",11,8486,0.0000162521322640804,0.10967991908286,114,NA,NA,0.0276409410622966,NA,0.0276409410622965,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","AIL"
"32","NsiI.TP443023",2,56699414,0.0000168580871005849,0.0654961107346117,114,NA,NA,0.0276409410622966,NA,0.0276409410622965,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","AIL"
"33","PstI.TP1140805",11,7994,0.0000187683214608994,0.0725852770742665,114,NA,NA,0.0281658856077087,NA,0.0281658856077087,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","AIL"
"34","PstI.TP527171",11,3934,0.000019325529501363,0.0502260219063599,114,NA,NA,0.0281658856077087,NA,0.0281658856077087,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","AIL"
"35","PstI.TP492157",11,3737,0.000025991823434112,0.124044462779261,114,NA,NA,0.0358878682089734,NA,0.0358878682089734,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","AIL"
"36","PstI.TP957297",11,6673,0.0000388459667459547,0.158447113155092,114,NA,NA,0.0477086361058311,NA,0.047708636105831,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","AIL"
"37","PstI.TP548880",3,64984146,0.0000405450999986512,0.190504338401331,114,NA,NA,0.0477086361058311,NA,0.047708636105831,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","AIL"
"38","PstI.TP68682",1,65572744,0.0000410162507693575,0.057536150974163,114,NA,NA,0.0477086361058311,NA,0.047708636105831,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","AIL"
"39","PstI.TP10834",11,85,0.0000420699961582127,0.148443078288197,114,NA,NA,0.0477086361058311,NA,0.047708636105831,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","AIL"
"40","NsiI.TP489836",1,57849492,0.0000436459276717216,0.0622036886458337,114,NA,NA,0.0477086361058311,NA,0.047708636105831,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","AIL"
"41","PstI.TP210734",11,1725,0.0000460782186155773,0.0701954736931476,114,NA,NA,0.0483526394864422,NA,0.0483526394864422,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","AIL"
"42","PstI.TP849929",6,57879722,0.000000738777114087731,0.241846948074906,114,NA,NA,0.0193810788109775,NA,0.0193810788109775,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","Bcirc_cm"
"43","PstI.TP1225854",11,8636,0.00000247425712678809,0.0882352941176471,114,NA,NA,0.0324548307320793,NA,0.0324548307320794,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","Bcirc_cm"
"44","NsiI.TP458186",1,17286811,0.000000341854763775578,0.20588316604162,114,NA,NA,0.0089682178728885,NA,0.00896821787288851,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmDW"
"45","NsiI.TP477347",11,14880,0.00000233417777093798,0.0570033514538968,114,NA,NA,0.0306174098213935,NA,0.0306174098213935,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmDW"
"46","PstI.TP783734",11,5409,0.00000464425826076209,0.109748333296684,114,NA,NA,0.032717682415399,NA,0.032717682415399,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmDW"
"47","NsiI.TP481731",3,49592212,0.00000511686631022068,0.065359477124183,114,NA,NA,0.032717682415399,NA,0.032717682415399,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmDW"
"48","PstI.TP953477",7,59672539,0.00000623574033990223,0.0650211509428618,114,NA,NA,0.032717682415399,NA,0.032717682415399,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmDW"
"49","PstI.TP699168",8,2542291,0.0000106696586803314,0.0854699413623931,114,NA,NA,0.0466513043033022,NA,0.0466513043033023,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmDW"
"50","PstI.TP326938",2,16984761,0.0000126242261989637,0.0546207003054812,114,NA,NA,0.0473119928719447,NA,0.0473119928719448,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmDW"
"51","PstI.TP771300",8,5124822,0.00000132639176997691,0.185987527078504,114,NA,NA,0.0347965616935743,NA,0.0347965616935743,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmD_BI_mm"
"52","PstI.TP253210",11,2060,0.0000000174894584997461,0.0926454998758028,114,NA,NA,0.000251184088665184,NA,0.000251184088665184,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"53","NsiI.TP122100",11,10465,0.0000000215602977150404,0.13244964990062,114,NA,NA,0.000251184088665184,NA,0.000251184088665184,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"54","PstI.TP1250993",4,666401,0.0000000287242611113651,0.108633316093001,114,NA,NA,0.000251184088665184,NA,0.000251184088665184,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"55","PstI.TP1235909",4,64295006,0.000000153256450351297,0.148602511094406,114,NA,NA,0.00100513242962898,NA,0.00100513242962898,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"56","NsiI.TP352026",6,555824,0.00000028766413251567,0.0670675047294071,114,NA,NA,0.00128871125455874,NA,0.00128871125455874,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"57","NsiI.TP127922",4,54754163,0.000000308496174744086,0.178547981653753,114,NA,NA,0.00128871125455874,NA,0.00128871125455874,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"58","NsiI.TP409721",2,65096533,0.00000034386592902002,0.0915032679738562,114,NA,NA,0.00128871125455874,NA,0.00128871125455874,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"59","PstI.TP320216",11,2535,0.000000570002975672151,0.314525607719387,114,NA,NA,0.0018691822579729,NA,0.0018691822579729,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"60","PstI.TP425751",2,71461615,0.000000675471342304466,0.289217037858686,114,NA,NA,0.00196892391044615,NA,0.00196892391044615,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"61","NsiI.TP545368",11,15846,0.000000824225002903196,0.468912920199333,114,NA,NA,0.00203409117922058,NA,0.00203409117922058,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"62","PstI.TP192620",11,1575,0.000000852900929001538,0.171574713106774,114,NA,NA,0.00203409117922058,NA,0.00203409117922058,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"63","PstI.TP719892",5,64652954,0.00000100121712078435,0.160162048608126,114,NA,NA,0.00209197338184589,NA,0.00209197338184589,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"64","PstI.TP797446",3,12140520,0.00000103665677990381,0.194544597379341,114,NA,NA,0.00209197338184589,NA,0.00209197338184589,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"65","PstI.TP1212724",1,72123046,0.00000135257080664069,0.0768461384592277,114,NA,NA,0.0025345244672437,NA,0.0025345244672437,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"66","PstI.TP704102",3,72097083,0.00000211234719757236,0.0626416273417331,114,NA,NA,0.00369435442540755,NA,0.00369435442540755,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"67","PstI.TP846513",11,5867,0.00000235933496150038,0.0729807143029274,114,NA,NA,0.00386842458625006,NA,0.00386842458625006,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"68","PstI.TP116046",7,62490129,0.00000274674902855678,0.159430558232684,114,NA,NA,0.00423871847147991,NA,0.00423871847147992,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"69","NsiI.TP473151",11,14822,0.00000373195073932532,0.056614114715943,114,NA,NA,0.00543911087197003,NA,0.00543911087197002,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"70","PstI.TP465891",11,3546,0.00000472940039800879,0.0765123195034773,114,NA,NA,0.00622308139950294,NA,0.00622308139950294,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"71","PstI.TP107240",8,62622087,0.00000491141638670621,0.0650202074279049,114,NA,NA,0.00622308139950294,NA,0.00622308139950294,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"72","PstI.TP1237979",11,8717,0.00000498150146335144,0.0514345625841801,114,NA,NA,0.00622308139950294,NA,0.00622308139950294,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"73","PstI.TP908218",11,6342,0.00000609652473899737,0.0897625539566014,114,NA,NA,0.00705663549126158,NA,0.00705663549126158,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"74","PstI.TP317521",4,66042591,0.00000618672776926951,0.100551183676327,114,NA,NA,0.00705663549126158,NA,0.00705663549126158,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"75","NsiI.TP370880",3,68111215,0.00000702429409299936,0.0505004599555944,114,NA,NA,0.00748932021509997,NA,0.00748932021509997,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"76","PstI.TP257951",4,14228269,0.00000741746642106245,0.0665447980487355,114,NA,NA,0.00748932021509997,NA,0.00748932021509997,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"77","GFSSContig18315_975",9,53976945,0.00000742251755708619,0.20238014140637,114,NA,NA,0.00748932021509997,NA,0.00748932021509997,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"78","PstI.TP543083",7,7619505,0.00000777331392983426,0.186626308756478,114,NA,NA,0.0075527821346397,NA,0.0075527821346397,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"79","PstI.TP53013",9,59327122,0.00000865992729255219,0.0748148258765463,114,NA,NA,0.00811373330688622,NA,0.00811373330688622,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"80","PstI.TP344899",7,61484903,0.00000973999786877721,0.0564144856868916,114,NA,NA,0.00823197806927511,NA,0.00823197806927508,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"81","PstI.TP1146105",3,17294985,0.00000978866796698229,0.380626427824795,114,NA,NA,0.00823197806927511,NA,0.00823197806927508,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"82","PstI.TP410209",3,69602329,0.0000100284331951738,0.382526862764667,114,NA,NA,0.00823197806927511,NA,0.00823197806927508,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"83","NsiI.TP525011",10,450727,0.0000100412936729741,0.241465380140867,114,NA,NA,0.00823197806927511,NA,0.00823197806927508,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"84","NsiI.TP494603",2,61270017,0.0000104651938815367,0.20157902457985,114,NA,NA,0.00831951200873434,NA,0.00831951200873436,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"85","NsiI.TP762015",7,823818,0.0000132472570001265,0.0573324503307984,114,NA,NA,0.0102214276512153,NA,0.0102214276512153,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"86","PstI.TP1021221",11,7084,0.0000156025794572683,0.131974267840266,114,NA,NA,0.0116948019851993,NA,0.0116948019851993,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"87","NsiI.TP515167",4,68022596,0.0000170148297332693,0.292264394851831,114,NA,NA,0.0123990845339607,NA,0.0123990845339607,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"88","PstI.TP724007",11,4995,0.0000179911655012315,0.0677785174886646,114,NA,NA,0.0127562225880894,NA,0.0127562225880894,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"89","PstI.TP1016686",11,7060,0.0000207419639555612,0.401719792874652,114,NA,NA,0.0143195969055314,NA,0.0143195969055314,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"90","NsiI.TP681203",1,8181678,0.0000221150968349886,0.0529834565818746,114,NA,NA,0.0148760884710023,NA,0.0148760884710023,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"91","PstI.TP323391",11,2564,0.0000241071184582732,0.115147594074504,114,NA,NA,0.0156405245784338,NA,0.0156405245784338,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"92","NsiI.TP338132",3,59218088,0.0000244439089622545,0.147715095151043,114,NA,NA,0.0156405245784338,NA,0.0156405245784338,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"93","PstI.TP485114",9,57032697,0.0000266766323846437,0.0595459181325098,114,NA,NA,0.0161627427571254,NA,0.0161627427571254,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"94","NsiI.TP226043",11,11664,0.0000266960361441463,0.216104342028897,114,NA,NA,0.0161627427571254,NA,0.0161627427571254,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"95","PstI.TP432918",11,3318,0.0000271083586686558,0.258676130992101,114,NA,NA,0.0161627427571254,NA,0.0161627427571254,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"96","PstI.TP998275",4,9701801,0.0000295610326827852,0.277524671005593,114,NA,NA,0.0169151798177822,NA,0.0169151798177822,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"97","PstI.TP1098463",4,65166320,0.0000296599173445902,0.176766017409327,114,NA,NA,0.0169151798177822,NA,0.0169151798177822,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"98","NsiI.TP90957",9,58754094,0.0000345906230256834,0.0536468441580655,114,NA,NA,0.0193074554139527,NA,0.0193074554139527,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"99","NsiI.TP415575",9,53923129,0.0000354461332024759,0.0533947543933788,114,NA,NA,0.0193727887173699,NA,0.0193727887173698,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"100","PstI.TP916844",11,6407,0.0000367004036358244,0.0529803894508178,114,NA,NA,0.0196489467139228,NA,0.0196489467139228,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"101","PstI.TP862775",9,773151,0.0000499161658566331,0.179497349548959,114,NA,NA,0.0257961072647143,NA,0.0257961072647143,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"102","PstI.TP747686",5,191126,0.0000501487180948552,0.0854944397886175,114,NA,NA,0.0257961072647143,NA,0.0257961072647143,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"103","NsiI.TP465791",1,74820948,0.000051488158283359,0.130657542060579,114,NA,NA,0.0259757758539546,NA,0.0259757758539546,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"104","NsiI.TP753743",9,41089177,0.0000556445743005965,0.077945806207238,114,NA,NA,0.0275430143811669,NA,0.027543014381167,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"105","NsiI.TP448134",11,14419,0.0000668555802276049,0.0667895059288194,114,NA,NA,0.0318934729911343,NA,0.0318934729911343,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"106","PstI.TP30419",11,232,0.0000668651755169774,0.070682317649456,114,NA,NA,0.0318934729911343,NA,0.0318934729911343,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"107","PstI.TP729133",7,37735277,0.0000692549102960271,0.0680053050155196,114,NA,NA,0.0324434520840353,NA,0.0324434520840353,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"108","NsiI.TP332475",3,64344627,0.0000742866344497821,0.202614379084967,114,NA,NA,0.0341900976869401,NA,0.0341900976869401,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"109","NsiI.TP617177",2,52050200,0.0000763675078705496,0.188854825028901,114,NA,NA,0.0343497044551703,NA,0.0343497044551704,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"110","NsiI.TP615473",11,16715,0.0000778332991643067,0.0519735131156922,114,NA,NA,0.0343497044551703,NA,0.0343497044551704,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"111","PstI.TP433824",3,57313153,0.0000785614952851346,0.0889463606887211,114,NA,NA,0.0343497044551703,NA,0.0343497044551704,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"112","NsiI.TP51472",11,9740,0.0000816824081514076,0.0523900550527217,114,NA,NA,0.0346629419165194,NA,0.0346629419165194,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"113","NsiI.TP787181",11,18814,0.0000819205000695359,0.0553653825706378,114,NA,NA,0.0346629419165194,NA,0.0346629419165194,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"114","NsiI.TP154371",4,5011408,0.0000854185635296272,0.0646269231771787,114,NA,NA,0.0353897737784207,NA,0.0353897737784207,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"115","PstI.TP190549",7,57197488,0.000086336262934319,0.0981394550139694,114,NA,NA,0.0353897737784207,NA,0.0353897737784207,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"116","PstI.TP802133",4,51215387,0.0000877145553297774,0.490634733262427,114,NA,NA,0.0354015945310981,NA,0.0354015945310982,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"117","PstI.TP140756",11,1171,0.0000913336070679,0.258108131560138,114,NA,NA,0.036288325872641,NA,0.036288325872641,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"118","PstI.TP153500",2,76322220,0.0000926781212726594,0.49502003770786,114,NA,NA,0.036288325872641,NA,0.036288325872641,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"119","NsiI.TP434358",11,14139,0.0000985883009579871,0.0791573034659933,114,NA,NA,0.0380347865784093,NA,0.0380347865784093,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"120","PstI.TP300328",3,10399618,0.000102529855242312,0.154327135798035,114,NA,NA,0.0386555491115755,NA,0.0386555491115753,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"121","PstI.TP597057",11,4238,0.000103144333224452,0.213179075333147,114,NA,NA,0.0386555491115755,NA,0.0386555491115753,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"122","PstI.TP1248844",8,1028461,0.000125894088273882,0.0774939761264267,114,NA,NA,0.0465169790391128,NA,0.046516979039113,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","CmN"
"123","PstI.TP534866",10,59187610,0.000000277402145537116,0.160394079225094,114,NA,NA,0.0072773678860207,NA,0.0072773678860207,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","FD"
"124","NsiI.TP323814",11,12684,0.000000848869567517965,0.192846515210847,114,NA,NA,0.0111346221171331,NA,0.0111346221171331,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","FD"
"125","NsiI.TP444478",2,69620378,0.00000202359934455597,0.213052796763879,114,NA,NA,0.0176957017350271,NA,0.0176957017350271,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","FD"
"126","PstI.TP1239894",2,61692152,0.00000302016561584281,0.159034344108099,114,NA,NA,0.0198077561915051,NA,0.0198077561915051,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","FD"
"127","NsiI.TP760848",10,61039702,0.00000666030387711898,0.159132300402285,114,NA,NA,0.0349452823824679,NA,0.0349452823824679,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","FD"
"128","PstI.TP44840",11,382,0.00000823556785516842,0.108157200240671,114,NA,NA,0.0360086478520814,NA,0.0360086478520814,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","FD"
"129","PstI.TP1165702",11,8193,0.00000000546384060748003,0.0816993464052288,106,NA,NA,0.000143338394496631,NA,0.000143338394496631,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","FD_1"
"130","NsiI.TP152677",3,602439,0.000000114020081698477,0.120915032679739,106,NA,NA,0.00149560141163892,NA,0.00149560141163892,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","FD_1"
"131","PstI.TP1204787",11,8502,0.000000485548278375802,0.104141543299218,106,NA,NA,0.00424595784497026,NA,0.00424595784497026,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","FD_1"
"132","NsiI.TP652320",10,54138549,0.00000108263405912899,0.10624418832576,106,NA,NA,0.00572055627212217,NA,0.00572055627212218,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","FD_1"
"133","PstI.TP1027140",11,7140,0.00000110667557407917,0.100851625558023,106,NA,NA,0.00572055627212217,NA,0.00572055627212218,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","FD_1"
"134","PstI.TP989816",11,6875,0.00000130835319176386,0.318695454361165,106,NA,NA,0.00572055627212217,NA,0.00572055627212218,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","FD_1"
"135","NsiI.TP689875",11,17622,0.00000153904827627349,0.448546320993532,106,NA,NA,0.0057679132113941,NA,0.00576791321139411,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","FD_1"
"136","NsiI.TP491655",2,61080220,0.00000284663084529224,0.111514847321155,106,NA,NA,0.00933481419942457,NA,0.00933481419942458,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","FD_1"
"137","NsiI.TP528762",1,76435180,0.00000322428516598863,0.118933320063072,106,NA,NA,0.00939843300494952,NA,0.00939843300494952,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","FD_1"
"138","PstI.TP14467",10,3103147,0.00000446601426356222,0.366898611747841,106,NA,NA,0.0110957862690339,NA,0.0110957862690339,"124+36088im","CMLM+SUPER","PS_Y","GAPIT","FD_1"
